user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
keithboykin,"A few reasons people called the cops on black people:
• waiting in @Starbucks
• napping in a @Yale dorm
• renting an @AirBnB
• golfing at @GrandviewGC
• shopping at @NordstromRack
• buying a belt at @BarneysNY 
• BB gun shopping at @Walmart
• wearing a hoodie in the rain",2018-05-10T03:49:31.000Z,https://t.co/mwHLxQwWys,Keith Boykin,"Los Angeles, CA",true,31006,59081,1512,1314,-57767,-29494
elijahdaniel,when starbucks doesnt have your venti iced chai pumpkin spice unicorn  latte with two shots of espresso and also you’re a racist https://t.co/KuFRdsiZ4n,2018-05-14T00:37:22.000Z,,elijah daniel,he/him,true,18397,119922,236,182,-119740,-18161
ananavarro,"Two men were arrested for waiting at Starbucks. Police called on a Yale student for sleeping. Elderly driver was sworn at, dragged out of her car by 3 policemen for swerving into wrong lane. They were all black.

America, what is happening in our country?
 https://t.co/t61EnRs6wE",2018-05-12T11:57:10.000Z,https://t.co/IaghNWqyKC,Ana Navarro-Cárdenas,"Coral Gables, Fl",true,13150,29906,1516,4225,-25681,-11634
adamcbest,"Donald Trump has now tweeted TWICE today about Kanye West. 

He never tweeted about James Shaw Jr., the hero of the Waffle House shooting. 

He never tweeted about racial profiling of innocent black men at Starbucks. 

Tells you all you need to know about who our President is.",2018-04-25T21:38:07.000Z,https://t.co/it2PtJ1xIw,Adam Best,"Huntsville, AL",true,10429,29995,450,738,-29257,-9979
IamGMJohnson,"Black folk outrage

Flint not having water
Unarmed blacks killed by cops
Cops called on black patrons at Starbucks, golf course, &amp; Waffle House
Black woman goes into Cardiac arrest plane wouldn’t land

White folk outrage:

A joke made about Sarah Huckabee Sanders eye makeup",2018-04-29T23:38:41.000Z,https://t.co/7Nb5sT8e1K,George M Johnson,"Los Angeles, CA",true,6339,17689,109,155,-17534,-6230
larryelder,"The two black men admit that #Starbucks store policy requires a buy before customers can use the restroom. They admit they bought nothing. They admit they brought their OWN water--to a place that SELLS water. They admit they were politely asked to leave.

Oh, the humanity!!!",2018-04-21T10:53:57.000Z,https://t.co/qYBVRK6S23,Larry Elder,"L.A., Calif.",true,4387,12743,321,810,-11933,-4066
JoyAnnReid,".@DrJasonJohnson on calling the police on black people for noncrimes: ""The intent of these actions is to remind black people that the ultimate consequence of discomforting white people—let alone angering them—could be death."" More on #AMJoy https://t.co/atOHbSmRwg via @TheRoot",2018-04-21T11:53:57.000Z,https://t.co/xygunHjCYY,Joy-Ann (Pro-Democracy) Reid 😷,USA,true,2651,4826,127,242,-4584,-2524
Bakari_Sellers,"If you see a gang of young black ppl together today, with their grandmothers, staying at an air bnb, playing Young Dolph, eating at Waffle House, grabbing coffee at Starbucks, taking a nap, or organizing a BBQ in the local park, DO NOT CALL THE POLICE, they are graduates!!",2018-05-12T19:19:29.000Z,https://t.co/UyiREQLgOQ,Bakari Sellers,"Denmark, SC",true,2481,9171,111,187,-8984,-2370
charliekirk11,"There was national outrage at @Starbucks when two men didn’t buy anything, refused to leave then blamed racism

Will there be outrage at @Cheesecake for their employees who berated a black man who quietly wore a #MAGA Trump hat?

Will they be required to do tolerance training? 🤔",2018-05-15T16:15:37.000Z,https://t.co/l36Fo1mIus,Charlie Kirk,"Phoenix, AZ",true,2133,5216,155,275,-4941,-1978
mmpadellan,"The next time a Starbucks employee, or ANY employee from a business serving people, thinks about calling the cops on a Black guy, ask yourself if you're kicking out a Waffle House hero like James Shaw.

White Supremacist Travis Reinking remains on the loose. https://t.co/pauG6EY3dX",2018-04-22T20:37:55.000Z,,BrooklynDad_Defiant!,"Brooklyn, NY",true,2045,4993,99,153,-4840,-1946
shomaristone,"Pedro doesn’t believe the slur was an accident because the Starbucks barista called his name once his order was ready. In an effort to compensate the experience, Starbucks offered him a $50 gift card.
""I didn't accept it because its like an insult overall”
https://t.co/FjBeusx7CX",2018-05-17T17:18:39.000Z,https://t.co/JEGbwFNlsl,Shomari Stone,"Washington, DC",true,2041,4053,371,172,-3881,-1670
GeorgeTakei,"Kudos to these young men, who are showing a level of class and decency that certainly was not shown to them. https://t.co/FAlWq6R553",2018-05-05T21:05:44.000Z,https://t.co/FESrB1JExy,George Takei,"Broadway - New York, NY",true,1964,10157,50,115,-10042,-1914
PrestonMitchum,"The two men arrested at Starbucks took they Black asses on live television and said “this isn’t a Black people thing, it’s a people thing.” 

Let that sink in the next time you think cishet men will be the arbiter for any kind of justice in this country.

Good morning!",2018-04-21T12:37:23.000Z,https://t.co/q412mhsYfK,"Preston Mitchum, he/him","Washington, DC",true,1693,4150,460,86,-4064,-1233
freedomrideblog,"Black teen in Michigan shot at when he knocks on a door to ask for directions. Black men in Philly arrested at Starbucks for minding their own business. Don't knock on a door, go to Starbucks, drive, walk, eat. Just die. That is what they want.
#BoycottStarbucks #BlackLivesMatter",2018-04-13T22:44:44.000Z,https://t.co/3o9tq1XEJq,Margaret Kimberley,"New York, NY",false,1653,3813,58,78,-3735,-1595
kazweida,"Woman of color at Yale- White woman calls police
Men of color at Starbucks- White woman calls police
Women of color in Waffle House- White woman calls police
Airbnb guests of color- White woman calls police

If you can't see why Trump got elected, you're not paying attention.",2018-05-10T15:01:15.000Z,https://t.co/I3e6Md7txJ,🌻 Kaz Weida 🌻,"Utah, USA",false,1572,3657,135,141,-3516,-1437
larryelder,"The 2 young black men admit that #Starbucks store policy requires a buy before customers can use the restroom. They admit they bought nothing. They admit they brought their OWN water--to a place that SELLS water. They admit they were politely asked to leave.

Oh, the humanity!!!",2018-04-23T12:46:38.000Z,https://t.co/qYBVRK6S23,Larry Elder,"L.A., Calif.",true,1571,5054,81,243,-4811,-1490
