user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
latimes,Police report says passenger fought with officers before he was pulled from United flight https://t.co/1L5pGIOGlL https://t.co/eVA3GEt47u,2017-04-25T01:35:05.000Z,https://t.co/WeffKZ2O0l,Los Angeles Times,"El Segundo, CA",true,34,36,29,78,42,-5
NBCNews,Trump administration pulls support from United Nations family planning agency helping women and girls https://t.co/kGJgrXUoF3 https://t.co/0ysCVHJhUE,2017-04-04T23:20:06.000Z,https://t.co/Z73is4fJ3x,NBC News,"New York, NY",true,182,76,44,111,35,-138
thepointsguy,"#Bumpgate, #Leggingsgate, #Botchedapologygate... are you planning to boycott United? https://t.co/uXxYwWOnOu",2017-04-14T18:11:48.000Z,https://t.co/BhRTk84KuT,The Points Guy,NA,true,4,10,2,31,21,-2
PeteSpencer007,"Stop the moaning....City lost fair and square,meant more to Arsenal...backlash v United on the cards?",2017-04-24T04:38:25.000Z,,Peter Spencer,Manchester,false,2,1,2,20,19,0
washingtonpost,"United passenger was dragged off the plane with ""minimal but necessary force,"" police say
https://t.co/mKZIBZt2yO",2017-04-25T15:16:47.000Z,https://t.co/1KN78z0bbe,The Washington Post,"Washington, DC",true,48,38,31,55,17,-17
PhilipinDC,"Trump's letter to Congress about Syria: ""I acted in the vital national security and foreign policy interests of the United States."" https://t.co/6tydMb95K0",2017-04-08T18:56:07.000Z,https://t.co/enckdSfcMA,Philip Crowther,"Washington, DC",true,40,17,17,33,16,-23
shannonrwatts,The kinds of emails I'm getting after speaking out against United's legging policy. https://t.co/eUfj5jDxEr,2017-03-29T00:19:47.000Z,https://t.co/LkDDRBzjnN,Shannon Watts,"NRA’s head, rent free",true,34,26,4,41,15,-30
globalnews,United said the new policy would ensure that what happened to David Dao does not happen again. Thoughts? https://t.co/Yl8VuYtgE1,2017-04-15T19:19:23.000Z,https://t.co/zVYsc0JhRh,Globalnews.ca,NA,true,3,4,0,17,13,-3
StaffsPolice,Three arrests made after Port Vale - Sheffield United match https://t.co/6YtMcDmUe3,2017-04-14T18:16:24.000Z,https://t.co/4b0MG6rPW7,Staffordshire Police,"Staffordshire, UK",true,6,1,3,10,9,-3
thehill,United CEO says no one was fired over passenger dragging incident https://t.co/81gst9lSGc https://t.co/WPGPPJcjUS,2017-04-18T17:55:05.000Z,http://t.co/t414UtTRv4,The Hill,"Washington, DC",true,35,28,14,37,9,-21
MediaBuzzFNC,.@LizClaman on United Airlines scandal: CEO's better take a lesson from this because you can stand by your employees but speak out.,2017-04-16T15:45:05.000Z,https://t.co/hjCsyU8yj7,#MediaBuzz,"Washington, DC",false,2,2,0,10,8,-2
thehill,"Aviation cop: United passenger was removed with ""minimal but necessary force"" https://t.co/cxhcsCcpvA https://t.co/fHrcLiGFEH",2017-04-25T14:46:07.000Z,http://t.co/t414UtTRv4,The Hill,"Washington, DC",true,12,15,16,22,7,4
HuffPostPol,"Police say ""minimal but necessary force"" used on United passenger https://t.co/qJX8Fuvs2J https://t.co/oYze0xG5tX",2017-04-25T15:11:10.000Z,https://t.co/tn6MKaH6mv,HuffPost Politics,"Washington, D.C.",true,11,5,8,12,7,-3
