user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
robbystarbuck,2nd doctor in Michigan arrested for Mutilating the genitals of young girls. This is happening in the United States. https://t.co/2hmXR74j7r,2017-04-21T16:57:55.000Z,https://t.co/qM4Bt31M1o,Robby Starbuck,"Nashville, TN",true,3346,2511,610,749,-1762,-2736
GeorgeTakei,"United had to change its policy to ensure that if you buy a ticket and are seated, you actually get to fly. I know, revolutionary.",2017-04-17T18:38:02.000Z,https://t.co/FESrB1JExy,George Takei,"Broadway - New York, NY",true,2114,9504,51,129,-9375,-2063
brfootball,"5th-place Manchester United are unbeaten for 20 consecutive Premier League games. 

Worst. Unbeaten run. Ever. https://t.co/GXzNRQZ59T",2017-04-04T21:17:20.000Z,https://t.co/CFXD5md1KQ,B/R Football,NA,true,1555,1504,86,25,-1479,-1469
NOT_MOTD,"This is Arsenal's worst run in the Premier League for 21 years and they are 5th.

Man United are on a 20 game unbeaten run and are 6th. 😂😂 https://t.co/0yCemMBrQa",2017-04-08T07:58:00.000Z,https://t.co/dEwqmVFXt7,Not Match of the Day,team@thesocialsup.com,false,1210,1141,56,26,-1115,-1154
brfootball,"Manchester United: 24 games unbeaten in the Premier League! 

…with 11 draws. 

Worst. Unbeaten run. Ever. https://t.co/0VWpLLrrzJ",2017-04-27T21:15:52.000Z,https://t.co/CFXD5md1KQ,B/R Football,NA,true,1173,1685,93,47,-1638,-1080
__pvris,If 14 white girls went missing in 24 hours the whole United States would be on lockdown.... #FindMyMissingSisters 🙃,2017-03-24T14:13:11.000Z,https://t.co/ib5HmDXIjq,PvrisLashes 💓,"Philadelphia, PA",false,856,728,31,6,-722,-825
Sporf,"OFFICIAL: Man United are now a club-record 25 games unbeaten:

DWDDDWWWWWWDDDWWDWDDWWWDD

The worst unbeaten run ever continues 😅 https://t.co/V7Y4YBxXDI",2017-04-30T12:56:37.000Z,https://t.co/nu4PyyNlzQ,SPORF,NA,true,843,1182,59,33,-1149,-784
Police_Memorial,The United Kingdom's Police Roll of Honour now records the name of Police Constable Keith Palmer #LestWeForget https://t.co/0c9ZlRAu79,2017-03-23T09:04:07.000Z,https://t.co/hoHsW6EEJV,Police Memorial,Throughout the UK,false,811,1732,48,37,-1695,-763
DPRK_News,United States fascists rage in windful fury as weakness of impotent police state is shown by one dissident girl's act of courage. https://t.co/o6V7MtxVL8,2017-04-05T13:52:14.000Z,https://t.co/XuvxTw6XOW,DPRK News Service,"Pyongyang, DPRK",false,615,943,55,33,-910,-560
SportsCenter,Marcus Stroman has received backlash for pitching for USA over Puerto Rico — some of it directed at his mother. https://t.co/ceQb6TUPrm https://t.co/eesVCqSMQZ,2017-03-22T14:03:00.000Z,https://t.co/e5h1o4h2hJ,SportsCenter,NA,true,423,1745,86,38,-1707,-337
CNN,"Following a PR crisis, United Airlines has released a 10-point action plan to ""improve customer experience"" https://t.co/cntvzxeRlm https://t.co/XswLZJdeWg",2017-04-27T07:20:59.000Z,https://t.co/imGp4Ieixi,CNN,NA,true,419,627,124,108,-519,-295
CNN,The United States is cutting funding for a UN health program for women and girls https://t.co/dQsEFPWIN0 https://t.co/Fo4B8C9wGu,2017-04-05T03:16:01.000Z,https://t.co/imGp4Ieixi,CNN,NA,true,411,259,91,200,-59,-320
imoyse,PR Nightmares: United Fiasco Among Worst Corporate Gaffes https://t.co/m8DYDOugKO,2017-04-15T22:01:06.000Z,https://t.co/9Zskq2Tqse,𝓘𝓪𝓷 𝓜𝓸𝔂𝓼𝓮 #cloud,"Wokingham, England",false,375,1,0,0,-1,-375
Shelovesmeechie,.@united airlines is the worst airline. If the airline is the reason why I miss my flight there is no way I should be treated this poorly,2017-04-17T00:34:02.000Z,https://t.co/ODRdatjV0v,☁️ Meechie,NY ✈️ GA,true,367,2611,5,12,-2599,-362
ABC,United Airlines changing policy to no longer allow crew members to displace customers already onboard a flight https://t.co/01CYegeMxg https://t.co/cuoCjceZdZ,2017-04-16T22:53:11.000Z,https://t.co/26XEt8onYo,ABC News,New York City / Worldwide,true,348,668,84,130,-538,-264
FootballFunnnys,"FACT: Man United are now 24 games unbeaten:

DWDDDWWWWWWDDDWWDWDDWWWD

The worst unbeaten run ever continues 😅 https://t.co/oayRbsKFHS",2017-04-27T23:32:08.000Z,https://t.co/DJnXx3rWfr,FootballFunnys,United Kingdom,false,330,378,19,8,-370,-311
LynnePatton,"Congratulations to Officer #MatiasFerreira for being sworn in as the first full-time, double amputee, police officer in the United States 🇺🇸 https://t.co/QhLoCWNLpH",2017-03-25T23:37:07.000Z,https://t.co/UcLTuCQafO,🇺🇸 Lynne Patton,Trump World,true,323,1069,35,26,-1043,-288
CNN,A Texas-based company has offered to equip every police officer in the United States with a body camera for one year https://t.co/caus5eFDcb https://t.co/RVm6qRRf8w,2017-04-05T18:51:55.000Z,https://t.co/imGp4Ieixi,CNN,NA,true,321,755,23,45,-710,-298
brfootball,Jose Mourinho currently has the worst home win rate of any Manchester United manager in the Premier League 👀 https://t.co/49562kFGi3,2017-04-05T12:01:14.000Z,https://t.co/CFXD5md1KQ,B/R Football,NA,true,316,270,50,17,-253,-266
CNN,A Texas-based company has offered to equip every police officer in the United States with a body camera for one year https://t.co/DcdgxDVDsr https://t.co/604gYbK2q7,2017-04-06T02:46:02.000Z,https://t.co/imGp4Ieixi,CNN,NA,true,303,749,32,32,-717,-271
cnnbrk,"After passenger fiasco, United Airlines issues new policy requiring its commuting staff and crew to be booked sooner https://t.co/FrWQ8oquhA https://t.co/PFlAa7Sby4",2017-04-15T16:54:17.000Z,https://t.co/ojQgQKzKzX,CNN Breaking News,Everywhere,true,278,680,65,174,-506,-213
nytimes,United says its policy change is meant to ensure that episodes like what happened last week “never happen again” https://t.co/djEJOoDUo3,2017-04-16T19:11:08.000Z,http://t.co/ahvuWqicF9,The New York Times,New York City,true,267,601,119,107,-494,-148
thehill,Poll: More voters prefer United Airlines to Trump https://t.co/yVadxQzIBt https://t.co/sJjGUf5tOl,2017-04-20T23:58:06.000Z,http://t.co/t414UtTRv4,The Hill,"Washington, DC",true,267,487,62,42,-445,-205
CNN,A Texas-based company has offered to equip every police officer in the United States with a body camera for one year https://t.co/ge2Hb2FFEd https://t.co/TTVsV3injM,2017-04-05T22:06:01.000Z,https://t.co/imGp4Ieixi,CNN,NA,true,264,702,23,40,-662,-241
jonostrower,"The 10 things United is doing to avoid another dust-up, drag-out passenger fiasco https://t.co/UOjzNRXfn7 https://t.co/94xFGcfLor",2017-04-27T05:11:28.000Z,https://t.co/S92x6u4vs4,Jon Ostrower,Seattle,true,262,395,158,26,-369,-104
ChrisWarcraft,Trump is either going to be the worst President of the United States or the last president of the United States.,2017-03-22T20:48:01.000Z,https://t.co/8mFFMwtaw5,Cassandra,With Carmen Sandiego.,true,255,902,40,85,-817,-215
SkrMkrSean,I'm at Ashton United v Blyth Spartans and all the Blyth are dressed as Mexicans holding up a wall banner behind a guy in a Donald Trump mask https://t.co/UJJbxUz4ig,2017-04-15T14:26:33.000Z,,Sean Blinkhorn,"Manchester, England",false,255,269,25,6,-263,-230
LibDems,A no deal outcome would be the worst outcome for the United Kingdom warns @nick_clegg #BrexitDay https://t.co/2T8OjyKFUE,2017-03-29T10:46:19.000Z,https://t.co/DQ41jIWCYE,Liberal Democrats,United Kingdom,true,251,324,26,87,-237,-225
ForeignAffairs,The U.S. national interest has not been well served by the country’s immigration policy over the last five decades https://t.co/9X2scD3A80,2017-04-01T02:00:25.000Z,https://t.co/YXBuw5rF68,Foreign Affairs,"New York, NY",true,248,434,34,36,-398,-214
TrustyTransfers,Man United currently on the worst unbeaten PL run ever.,2017-04-30T12:58:04.000Z,,Transfer News,UK,false,240,393,11,1,-392,-229
juhhhjgghk,President Obama was the worst President in the history of the United States of America. The only legacy he left us is ISIS. https://t.co/D4tRiej3hw,2017-04-24T17:06:28.000Z,https://t.co/nqGO3RxcPq,John doe,"Alabama, USA",false,238,333,37,65,-268,-201
Newsweek,United Airlines has changed its crew booking policy to prevent passengers being forcibly removed https://t.co/kjMSKlXEam https://t.co/KSiEFHFcMD,2017-04-16T21:15:39.000Z,https://t.co/g1Lso5rh3t,Newsweek,"New York, NY",true,234,444,98,45,-399,-136
biannagolodryga,"""some in the WH see her as seeking a bit too much attention as the administration formulates its foreign policy"" https://t.co/R5xrnun11g",2017-04-28T02:27:04.000Z,https://t.co/n9q3XrMKs8,Bianna Golodryga,New York,true,234,281,79,161,-120,-155
ajplus,"United Airlines considered girls who wore leggings to be ""not properly clothed."" https://t.co/lGbhh08Oi7",2017-03-29T10:25:01.000Z,https://t.co/dffekhz2Zn,AJ+,NA,true,224,278,49,15,-263,-175
thehill,Poll: More voters prefer United Airlines to Trump https://t.co/viM82hscuM https://t.co/bEm2Yk53DA,2017-04-21T02:46:07.000Z,http://t.co/t414UtTRv4,The Hill,"Washington, DC",true,220,468,52,44,-424,-168
NPR,"United crew members will no longer be able to bump a passenger who is already seated in one of the airline's planes.
https://t.co/s8lCWhryvt",2017-04-16T23:00:01.000Z,https://t.co/NacrixPEkp,NPR,NA,true,218,672,51,61,-611,-167
LeeCamp,American police kill more ppl in an average MONTH than the UK police killed since 1900! This massacre must stop! https://t.co/BfykvZsKnE,2017-04-23T09:46:00.000Z,https://t.co/O6OsFHJjyh,Lee Camp [Redacted],"Washington, DC",true,218,248,12,17,-231,-206
LawyerRogelio,"United Airline's new ""volunteer"" policy👇🏽👇🏽👇🏽🤡🤡🤡 https://t.co/Gl2LXkaLP9",2017-04-14T20:07:23.000Z,https://t.co/LZiKRSzaqT,Rogelio Garcia Lawyer,"Houston,Tx",false,214,394,15,16,-378,-199
CNN,United Airlines issues a new policy requiring crews to be booked into flights one hour prior to departure https://t.co/AK0tCIklLx https://t.co/8Me7wk8Xvn,2017-04-15T21:32:27.000Z,https://t.co/imGp4Ieixi,CNN,NA,true,209,435,51,112,-323,-158
united,We let policies get ahead of our values. We’re taking steps to change. https://t.co/a7J0ZzcbrE https://t.co/Hsag45geex,2017-04-27T13:00:10.000Z,https://t.co/672Qvc9oMM,United Airlines,NA,true,204,667,149,428,-239,-55
democracynow,"""The groundwork is being laid in the United States for unchecked state violence"" - Amy Goodman https://t.co/tqHl9r1LLn",2017-04-14T21:45:13.000Z,https://t.co/McGBFQZwkq,Democracy Now!,New York,true,200,189,11,22,-167,-189
CNN,United Airlines issues a new policy requiring crews to be booked into flights 60 minutes prior to departure https://t.co/dI2khxctmq https://t.co/ngdRrZJ0lq,2017-04-15T16:40:01.000Z,https://t.co/imGp4Ieixi,CNN,NA,true,200,576,48,124,-452,-152
DLidington,Entire @HouseofCommons united in thanks to our police &amp; security staff today and heartfelt sympathy for those who were injured or bereaved,2017-03-22T21:48:42.000Z,,David Lidington,"Princes Risborough, England",true,184,429,7,10,-419,-177
markcurtis30,I defy anyone with any knowledge of UK policy in the MidEast to read this headline and not laugh or cry - #Yemen https://t.co/Q6FjuHSkfZ https://t.co/1gXlvOuk1B,2017-04-08T08:17:16.000Z,https://t.co/6QVH5EBFf7,Mark Curtis,"Oxford, England",true,184,161,9,16,-145,-175
NBCNews,Trump administration pulls support from United Nations family planning agency helping women and girls https://t.co/kGJgrXUoF3 https://t.co/0ysCVHJhUE,2017-04-04T23:20:06.000Z,https://t.co/Z73is4fJ3x,NBC News,"New York, NY",true,182,76,44,111,35,-138
jeeniya90,"United Airlines: We treat our passengers the worst.

American Airlines: Hold my beer!",2017-04-22T14:51:28.000Z,,Jeeniya,"Los Angeles, CA",false,182,481,5,13,-468,-177
thehill,NEW POLL: More voters prefer United Airlines to Trump https://t.co/p9zkEEapb6 https://t.co/X97B14izPC,2017-04-20T15:10:12.000Z,http://t.co/t414UtTRv4,The Hill,"Washington, DC",true,179,424,63,48,-376,-116
thehill,Poll: More voters prefer United Airlines to Trump https://t.co/XkiIOCISg5 https://t.co/70KYgyYCue,2017-04-21T01:34:03.000Z,http://t.co/t414UtTRv4,The Hill,"Washington, DC",true,177,348,35,37,-311,-142
Reuters,United changes crew booking policy after passenger dragged off plane https://t.co/ZL8Duv7AKr https://t.co/6n27jRBBU6,2017-04-15T03:05:06.000Z,http://t.co/BmHxhkm3Mh,Reuters,Around the world,true,174,280,37,52,-228,-137
CNNPolitics,The United States cuts funding for a UN health program for women and girls https://t.co/KTt2kZWBxV https://t.co/3IYENHAydP,2017-04-05T01:16:01.000Z,https://t.co/KWFMkrEjdY,CNN Politics,"Washington, DC",true,168,91,38,94,3,-130
