user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
BraddJaffy,!  cover of the @NewYorker is Sessions dragging Comey off a plane https://t.co/phZPJRQWgR,2017-05-11T20:35:11.000Z,,Bradd Jaffy,New York,true,3193,6111,412,148,-5963,-2781
Navang25,I guess @united harassment isn't limited to the unfriendly skies. #unacceptable #united #lackofcustomerservice https://t.co/A5P6A8XJjC,2017-05-08T20:52:07.000Z,,N25,Def not in my moms basement ,false,4140,4494,199,285,-4209,-3941
ActuFoot_,"Manchester United a proposé 85 M€ pour Kylian Mbappé.
Monaco a refusé l'offre et en réclame entre 120 et 140 M€. (@DiMarzio) https://t.co/3aOXjVms36",2017-05-02T22:06:28.000Z,https://t.co/76uF37USv5,Actu Foot,NA,false,969,588,186,52,-536,-783
TrueFactsStated,No one is buying Trump's excuse for firing Comey. And Comey anticipated it. The Assistant United States Attorney at EDVA is ready.,2017-05-09T23:54:42.000Z,https://t.co/zqBNTMiHkh,Claude Taylor,DC and on the road. ,true,2306,4860,94,281,-4579,-2212
JesseRodriguez,"Cover of new issue of @NewYorker -- Sessions dragging Comey off plane, as Trump looks on from behind. https://t.co/pmRRbPjBmo",2017-05-11T20:38:59.000Z,https://t.co/5TAF6ijWwt,Jesse Rodriguez,"New York, NY",true,781,1212,91,67,-1145,-690
CNN,"United passenger forcibly removed from a flight was swinging his arms violently, according to officers' reports https://t.co/RjmW6cDoqs https://t.co/Xvybw3juUp",2017-04-26T05:40:01.000Z,https://t.co/imGp4Ieixi,CNN,NA,true,77,123,71,131,8,-6
ZIatanFacts,Manchester United fan refuses to give his story to The Sun. 👏 https://t.co/d5ZXY0yxpD,2017-05-01T16:11:21.000Z,,Zlatan Facts,NA,false,829,1768,58,13,-1755,-771
michaeljknowles,Praying for Jimmy Kimmel's son. And a reminder: no one in the United States is refused treatment for lack of money or medical insurance.,2017-05-02T16:42:19.000Z,https://t.co/jmYIPw86CO,Michael Knowles 🫃🏻,"Nashville, TN",true,130,340,54,77,-263,-76
FoxNews,United CEO says he is “personally sorry” for response to passenger being dragged off of plane. https://t.co/dKg9osnzlW,2017-05-02T13:56:54.000Z,https://t.co/s4jEId5Aef,Fox News,U.S.A.,true,99,267,51,161,-106,-48
ProperSport,"⚽️🎙 Garry Monk confirms that Charlie Taylor refused to play for Leeds United today...

What are your thoughts, #LUFC fans? https://t.co/22Hn2dHQNy",2017-05-07T14:28:53.000Z,https://t.co/RQbtbHNoE4,Proper Sport,"Leeds, England",false,152,157,49,55,-102,-103
thehill,"New Yorker cover depicts Trump, Sessions dragging Comey off a plane https://t.co/meDPE5Yrxs https://t.co/nMZOZRMN7R",2017-05-11T21:22:04.000Z,http://t.co/t414UtTRv4,The Hill,"Washington, DC",true,388,642,45,39,-603,-343
McFaul,This is a threat. The President of the United States is bullying a private citizen to keep quiet.  What are we becoming? https://t.co/mbJC5Pjxwo,2017-05-12T18:13:21.000Z,https://t.co/gjVbfjzb0f,Michael McFaul,"Stanford, California",true,543,1032,35,92,-940,-508
RitaPanahi,"My piece in today's @theheraldsun on the brutal Saudi regime that is exporting its abhorrent ideology to the world.
https://t.co/7eeOrMicoj https://t.co/9kAR6rqKge",2017-04-30T23:50:26.000Z,https://t.co/ONmYU0inaH,Rita Panahi,"Melbourne, Victoria",true,372,486,34,61,-425,-338
Footballogue,"[#Transfert🛫] Selon @DiMarzio, Monaco a refusé une offre de 85M€ de la part de Manchester United pour Kylian Mbappé https://t.co/KH2cmz9u0L",2017-05-02T21:21:01.000Z,https://t.co/Kbv1zH7wZw,Footballogue⭐️⭐️,NA,false,406,249,32,12,-237,-374
CBSNews,"Meet Marlon Bundo, he's also known as BOTUS -- Bunny of the United States https://t.co/ZaezdIzoRc https://t.co/1Dift34Evi",2017-05-10T21:15:26.000Z,https://t.co/WWGo4zp06H,CBS News,"New York, NY",true,53,117,31,43,-74,-22
LiamPaulCanning,The lackadaisical marking shown from Chris Smalling is disgusting. That is a genuine disgrace. Incredible how he’s a Man United defender.,2017-05-14T16:37:39.000Z,,Liam Canning,NA,true,422,269,31,28,-241,-391
JudicialWatch,"'Who appointed you to the United States Supreme Court?' - via @worldnetdaily 

https://t.co/xiVV3G4W9O",2017-05-09T14:37:29.000Z,https://t.co/5jmPRuECas,Judicial Watch ⚖️,"Washington, DC",true,211,411,27,40,-371,-184
CulturedRuffian,"An alarm, but one that calls United to drag me out of bed after I hit the snooze button the third time.",2017-04-23T16:18:24.000Z,https://t.co/SYbWp46idz,The Cultured Ruffian,"Green Vegas, South Carolina ",false,119,258,25,5,-253,-94
washingtonpost,"United passenger was dragged off the plane with ""minimal but necessary force,"" police say https://t.co/QpLTv6XeSE",2017-04-26T09:59:07.000Z,https://t.co/1KN78z0bbe,The Washington Post,"Washington, DC",true,33,35,25,31,-4,-8
cnnbrk,"United Airlines CEO apologizes again, this time before Congress, after passenger was forcibly dragged off flight https://t.co/Mavs2M7NrC https://t.co/2sjUKV58Po",2017-05-02T14:37:57.000Z,https://t.co/ojQgQKzKzX,CNN Breaking News,Everywhere,true,138,268,24,58,-210,-114
