user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
BraddJaffy,!  cover of the @NewYorker is Sessions dragging Comey off a plane https://t.co/phZPJRQWgR,2017-05-11T20:35:11.000Z,,Bradd Jaffy,New York,true,3193,6111,412,148,-5963,-2781
TrueFactsStated,No one is buying Trump's excuse for firing Comey. And Comey anticipated it. The Assistant United States Attorney at EDVA is ready.,2017-05-09T23:54:42.000Z,https://t.co/zqBNTMiHkh,Claude Taylor,DC and on the road. ,true,2306,4860,94,281,-4579,-2212
Navang25,I guess @united harassment isn't limited to the unfriendly skies. #unacceptable #united #lackofcustomerservice https://t.co/A5P6A8XJjC,2017-05-08T20:52:07.000Z,,N25,Def not in my moms basement ,false,4140,4494,199,285,-4209,-3941
FillWerrell,When you are at the United Airlines flight and they announce that the flight is overbooked https://t.co/pDUHXDjB0l,2017-04-15T01:00:01.000Z,,Fill Werrell,🔔 Turn On Notifications,false,733,2787,34,9,-2778,-699
ZIatanFacts,Manchester United fan refuses to give his story to The Sun. 👏 https://t.co/d5ZXY0yxpD,2017-05-01T16:11:21.000Z,,Zlatan Facts,NA,false,829,1768,58,13,-1755,-771
ANGRYref,"Rosa Parks refused to give up her seat on @united, very sad #TrumpTeachesHistory @midnight",2017-05-02T00:10:19.000Z,https://t.co/W4t0i4THmF,Le Champion Stevie SlowJams,Hashtag Warrior Lv. 529,false,503,1757,20,30,-1727,-483
ItsNickBean,So I'm flying united to playlist idk if I will be meeting y'all or not hope the fight isn't overbooked 😱,2017-04-30T20:50:23.000Z,https://t.co/xRFzYv1X26,Nick Bean,"Los Angeles, CA",true,109,1488,0,28,-1460,-109
JesseRodriguez,"Cover of new issue of @NewYorker -- Sessions dragging Comey off plane, as Trump looks on from behind. https://t.co/pmRRbPjBmo",2017-05-11T20:38:59.000Z,https://t.co/5TAF6ijWwt,Jesse Rodriguez,"New York, NY",true,781,1212,91,67,-1145,-690
McFaul,This is a threat. The President of the United States is bullying a private citizen to keep quiet.  What are we becoming? https://t.co/mbJC5Pjxwo,2017-05-12T18:13:21.000Z,https://t.co/gjVbfjzb0f,Michael McFaul,"Stanford, California",true,543,1032,35,92,-940,-508
oksaiyaman,"United Airlines: It seems we are overbooked and need volunteers to leave the flight.
Passenger: We're already in the air. How can we get o- https://t.co/Eo5lGRUbZp",2017-04-17T01:22:50.000Z,https://t.co/EvoigCjHTs,Griffith was wrong,NA,false,456,904,11,10,-894,-445
ericbolling,"This is kinda crazy- @united charges $200+ fee if you change your departure. And starts at only $200 when they ""overbook"" #CustomerService?",2017-04-16T22:21:17.000Z,https://t.co/FL064k05Ep,🇺🇸ERIC BOLLING🇺🇸,NA,true,142,660,12,84,-576,-130
thehill,"New Yorker cover depicts Trump, Sessions dragging Comey off a plane https://t.co/meDPE5Yrxs https://t.co/nMZOZRMN7R",2017-05-11T21:22:04.000Z,http://t.co/t414UtTRv4,The Hill,"Washington, DC",true,388,642,45,39,-603,-343
Kasparov63,Because Putin asked. And who is the President of the United States to refuse the KGB dictatator who attacked the US? https://t.co/CvYUiTmDzy,2017-05-12T12:25:44.000Z,https://t.co/3iaiRgRuQN,Garry Kasparov,New York,true,332,614,13,22,-592,-319
ActuFoot_,"Manchester United a proposé 85 M€ pour Kylian Mbappé.
Monaco a refusé l'offre et en réclame entre 120 et 140 M€. (@DiMarzio) https://t.co/3aOXjVms36",2017-05-02T22:06:28.000Z,https://t.co/76uF37USv5,Actu Foot,NA,false,969,588,186,52,-536,-783
mattmfm,The President of the United States gleefully tweeting that a terrorist attack will impact a presidential election is wildly disturbing. https://t.co/PTJHwneMws,2017-04-21T13:21:05.000Z,https://t.co/rqleYAXY73,Matt McDermott,RI → DC → NYC → RI,true,353,569,17,43,-526,-336
RitaPanahi,"My piece in today's @theheraldsun on the brutal Saudi regime that is exporting its abhorrent ideology to the world.
https://t.co/7eeOrMicoj https://t.co/9kAR6rqKge",2017-04-30T23:50:26.000Z,https://t.co/ONmYU0inaH,Rita Panahi,"Melbourne, Victoria",true,372,486,34,61,-425,-338
httpstrin,"if all he does is drag you thru shit then apologizes, you dating united airlines sis",2017-04-15T00:53:28.000Z,,ᴛʀɪɴᴀ,NA,false,275,451,29,1,-450,-246
RealMikeWilbon,Never been dragged off an aircraft...yet I find myself hating United Airlines anyway. ..between the incompetence and the lying...,2017-04-28T00:05:25.000Z,https://t.co/bzOPyRmScC,Michael Wilbon,ESPN,true,50,451,8,38,-413,-42
DPRK_News,"Malnutrition wracks this generation of United States youth, fed only a diet of disgusting ""avocado toast"" in place of healthful foodstuffs.",2017-05-15T19:42:32.000Z,https://t.co/XuvxTw6XOW,DPRK News Service,"Pyongyang, DPRK",false,216,451,19,15,-436,-197
Freedomologist,#AprilTheGiraffe can someone call United Airlines to help drag that little bugger out of there?,2017-04-15T12:02:00.000Z,https://t.co/jirr6DD4uA,Get it right Spanky,"Cape Coral, Paradise ",false,169,446,14,11,-435,-155
Newsweek,United Airlines has changed its crew booking policy to prevent passengers being forcibly removed https://t.co/kjMSKlXEam https://t.co/KSiEFHFcMD,2017-04-16T21:15:39.000Z,https://t.co/g1Lso5rh3t,Newsweek,"New York, NY",true,234,444,98,45,-399,-136
ajplus,United Airlines CEO says no one will be fired over the dragging incident that left David Dao with a concussion and a broken nose. https://t.co/rRy6L8S6aP,2017-04-18T20:42:01.000Z,https://t.co/dffekhz2Zn,AJ+,NA,true,300,427,25,10,-417,-275
JudicialWatch,"'Who appointed you to the United States Supreme Court?' - via @worldnetdaily 

https://t.co/xiVV3G4W9O",2017-05-09T14:37:29.000Z,https://t.co/5jmPRuECas,Judicial Watch ⚖️,"Washington, DC",true,211,411,27,40,-371,-184
RTNBA,Ticket to an overbooked flight with United #ThingsIDRatherSpend495On,2017-05-04T20:42:11.000Z,https://t.co/nDf8m2FfLK,NBA Retweet,NA,false,280,410,10,5,-405,-270
LawyerRogelio,United Airlines Dragged And Beat A Passenger And They Are Still More Popular Than Trump via @politicususa https://t.co/ih3YaJ8PAy,2017-04-21T12:56:35.000Z,https://t.co/LZiKRSzaqT,Rogelio Garcia Lawyer,"Houston,Tx",false,377,408,5,10,-398,-372
EamoV1,Think it's time United forcibly remove another passenger https://t.co/i4j23Wu91k,2017-04-16T16:13:21.000Z,,EAMO,"Dublin, Ireland",false,207,405,10,7,-398,-197
ArmadaUGS,"Delayed flight that is also overbooked.... our feelings right now even if it's not United
@CLG_PewPewU https://t.co/dOQrRKFIzQ",2017-04-17T17:54:56.000Z,,Adam Lindgren,NA,true,13,388,1,3,-385,-12
janschakowsky,The treatment of Dr. David Dao on #United Flight 3411 demands a permanent response. That's why I introduced the #BOARDFairly Act today. https://t.co/EWg0nwgwF2,2017-04-25T20:31:24.000Z,https://t.co/hdy2wLwKC2,Jan Schakowsky,"Chicago, IL",true,209,387,44,22,-365,-165
Patrici15767099,Just booked a vacation flight on United. I got a really good deal. Pray that they don't drag me off the plane ✈ 😁,2017-04-21T05:47:57.000Z,https://t.co/Mi56C6m0qb,Patricia Dickson,United States,false,60,342,11,71,-271,-49
michaeljknowles,Praying for Jimmy Kimmel's son. And a reminder: no one in the United States is refused treatment for lack of money or medical insurance.,2017-05-02T16:42:19.000Z,https://t.co/jmYIPw86CO,Michael Knowles 🫃🏻,"Nashville, TN",true,130,340,54,77,-263,-76
JOEtheMORTON,"A criminal as President of the United States, what an interesting irony, unprecedented. #Scandal",2017-04-21T01:08:13.000Z,https://t.co/bqheWSN9CS,Joe Morton,NA,true,114,336,11,10,-326,-103
apopey,I understand that Leeds United have started disciplinary proceedings against Charlie Taylor after he refused to play for #lufc at Wigan. https://t.co/SR7L6E744P,2017-05-10T12:34:40.000Z,,Adam Pope,West Yorkshire,false,61,331,16,55,-276,-45
viceimpact,We met @CasaRubyDC last night in GAYCATION: UNITED WE STAND. Help them save trans people from violence: https://t.co/L8PIBRSOxR,2017-05-01T13:00:05.000Z,https://t.co/8yYbLEkZyx,VICE Impact,NA,true,100,304,3,13,-291,-97
GiveMeInternet,United Overbooked https://t.co/1SoOlGmC3L,2017-04-18T18:40:03.000Z,https://t.co/e2ZRv8kog7,Give Me Internet,Internet,false,162,295,5,1,-294,-157
ABC,"Doctor who was dragged off United flight is preparing for legal action over the incident, lawyer says. https://t.co/LIbt7JivKu https://t.co/hMWqw9rv3X",2017-04-24T22:06:32.000Z,https://t.co/26XEt8onYo,ABC News,New York City / Worldwide,true,89,285,17,31,-254,-72
RyankPotter,"Flying United today 😂
I'll make sure someone records if I get dragged off the plane.",2017-05-05T14:20:46.000Z,,ライアン,Sol System,true,31,283,5,8,-275,-26
Reuters,United changes crew booking policy after passenger dragged off plane https://t.co/ZL8Duv7AKr https://t.co/6n27jRBBU6,2017-04-15T03:05:06.000Z,http://t.co/BmHxhkm3Mh,Reuters,Around the world,true,174,280,37,52,-228,-137
CouchmenDBC,When the Drum Corps you audition for is overbooked #United @PhantomRegiment https://t.co/NPpssbZlgU,2017-04-19T00:52:46.000Z,https://t.co/AOd0m7qle6,Couchmen,"Denton, TX",false,83,269,8,1,-268,-75
