user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
dailydot,Police say United passenger dragged off flight caused his own injuries: https://t.co/PhrguClZkQ https://t.co/MF3H40NQUV,2017-04-25T15:42:13.000Z,https://t.co/7sRrlbhg0l,The Daily Dot,Online/IRL,true,14,9,36,7,-2,22
fro_vo,*flies united and nothing crazy happens* this is bullshit,2017-04-17T14:57:32.000Z,https://t.co/gDvy98rHI5,FRO VO,Chicagoland,false,29,131,40,0,-131,11
thehill,Priest on MSNBC compares United dragging incident to crucifixion of Jesus https://t.co/6bdWfltfPL https://t.co/yMhPbsWjWL,2017-04-15T14:33:05.000Z,http://t.co/t414UtTRv4,The Hill,"Washington, DC",true,19,25,25,44,19,6
StarTribune,"With plans for offering up to $9,950 to an overbooked passenger, Delta aims to avoid United fiasco https://t.co/U3cPx8YscA https://t.co/tmMTT5G9Sl",2017-04-15T03:15:00.000Z,https://t.co/2perTa45jk,Star Tribune,"Minneapolis, MN",true,4,7,8,2,-5,4
thehill,"Aviation cop: United passenger was removed with ""minimal but necessary force"" https://t.co/cxhcsCcpvA https://t.co/fHrcLiGFEH",2017-04-25T14:46:07.000Z,http://t.co/t414UtTRv4,The Hill,"Washington, DC",true,12,15,16,22,7,4
FoxBusiness,.@JohnKasich: United dragging incident teaches important life lessons https://t.co/ykXwuUsxJh,2017-04-25T16:25:01.000Z,https://t.co/ytWMvJlUP9,FOX Business,"New York, NY",true,1,4,5,7,3,4
ladbible,Gogglebox sisters outrage viewers with 'disgusting' comments. https://t.co/fZ0sPljXjk https://t.co/6vMQcJvKSX,2017-04-15T17:34:59.000Z,https://t.co/Nz2emitt7N,LADbible,NA,true,2,49,5,26,-23,3
DailyMail,United CEO says NO one will be fired for dragging passenger off flight https://t.co/tC8BgUPeLc,2017-04-18T19:46:22.000Z,http://t.co/fT7KB2wyqg,Daily Mail US,New York,true,2,2,5,4,2,3
CBCNS,Should airlines be allowed to overbook flights and bump passengers? https://t.co/5iVJkIAgkz https://t.co/FSed88qeqQ,2017-04-23T14:00:04.000Z,https://t.co/xhE0meIxIk,CBC Nova Scotia,Nova Scotia,true,1,4,4,2,-2,3
nbcchicago,"JUST IN: Officers said they used 'minimal' force on United passenger, according to newly-released documents https://t.co/wgT6WY9NaN",2017-04-24T23:12:54.000Z,https://t.co/k2nK0L6s28,NBC Chicago,"Chicago, IL",true,1,4,4,5,1,3
MarketWatch,"United received $800 million in change fees last year, congressman says https://t.co/xA2jBvcoBG",2017-05-02T14:33:22.000Z,https://t.co/Z9DRUcnQ8M,MarketWatch,"New York, NY",true,1,4,4,1,-3,3
indystar,Rep. Todd Rokita says the #UnitedAirlines passenger dragged off a plane shouldn't have resisted. https://t.co/nphyOfVkFA https://t.co/6QZth5PVNu,2017-05-03T12:20:05.000Z,https://t.co/B3kqZsAHA0,IndyStar,"Indianapolis, IN",true,2,5,5,8,3,3
CBCBusiness,United CEO says no one will be fired for dragging incident https://t.co/c7hTrWDxhe https://t.co/Jqotqkqmra,2017-04-18T18:45:20.000Z,http://t.co/w34fcaNwik,CBC Business,Canada,true,9,7,11,9,2,2
10TV,United CEO says no one will be fired for dragging incident https://t.co/9mU2UxHO2S #10TV https://t.co/2unosZSEQn,2017-04-19T02:50:02.000Z,https://t.co/KrvUsJSH4Y,10TV,"Columbus, Ohio, USA",true,1,6,3,0,-6,2
__JayBee00,New age United fans really are Spurs fans in disguise and it's disgusting,2017-04-22T17:36:26.000Z,,Jerome Blakey 🇬🇭,The Uncommonwealth,false,1,1,3,0,-1,2
BloombergTV,"United offers up to $10,000 for passengers who voluntarily give up their seats on oversold flights https://t.co/2niIyxC8gg https://t.co/0Vo01fCUzB",2017-04-28T04:10:46.000Z,https://t.co/FBbC5zBFcN,Bloomberg TV,New York,true,1,1,3,2,1,2
NewshubNZ,Woman booted off United Airlines flight after refusing to sit near cat https://t.co/NhOip7PDOm https://t.co/bgROum1uJL,2017-04-29T04:44:09.000Z,https://t.co/CyHFIEX9Qt,Newshub,New Zealand,true,1,3,3,0,-3,2
YahooNews,United CEO apologizes to Congress for incident when man was was violently dragged off plane https://t.co/9ngDerXf1T https://t.co/TyvW7SBl89,2017-05-02T16:50:02.000Z,https://t.co/Wi4rjphABy,Yahoo News,New York City,true,2,3,4,0,-3,2
YahooFinance,Buffett: United made 'terrible mistake' with dragged passenger - CNBC https://t.co/91uOLki3ri https://t.co/jwVtmD8MHP,2017-05-08T13:10:06.000Z,https://t.co/LrB4M4iv6B,Yahoo Finance,"New York, NY",true,1,4,3,1,-3,2
Playerinthgame,"Delta / Air France - your policies are insane. Step aside, United Airlines. You've lost a customer. @Delta @airfrance https://t.co/tcZad91qEQ",2017-05-12T13:08:16.000Z,,Whatever,Nope,false,1,4,3,2,-2,2
ActionNewsNow,"Delta substantially increases overbooked flight compensation following United Airlines debacle
https://t.co/GsfrcuI545",2017-04-15T03:00:00.000Z,https://t.co/dg1YvEzL0B,Action News Now,"Chico, CA",true,1,1,2,0,-1,1
glamourmag,This beauty blogger is getting dragged for a United Airlines makeup tutorial: https://t.co/Z5VjOvgHdT https://t.co/NTN4MW3V3m,2017-04-15T05:38:35.000Z,https://t.co/1Y5rQfrWJT,Glamour,NA,true,3,12,4,1,-11,1
HuffPostWeird,"People compared United Airlines to ""Fight Club"" on Twitter https://t.co/yJpUbPpGq0 https://t.co/DNxmAfHKxa",2017-04-15T06:37:56.000Z,https://t.co/vJTAdUHCdH,HuffPost Weird News,Global,true,2,5,3,1,-4,1
MichiganMan_2,"Hurry &amp; call United Airlines to help drag out April the Giraffe's baby

#AprilTheGiraffe",2017-04-15T12:17:43.000Z,,Doug 〽️,Great Lakes State,false,1,13,2,1,-12,1
tarahaelle,"""United Airlines will no longer let its staff take the seats of already boarded passengers on overbooked flights."" https://t.co/Gd3dOEY9n0",2017-04-16T19:47:47.000Z,https://t.co/xzZFCVXAZ9,Tara “Ofdarrell” Haelle,DFW,true,1,1,2,0,-1,1
TheSunFootball,"Jamie O'Hara in trouble after violent confrontation with Billericay town fan
https://t.co/oNuobDRSF9 https://t.co/pY697nbawM",2017-04-16T21:00:03.000Z,https://t.co/QFHSwUHHY6,The Sun Football ⚽,NA,true,1,7,2,3,-4,1
JackPolakoff,Pentagon awards contract to United Airlines to forcibly remove Assad https://t.co/odRA1kThii via @DuffelBlog,2017-04-16T23:25:31.000Z,https://t.co/YjxjjMg3Nm,Jack Polakoff,New York City,false,1,4,2,0,-4,1
WPSDLocal6,"United changes policy, crew can't displace seated passengers after a passenger dragged from a fully-booked flight. https://t.co/OHowwGkwYM https://t.co/jq1Pt6m3qY",2017-04-17T00:48:59.000Z,http://t.co/1KyvO5rKhq,WPSD Local 6,"Paducah, Kentucky",true,1,4,2,1,-3,1
PRWeekUS,Editor's blog: PR lessons from Al Golin and United Flight 3411 https://t.co/zLo50BxwiG https://t.co/moIbKNvQXd,2017-04-17T01:03:01.000Z,https://t.co/YDns6sSE6q,PRWeekUS,New York,true,1,1,2,0,-1,1
SOTTnet,Society's Child: #UnitedAirlines under fire again: Company refused to allow disabled man to board with mobility... https://t.co/Pny1Ur6sRn,2017-04-17T15:13:40.000Z,http://t.co/7R5ZjB2xSk,Signs Of The Times,Global,false,1,1,2,0,-1,1
cjsienna55,United Nations Pedophile Ring Sparks Condemnation Worldwide https://t.co/6syAsSgZw5 via @yournewswire,2017-04-18T01:11:11.000Z,,Dreaming of Peace,United States,false,5,3,6,1,-2,1
StarTribune,United CEO says no one will be fired over dragging incident https://t.co/zgzDcUkNwf https://t.co/bMHihOf7g1,2017-04-18T17:23:02.000Z,https://t.co/2perTa45jk,Star Tribune,"Minneapolis, MN",true,1,3,2,0,-3,1
GlobalEdmonton,The @united CEO was initially criticized for blaming the passenger who was dragged off the flight. https://t.co/huhhpwyZ9B,2017-04-18T18:44:22.000Z,https://t.co/Qkvvx9dKtB,Global Edmonton,"Edmonton, AB",true,1,1,2,1,0,1
YahooNews,United CEO: No one will be fired for situation that led to man being violently dragged from plane https://t.co/pNNBZ3Ik5M https://t.co/EYzFWHqw3Z,2017-04-18T22:30:21.000Z,https://t.co/Wi4rjphABy,Yahoo News,New York City,true,2,2,3,6,4,1
latimes,United Airlines' passenger-dragging fiasco overshadows a strong earnings report https://t.co/hGF1Hxw5sb https://t.co/1e8ebfTuE7,2017-04-18T23:20:08.000Z,https://t.co/WeffKZ2O0l,Los Angeles Times,"El Segundo, CA",true,4,10,5,3,-7,1
ottawasuncom,United CEO says no one will be fired for dragging incident https://t.co/Coa2RBKccU https://t.co/tmFSQPdPE0,2017-04-19T03:05:04.000Z,http://t.co/3mOQNo2wu8,Ottawa Sun,"Ottawa, Canada",true,1,1,2,0,-1,1
BlockClubCHI,"Alderman proposes disbanding Aviation police after @united fiasco, sending CPD to airports instead https://t.co/HdRUC9aZvH https://t.co/xnVLUaz71m",2017-04-19T17:03:07.000Z,https://t.co/q8KRMSrUmk,Block Club Chicago,"Chicago, Illinois",true,2,5,3,4,-1,1
ReutersTV,Passenger dragging costs United CEO chairman job https://t.co/pI56xgXWtA,2017-04-21T23:28:05.000Z,https://t.co/28VVCc4Tmt,Reuters TV,New York,true,1,6,2,0,-6,1
WGNNews,Aviation officers say United passenger removed using ‘minimal but necessary force’ https://t.co/lov30tL5xc https://t.co/Hu0EuJd22R,2017-04-25T04:05:09.000Z,http://t.co/1Ah1yoD02k,WGN TV News,"Chicago, IL",true,1,2,2,1,-1,1
