user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
nytimes,"As Wounded Warrior Project became a big name, it spent millions on things that seemed more lavish than appropriate https://t.co/jlsWTw7n0S",2016-01-31T02:45:09.000Z,http://t.co/ahvuWqicF9,The New York Times,New York City,true,172,186,0,25,-161,-172
CBSEveningNews,Chip Reid investigates accusations that the Wounded Warrior Project is wasting millions and shortchanging veterans https://t.co/ccKj0q8ks6,2016-01-26T23:39:23.000Z,https://t.co/Mm7FlsMteV,CBS Evening News,📺 6:30 p.m. ET,true,83,51,0,23,-28,-83
CBSEveningNews,"AHEAD: @CBSNews investigates Wounded Warrior Project. Former staffers/vets accuse WWP of wasting millions of dollars
https://t.co/U0Lg7csEqd",2016-01-26T22:44:30.000Z,https://t.co/Mm7FlsMteV,CBS Evening News,📺 6:30 p.m. ET,true,82,32,0,18,-14,-82
USATODAY,The Wounded Warrior Project is being accused of blowing millions on its staff https://t.co/hQG1Og0Wlz (AP photo) https://t.co/261sXTyJPx,2016-01-30T20:30:19.000Z,https://t.co/yNKGMNvztv,USA TODAY,"USA TODAY HQ, McLean, Va.",true,69,34,0,7,-27,-69
Popehat,"Charity Navigator puts Wounded Warrior Project on the watchlist: excessive salary, ""overhead,"" little help for vets. https://t.co/yBH5yeduKQ",2016-01-31T16:29:13.000Z,https://t.co/WHJPylylr2,WrongAndBadHat,Los Angeles,false,33,11,0,3,-8,-33
wwp,An orthopedic surgeon joins the @USMC at age 60 to honor his son: https://t.co/fcHnnP20EI via @taskandpurpose https://t.co/7Vj7N9TZAU,2016-02-06T20:20:08.000Z,https://t.co/823KUG2zCi,WWP,"Jacksonville, FL",true,27,47,0,4,-43,-27
nytopinion,"""I was saddened to read of the wasteful spending at the Wounded Warrior Project"" #NYTLetters https://t.co/vHLoooxHJ2 https://t.co/TC4Ygnozdi",2016-01-30T17:38:53.000Z,https://t.co/oy7Q8cSQqk,New York Times Opinion,"NYC, London, Paris, Hong Kong",true,18,24,0,1,-23,-18
DailyCaller,Investigation: Wounded Warrior Charity Only Spends 60&amp; Of Funds On Veterans https://t.co/hs3P99N3vg https://t.co/xHcxpspFib,2016-01-31T12:46:07.000Z,https://t.co/ePSMzp6Wnp,Daily Caller,"Washington, DC",true,14,3,0,3,0,-14
MindfulMajority,"Wounded Warrior Project spends lavishly on itself, ex-employees say https://t.co/wiekx90uy0 via @HoustonChron",2016-01-30T19:06:51.000Z,,Mindful Majority,"Denver, CO",false,12,6,0,1,-5,-12
SSIReview,Complaints about @wwp's overhead costs made headlines this week. But are sizable overheads at nonprofits always bad? https://t.co/g5kOviGwQY,2016-01-30T18:09:41.000Z,https://t.co/4WLW0c1HOO,Stanford Social Innovation Review,"Stanford, CA",false,11,11,0,3,-8,-11
veteranstoday,Wounded Warrior Project accused of wasting donation money (CBS Video Report) -  https://t.co/pKKffl4bml https://t.co/dKxZ919X8U,2016-01-31T16:37:04.000Z,https://t.co/vSa09jwcNn,VeteransToday,U.S.A.,false,11,2,0,0,-2,-11
CBSMornings,#WoundedWarriorProject on Charity Navigator's watch list: https://t.co/pSGQgayrDS,2016-01-30T16:02:20.000Z,https://t.co/jLzzFAF7Ld,CBS Mornings,United States,true,10,9,0,0,-9,-10
wwp,America’s Warrior Partnership’s Communications Contractor on rethinking #nonprofit overhead: https://t.co/k3WryokcFa https://t.co/DQiufEp4FC,2016-02-02T19:05:04.000Z,https://t.co/823KUG2zCi,WWP,"Jacksonville, FL",true,10,12,0,1,-11,-10
CBSNewsPress,".@CharityNav says @WWP spends 60% on vets, while other vet orgs top 90%. @CBSEveningNews investigation coming up. https://t.co/yUQoGYJ6uj",2016-01-26T23:03:06.000Z,https://t.co/JvEtHPBp0b,CBS News PR,NA,true,9,5,0,0,-5,-9
VeteransFirst,Wounded Warrior Program accused of wasting millions of dollars received through donations. Details: https://t.co/UzU4hshIzc,2016-01-30T18:30:07.000Z,https://t.co/srNceEyAxw,Veterans First,United States,false,9,2,0,0,-2,-9
SoCallls,#RushLimbaugh sponsor: Wounded Warrior Project accused of wasting money https://t.co/ifnZTdPofw  #stoprush,2016-02-07T15:43:10.000Z,,CMMorgan #NeverAgain,NA,false,8,1,0,0,-1,-8
OnePercntBetter,"Wounded Warrior Project Spends Lavishly on Itself, Insiders Say https://t.co/sAkhcxmTlJ",2016-02-25T03:01:20.000Z,,1% Better,NA,false,8,4,0,3,-1,-8
9a1e6c8a99984e2,https://t.co/KWqL1V1cH1 Some Of These Right Wing Charity Groups Are Nortorious For Fraud Embezzellment And Abusing The Tax Exempt Status ...,2016-01-30T00:18:38.000Z,,@towman883,@towman883,false,7,5,0,1,-4,-7
KING5Seattle,Wounded Warrior Project under fire for reported overspending https://t.co/2EYsTKyxUC,2016-01-31T21:00:29.000Z,https://t.co/DTGVWWcuRo,KING 5 News,"Seattle, Washington, USA",true,7,5,0,0,-5,-7
DisabledVetsCPX,"VIDEO: CBS reports on wounded warrior project accused of waste &amp; calls for ""ceo"" resignation https://t.co/175jcXNzAJ @ConcernedVets @iava",2016-02-05T13:53:30.000Z,,Disabled Veterans,NA,false,6,4,0,1,-3,-6
Ivanroberson,"Wounded Warrior Project Spending Too Much on Executives, Not Enough On Veterans - The Ring of Fire Network https://t.co/NZWJyqF04o",2016-01-31T16:03:31.000Z,,Ivan (Fla),"Sunny Again, Fl",false,5,2,0,0,-2,-5
npquarterly,#WoundedWarriors Project is under fire for out-of-control spending: https://t.co/3V9wienNpX,2016-02-02T00:40:00.000Z,https://t.co/NtRRDyXic0,Nonprofit Quarterly,"Boston, MA",true,5,2,0,0,-2,-5
MissionMeasure,Criticism of @wwp is misplaced. Overhead cost is not the metric that matters. Cost per outcome is: https://t.co/qBM8cqw1y6 #WWP,2016-02-04T19:43:51.000Z,http://t.co/Vqy8bK3kqP,Mission Measurement,"Chicago, IL",false,5,6,0,1,-5,-5
npquarterly,When a scandals hit like the @wwp accusations of outlandish spending what’s a nonprofit CEO to do? Hire a PR firm! https://t.co/ogE8NFjGkn,2016-02-05T03:00:06.000Z,https://t.co/NtRRDyXic0,Nonprofit Quarterly,"Boston, MA",true,5,5,0,0,-5,-5
AndreaGrymesTV,Wow .. major investigation just now into how @wwp spends donated $$ meant for veterans from #ChipReid on @CBSEveningNews.,2016-01-26T23:46:21.000Z,http://t.co/BjVbi6ICSW,Andrea Grymes,New York City,true,4,4,0,2,-2,-4
KytKatz,@overcameit Thank YOU for exposing the rephehensible spending of the @WWP donors money! They have no souls! #Boycott #WoundedWarriorProject,2016-01-26T23:53:03.000Z,https://t.co/dXH0UQmfcI,Karyn A. K. Fleck,Rhode Island USA @Dollarocracy,false,4,4,0,0,-4,-4
