user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
RichardRSmithJr,"Defense of @wwp: My niece (WW) was beneficiary of some of that spending. Money was spent on volunteers, without whom @wwp wouldn't exist.",2016-03-31T16:53:58.000Z,,Walk Toward The Fire,Midwest,false,3,6,1,1,-5,-2
CBSEveningNews,World Warrior Project investigation continues with major donor pulling his support for @WWP: https://t.co/bOADNyvG2l https://t.co/xWQvpPgdAO,2016-03-04T00:36:06.000Z,https://t.co/Mm7FlsMteV,CBS Evening News,📺 6:30 p.m. ET,true,5,7,0,2,-5,-5
CBSMornings,"Major @WWP donors are now demanding accountability after our @CBSNews investigation. The story, ahead on @CBSThisMorning.",2016-03-04T11:47:58.000Z,https://t.co/jLzzFAF7Ld,CBS Mornings,United States,true,4,9,0,1,-8,-4
TroyPanhellenic,Good luck to @atotroy and the brothers spending 6 days walking 128 miles to raise funds for Wounded Warrior!🇺🇸👣 https://t.co/817ghF3Eyd,2016-03-04T17:33:09.000Z,https://t.co/W5mxCc68AW,Troy Panhellenic,"Troy, Alabama",false,9,12,0,0,-12,-9
npquarterly,“VIP donors” to the Wounded Warrior Project are dedicated to a new cause: Demanding reform at the organization https://t.co/kWfwKvOw21,2016-03-05T00:00:00.000Z,https://t.co/NtRRDyXic0,Nonprofit Quarterly,"Boston, MA",true,6,2,0,0,-2,-6
CountingCharity,"Today's Doonesbury cartoon hits Wounded Warrior Project spending critiques. h/t @teeoffforeacaus 
https://t.co/h0Y831ZnBX",2016-03-06T14:52:59.000Z,,Brian Mittendorf,NA,false,2,2,0,0,-2,-2
teeoffforeacaus,Read this piece about a donor to #wwp from North Dakota.  He asked someone at WWP if he had to pay for drinks... https://t.co/nuXpoChhhk,2016-03-06T19:00:36.000Z,http://t.co/30F3EfoaKj,Fred Kane,"Myrtle Beach, SC",false,1,2,0,1,-1,-1
Philanthropy,"Donations to Wounded Warrior Project slow after spending scandal
https://t.co/UFxLCxt7IS",2016-03-15T00:01:06.000Z,http://t.co/1rkgYa12PO,The Chronicle of Philanthropy,"Washington, D.C.",true,5,5,0,1,-4,-5
FoxNews,"Capt. Anthony Odierno, Board Chair, @wwp: ""Independent review...showed 80% [of spending] did go to programs for the vets."" #OReillyFactor",2016-03-15T00:35:38.000Z,https://t.co/s4jEId5Aef,Fox News,U.S.A.,true,24,40,0,41,1,-24
FoxNews,"Odierno on fired @wwp execs: ""In totality of all the circumstances...the board felt that a change was necessary."" https://t.co/JFHnLfPMOy",2016-03-15T00:39:03.000Z,https://t.co/s4jEId5Aef,Fox News,U.S.A.,true,41,64,0,50,-14,-41
AbilityChicago,"Wounded Warrior Project execs were fired ""accused of wasting donations"" https://t.co/qGlWhHr2yA https://t.co/E5qEoNmHjI",2016-03-15T01:20:25.000Z,http://t.co/mdb4phuPkk,Jim Watkins,"Chicago, Ill. ",false,1,1,0,0,-1,-1
TJHansen1,Board relieves CEO and COO of veteran support group Wounded Warrior Project for losing focus on vets.  https://t.co/VNsjMJQb03,2016-03-15T04:06:44.000Z,https://t.co/p6tHNMIkQJ,Tim Hansen,"Rochester, New York",false,1,2,0,0,-2,-1
sarenaulibarri,"""Maybe I have time to work on my own book today?"" 
*opens file* 
""Holy Hell, this is a mess."" 
*backs away slowly, goes back to WWP editing*",2016-03-15T23:02:36.000Z,https://t.co/ilECLMOVQ5,Sarena Ulibarri,"Albuquerque, NM",false,1,9,0,2,-7,-1
Kaygirl8Lawana,Wounded Warrior Project Fires Top Executives For Wasting Funds https://t.co/sPpaDHw5VG via @DiversityInc,2016-03-16T01:05:15.000Z,,lawana gilbert-,NA,false,1,1,0,0,-1,-1
tonyreypak,"Just heard about the Wounded Warrior money spending controversy.

Unfucking Believable.",2016-03-16T13:59:22.000Z,https://t.co/eVEjVrJ2ck,Tony Reyes,Orange County,false,1,3,0,2,-1,-1
RepJuanVargas,Thank you @RepDanDonovan for helping me introduce the Wounded Warrior Housing Reform Act of 2016! https://t.co/8S7SvgLpJy,2016-03-16T18:24:41.000Z,http://t.co/m3QdRCZFO0,Rep. Juan Vargas,"SD/Imperial Counties, CA",true,2,2,0,0,-2,-2
MiaFarrow,"#WoundedWarriorProject spends 60% on vets,40% on fun staff activities. Good charities spend 90%+ on stated project https://t.co/hI0Nv7UXH6",2016-03-19T00:37:37.000Z,,Mia Farrow🇺🇦,USA ,true,47,54,0,5,-49,-47
TransitionVet,"#WWP fires executives over spending accusations - It's a start
https://t.co/NWfGahxtZv

#NonProfit #Veterans #MilFams #MIlitary @CharityNav",2016-03-19T02:45:16.000Z,http://t.co/5YkrJa5R9P,TransitioningVeteran,NA,false,1,2,0,0,-2,-1
wjxt4,I-TEAM UPDATE: Senator asks for Wounded Warrior Project spending records https://t.co/wrwiQVTPcV,2016-03-19T03:45:29.000Z,https://t.co/jxNOTgcwdl,News4JAX,"Jacksonville, Fla.",true,2,2,0,0,-2,-2
JacksonvilleCP,WWP founder: Fired executives made ‘excuses to justify their actions' https://t.co/uJINwPDvmL,2016-03-19T06:31:08.000Z,https://t.co/IpISz2S6OY,Jacksonville Now,"Jacksonville, FL",false,1,1,0,0,-1,-1
