user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
teeoffforeacaus,Read this piece about a donor to #wwp from North Dakota.  He asked someone at WWP if he had to pay for drinks... https://t.co/nuXpoChhhk,2016-03-06T19:00:36.000Z,http://t.co/30F3EfoaKj,Fred Kane,"Myrtle Beach, SC",false,1,2,0,1,-1,-1
drnic1,Wounded Warrior Project Fires Top Execs After Reports of Wasteful Spending #ethics https://t.co/INUBOtLQGE,2016-03-13T17:07:17.000Z,https://t.co/D6O9O0IGyz,"Ñick van Terheyden, MD -Dr Ñiçk 🇺🇸🇬🇧🇮🇪🇳🇬🌍","USA, EMEA, APAC",false,1,1,0,0,-1,-1
dhrxsol1234,Wounded Warrior Project executives fired after damning report -- https://t.co/3PzuPL1nDo  #tcot,2016-03-14T15:16:17.000Z,,John Galt,RT does not related to Like ,false,1,1,0,0,-1,-1
NonprofitWoman,#WoundedWarrior Project chair on recovery from spending scandal https://t.co/Bf1AreIebK #Veterans #accountability https://t.co/uHuPiXfNi3,2016-03-14T22:05:09.000Z,http://t.co/h0hO2Mpgn1,Women In Nonprofit,Western Massachusetts,false,1,2,0,0,-2,-1
VeteransFirst,Wounded Warrior Project fires two top executives responsible for wasteful spending of millions $$ of donated money. https://t.co/O5jia6onOU,2016-03-14T22:30:10.000Z,https://t.co/srNceEyAxw,Veterans First,United States,false,1,1,0,0,-1,-1
AbilityChicago,"Wounded Warrior Project execs were fired ""accused of wasting donations"" https://t.co/qGlWhHr2yA https://t.co/E5qEoNmHjI",2016-03-15T01:20:25.000Z,http://t.co/mdb4phuPkk,Jim Watkins,"Chicago, Ill. ",false,1,1,0,0,-1,-1
TJHansen1,Board relieves CEO and COO of veteran support group Wounded Warrior Project for losing focus on vets.  https://t.co/VNsjMJQb03,2016-03-15T04:06:44.000Z,https://t.co/p6tHNMIkQJ,Tim Hansen,"Rochester, New York",false,1,2,0,0,-2,-1
sarenaulibarri,"""Maybe I have time to work on my own book today?"" 
*opens file* 
""Holy Hell, this is a mess."" 
*backs away slowly, goes back to WWP editing*",2016-03-15T23:02:36.000Z,https://t.co/ilECLMOVQ5,Sarena Ulibarri,"Albuquerque, NM",false,1,9,0,2,-7,-1
Kaygirl8Lawana,Wounded Warrior Project Fires Top Executives For Wasting Funds https://t.co/sPpaDHw5VG via @DiversityInc,2016-03-16T01:05:15.000Z,,lawana gilbert-,NA,false,1,1,0,0,-1,-1
tonyreypak,"Just heard about the Wounded Warrior money spending controversy.

Unfucking Believable.",2016-03-16T13:59:22.000Z,https://t.co/eVEjVrJ2ck,Tony Reyes,Orange County,false,1,3,0,2,-1,-1
danpallotta,"5. NYT/CBS Materially Mis-Report @wwp Overhead Ratios, Wrongly Accuse it of Inflating Program Expenditure Figures https://t.co/iPE15oenIL",2016-03-18T02:07:48.000Z,https://t.co/j5Rd5Ktjpc,danpallotta,Cambridge,false,1,1,0,0,-1,-1
FPWellman,Executives fired from Wounded Warrior Project speak out https://t.co/T8l019vhJg,2016-03-18T13:15:21.000Z,https://t.co/2xfuXImxSU,Fred Wellman,"St. Louis, MO",true,1,1,0,0,-1,-1
stevenardizzi,At last we are free to talk. Thanks to @kilmeade for giving us the platform. https://t.co/ZLcY1xNQlj,2016-03-18T14:48:52.000Z,,Steven Nardizzi,"Jacksonville, FL",false,1,1,0,0,-1,-1
VistaJake,The Wounded Warrior charity makes one wonder about the adequacy of our charitable organization requirements? 60% to warriors 40% to execs?,2016-03-18T19:39:52.000Z,,AJ Cujo,NA,false,1,5,0,0,-5,-1
