user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
FoxBusiness,".@SenWarren on @WellsFargo: ""Is this a case of a bank that is so giant that you really can't manage it?"" https://t.co/QU913OqqkY",2016-09-15T17:45:07.000Z,https://t.co/ytWMvJlUP9,FOX Business,"New York, NY",true,8,12,11,35,23,3
CNNPolitics,"A top economic adviser to Donald Trump calls the Wells Fargo scandal ""just stupid, greedy behavior"" https://t.co/QopYPUFoXC via @CNNMoney https://t.co/KQSUd2v55y",2016-10-02T22:30:01.000Z,https://t.co/KWFMkrEjdY,CNN Politics,"Washington, DC",true,19,24,5,35,11,-14
FoxBusiness,Dick Bove: Taking @WellsFargo scam to Congress is 'extreme reaction' https://t.co/396izUMnN5,2016-09-19T15:48:19.000Z,https://t.co/ytWMvJlUP9,FOX Business,"New York, NY",true,7,2,2,12,10,-5
SeanDuffyWI,On @WellsFargo: @FinancialCmte is going to investigate this and hold those responsible to account. @Varneyco https://t.co/DKfqrQE7hY,2016-09-19T14:43:02.000Z,,Sean Duffy,NA,false,1,1,0,9,8,-1
WilfredFrost,Clinton vs Dimon - who has it right? Has the bashing of Wells Fargo and John Stumpf gone too far?,2016-10-04T08:56:58.000Z,https://t.co/oG2x8l6jYh,Wilfred Frost,NA,true,7,7,3,13,6,-4
DailyMail,Wells Fargo CEO to walk away with $134MILLION in wake of scandal https://t.co/759xlld4ks,2016-10-14T16:33:06.000Z,http://t.co/fT7KB2wyqg,Daily Mail US,New York,true,20,5,10,11,6,-10
CNBC,Wells Fargo CEO John Stumpf gets $123.6 million if he walks https://t.co/PrtmzIjQAk,2016-09-26T12:12:12.000Z,https://t.co/OhV9V1EIa6,CNBC,"Englewood Cliffs, NJ",true,26,12,10,17,5,-16
NYDailyNews,Wells Fargo CEO John Stumpf could get up to $200M for walking away from the job https://t.co/nwEDqYhTD8 https://t.co/dQfDRHGxmy,2016-09-26T14:50:30.000Z,https://t.co/0UlNdSH0rW,New York Daily News,New York / fb.com/nydailynews,true,13,4,10,9,5,-3
Kevin_Meyer,"BS. The leader sets goals, creates culture,and is accountable. - Wells Fargo Boss Says Staff at Fault for Scams https://t.co/Kp0tRd6fBf",2016-09-14T12:16:42.000Z,https://t.co/qOBBIe89gA,Kevin Meyer,"Central Coast, California",false,3,1,2,5,4,-1
YahooFinance,"LIVE: Wells Fargo is blaming scandal on employees, not culture https://t.co/vnSnTPfGz6 https://t.co/wDX3EDe8iA",2016-09-14T12:38:29.000Z,https://t.co/LrB4M4iv6B,Yahoo Finance,"New York, NY",true,12,3,5,7,4,-7
Benzinga,Wells Fargo Blasted On Social Media Following Fraud Settlement https://t.co/Bj0umVhQEx $WFC https://t.co/3gKu3x5usM,2016-09-14T14:30:34.000Z,https://t.co/PMgIZhzR2F,Benzinga,"Downtown Detroit, MI & NYC",true,2,3,0,7,4,-2
FortuneMagazine,Wells Fargo CEO says the scandal in no way reflects company culture. 🤔 Watch #FortuneLIVE  https://t.co/A0YMDsYXTK https://t.co/KIFZIu50W5,2016-09-15T15:03:04.000Z,https://t.co/lCONu6h82G,FORTUNE,New York,true,9,6,8,10,4,-1
SeanDuffyWI,"Finally, a brief moment of plain truth from @WellsFargo CEO. https://t.co/u2O2ZC9Zc4",2016-10-01T17:11:49.000Z,,Sean Duffy,NA,false,2,4,1,8,4,-1
LaMonicaBuzz,$WFC down another 2% today. Still waiting for a response from Warren Buffett about $BRK.B stake in Wells Fargo. https://t.co/8jMTkSa3U1,2016-09-15T14:36:34.000Z,https://t.co/ZLgYiheZkS,Paul R. La Monica,"New York, NY",true,4,1,0,4,3,-4
chicagotribune,Wells Fargo customers won't be able to sue the bank over fake accounts https://t.co/tCOkbXQwkv https://t.co/WMkR028bD9,2016-09-30T14:24:09.000Z,https://t.co/DekZkEnIYp,Chicago Tribune,"Chicago, IL",true,11,7,3,10,3,-8
DailyCaller,Warren Buffett Pleads With The Fed To Take Over 10 Percent Of Wells Fargo https://t.co/OCYaBOv6nO https://t.co/GihMQGVPy9,2016-10-01T01:40:12.000Z,https://t.co/ePSMzp6Wnp,Daily Caller,"Washington, DC",true,8,4,3,7,3,-5
MoiraBridget,If this is a scam jokes on you I use Wells Fargo. If legit I feel bad for whoever this was meant for @BankofAmerica https://t.co/v3IBUHaDTX,2016-09-06T22:50:08.000Z,https://t.co/BLve7EPTNv,two geese in a trenchcoat,"Portland, Oregon",false,1,1,0,3,2,-1
DavidSchantz,Wells Fargo exec will receive $125m retirement package https://t.co/oAqfrNalW2 via https://t.co/QpGihgocXx Pathetic!,2016-09-12T22:48:54.000Z,,David Schantz,NYC ,false,4,1,2,3,2,-2
BringtheFlag,$124 million payday for top Wells Fargo exec https://t.co/SvqouaiO2t,2016-09-14T14:39:06.000Z,,BringtheFlag,outside Nashville,false,2,2,0,4,2,-2
insomniousdream,Reality Check: How Does Nobody Go To Jail In Wells Fargo Fraud Case? https://t.co/QPY1ZzteyA via @BenSwann_ #WellsFargo #Fraud #Government,2016-09-14T15:12:53.000Z,https://t.co/VHNq3pcjBa,david bechtel,"Bradenton, FL",false,3,1,1,3,2,-2
