user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
SenSanders,"How many people at Wells Fargo are going to go to jail? Zero. But if you smoke marijuana in this country, you get a criminal record.",2016-09-16T13:22:01.000Z,https://t.co/8AS4FHJNoG,Bernie Sanders,Vermont/DC,true,7855,13837,525,233,-13604,-7330
SenSanders,"Wells Fargo has shown that 7 years after the crash, fraud still appears to be the business model on Wall Street. https://t.co/gNGdZbq94X",2016-09-16T20:41:06.000Z,https://t.co/8AS4FHJNoG,Bernie Sanders,Vermont/DC,true,3496,5641,307,206,-5435,-3189
SenSanders,"Fraud at big banks:
✅ Bank of America 
✅ Wells Fargo
✅ Goldman Sachs

It's about time to break up these big banks.",2016-10-06T16:31:00.000Z,https://t.co/8AS4FHJNoG,Bernie Sanders,Vermont/DC,true,1412,3695,266,303,-3392,-1146
ThomCollinsWS,"The CEO of Wells Fargo created 2 million fake accounts, got 5,300 people fired &amp; is about to walk away with 200 million in stock amassed. ☺",2016-09-23T15:04:58.000Z,,Maze ft. Frankie Beverly - Reasons,NA,false,605,382,234,12,-370,-371
SenSanders,"It's a disgrace that while Americans were defrauded by Wells Fargo, the executive in charge received $124 million. https://t.co/QKwO5ZTuu3",2016-09-12T15:47:22.000Z,https://t.co/8AS4FHJNoG,Bernie Sanders,Vermont/DC,true,2406,3220,228,245,-2975,-2178
SenSanders,I have a very simple question for the regulators who fined Wells Fargo: https://t.co/IQVCGGWxUp,2016-09-19T20:36:01.000Z,https://t.co/8AS4FHJNoG,Bernie Sanders,Vermont/DC,true,2625,5380,195,189,-5191,-2430
AP,BREAKING: Wells Fargo CEO and former consumer banking executive to forfeit millions in stock awards amid sales practices scandal.,2016-09-27T23:15:14.000Z,https://t.co/0HD7A9hKKy,The Associated Press,Global,true,704,748,136,67,-681,-568
SenSanders,What does Wells Fargo CEO John Stumpf get for overseeing a massive fraud of the American people? $134 million. https://t.co/82xxMMoBkl,2016-10-13T16:52:30.000Z,https://t.co/8AS4FHJNoG,Bernie Sanders,Vermont/DC,true,864,1269,125,159,-1110,-739
Aspiration,"If your money is with #WellsFargo, it's time to move to a financial partner you can trust:

https://t.co/E6sPT7XQgb https://t.co/7ZfimGezZr",2016-09-16T02:09:35.000Z,https://t.co/EHxz6XD10x,Aspiration,🌎,true,546,1403,121,117,-1286,-425
ReutersBiz,BREAKING: Wells Fargo CEO Stumpf and Carrie Tolstedt will not receive a bonus for 2016 in wake of fraud,2016-09-27T23:12:40.000Z,http://t.co/PsQMvEFldh,Reuters Business,Around the world,true,130,151,105,50,-101,-25
SenWarren,"If John Stumpf can oversee a massive fraud &amp; walk away w/ $100M+, why should we expect any CEO to follow the law? https://t.co/wixnesLKGh",2016-09-26T16:51:04.000Z,http://t.co/wsbNrrUt,Elizabeth Warren,NA,true,1195,2301,103,191,-2110,-1092
NYDailyNews,Wells Fargo exec gets $125M after leaving scam-plagued unit https://t.co/2KH3SXMdFi https://t.co/ZYbRI6yXs4,2016-09-12T20:00:56.000Z,https://t.co/0UlNdSH0rW,New York Daily News,New York / fb.com/nydailynews,true,125,61,89,35,-26,-36
FortuneMagazine,"Forget jail, the Wells Fargo exec who oversaw fraud was given a $125 million payday https://t.co/GLS4vUZSAj https://t.co/KRPhb4Pg51",2016-09-13T10:11:24.000Z,https://t.co/lCONu6h82G,FORTUNE,New York,true,233,98,89,11,-87,-144
