user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
SenWarren,"A year ago today, I told the then-CEO of @WellsFargo he should resign after the bank's massive fake accounts scam. He did. https://t.co/DDM1keBQkF",2017-09-20T20:25:33.000Z,http://t.co/wsbNrrUt,Elizabeth Warren,NA,true,351,1642,28,141,-1501,-323
SenWarren,"With the @Equifax breach, I’ll be pushing for the same type of corporate accountability that I sought in the @WellsFargo scandal. https://t.co/guOOMepfp2",2017-09-20T20:26:48.000Z,http://t.co/wsbNrrUt,Elizabeth Warren,NA,true,386,1518,21,79,-1439,-365
SenSherrodBrown,The recent fake account scandal at Wells Fargo and the data breach at Equifax have brought to light so-called “forced arbitration.”,2017-09-26T20:32:22.000Z,https://t.co/nCdZ8qTeYm,Sherrod Brown,"Cleveland, OH",true,183,494,18,15,-479,-165
SenCortezMasto,Fraud shouldn't be kept secret like in @WellsFargo scandal - American people need @CFPB rule so companies don't take advantage of consumers.,2017-09-27T14:35:14.000Z,https://t.co/v6sRnbH7nI,Senator Cortez Masto,NA,true,70,170,5,5,-165,-65
maxkeiser,"If only Puerto Rico had defrauded millions of people of billions like @WellsFargo, US govt would be down there tossing everybody's salad.",2017-09-30T15:17:58.000Z,,Max💙🇸🇻 🇨🇫,NA,false,54,122,2,10,-112,-52
CNN,Scandal 101: Equifax repeated Wells Fargo's mistakes https://t.co/UeFDsy4bbe https://t.co/7JzIN9JhyF,2017-10-01T22:28:12.000Z,https://t.co/imGp4Ieixi,CNN,NA,true,85,107,9,11,-96,-76
CNN,Scandal 101: Equifax repeated Wells Fargo's mistakes https://t.co/mAFXhoImeF https://t.co/XNPCnyJrk6,2017-10-01T18:03:30.000Z,https://t.co/imGp4Ieixi,CNN,NA,true,70,106,6,15,-91,-64
SenCortezMasto,"Whether it's fake accounts from @WellsFargo or @Equifax data breach, consumers need access to justice system &amp; have their day in court.",2017-09-27T15:04:34.000Z,https://t.co/v6sRnbH7nI,Senator Cortez Masto,NA,true,38,104,2,6,-98,-36
FedUpWithFargo,1 million customers are currently arguing @WellsFargo manipulated their accounts to maximize #overdraft fees https://t.co/OF8qBNjr28,2017-09-19T19:15:00.000Z,https://t.co/hHJ4iDK8z4,Fed Up With Fargo,NA,false,32,91,5,12,-79,-27
Aspiration,"It's time to move your money out of @WellsFargo. Thousands are switching to Aspiration, a bank built on trust.

https://t.co/h7YSDCCn6W $wfc https://t.co/71qCzoSae3",2017-09-12T16:44:32.000Z,https://t.co/EHxz6XD10x,Aspiration,🌎,true,62,90,12,24,-66,-50
Mansa_Godson,"WellsFargo moved my money from my saving account to my current account to 'prevent overdraft' &amp; charged me $12

Yeah, bitcoin's a fraud huh.",2017-09-28T19:26:36.000Z,https://t.co/FmB6PATvFA,🟩 Godson 2.0,DM me.,false,13,74,0,5,-69,-13
latimes,It's been a year since the Wells Fargo scandal broke. New problems are still surfacing https://t.co/uBLrJMg7fq,2017-09-09T05:10:04.000Z,https://t.co/WeffKZ2O0l,Los Angeles Times,"El Segundo, CA",true,70,73,3,8,-65,-67
WellsFargo,Our thoughts are with those affected by #HurricaneHarvey. Learn more about our support for relief efforts. https://t.co/1bd6fOi05e https://t.co/cQffYxzBpd,2017-08-28T22:39:48.000Z,https://t.co/m7vc8i3MJ9,Wells Fargo,"San Francisco, CA",true,28,58,3,11,-47,-25
WellsFargo,Customers can support @RedCross #HurricaneHarvey relief efforts through donations @ our ATMs nationwide. Learn more: https://t.co/Yoeiava2cH,2017-08-29T19:46:31.000Z,https://t.co/m7vc8i3MJ9,Wells Fargo,"San Francisco, CA",true,37,49,8,29,-20,-29
BitfuryGeorge,"Few Cases of the REAL FRAUD:
Subprime
Barings Bank
Bernie Madoff
ISDAfix Antitrust
JPM London Whale
LIBOR Manipulation
Wells Fargo Accounts",2017-09-14T03:52:32.000Z,,George Kikvadze 🇺🇦,Dubai,false,11,48,0,0,-48,-11
pdacosta,Yellen says Fed assessing causes of Wells Fargo scandal. How about corruption? cc @SenWarren https://t.co/kkzfwfmWfx,2017-09-20T19:20:48.000Z,https://t.co/aF97KgDMwR,Pedro da Costa,"Washington, DC",true,24,43,1,2,-41,-23
MarketWatch,"Janet Yellen says that Wells Fargo opening millions of unauthorized accounts was “egregious and unacceptable"" https://t.co/uNOql7T6j8 https://t.co/qwm1X18rgQ",2017-09-20T23:21:27.000Z,https://t.co/Z9DRUcnQ8M,MarketWatch,"New York, NY",true,28,41,4,8,-33,-24
CNBC,Wells Fargo's fake-account scandal leads to credit downgrade https://t.co/C99ITRV26r,2017-09-20T15:13:52.000Z,https://t.co/OhV9V1EIa6,CNBC,"Englewood Cliffs, NJ",true,29,39,2,3,-36,-27
OscarSurisIII,Our latest hurricane relief news: #WellsFargo Donates $1.1 Million for Hurricane #Irma Relief.  https://t.co/51Ki0ohH4z,2017-09-11T16:54:37.000Z,https://t.co/5ZQwSARjvE,Oscar Suris III,"Charlotte, NC/New York",false,14,37,4,4,-33,-10
cnni,Scandal 101: Equifax repeated Wells Fargo's mistakes https://t.co/ycbLqQESmj https://t.co/6F5JmDegk3,2017-10-01T22:39:43.000Z,http://t.co/kdkv08KSgi,CNN International,Everywhere,true,17,34,4,3,-31,-13
