user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
SenWarren,"A year ago today, I told the then-CEO of @WellsFargo he should resign after the bank's massive fake accounts scam. He did. https://t.co/DDM1keBQkF",2017-09-20T20:25:33.000Z,http://t.co/wsbNrrUt,Elizabeth Warren,NA,true,351,1642,28,141,-1501,-323
SenWarren,"With the @Equifax breach, I’ll be pushing for the same type of corporate accountability that I sought in the @WellsFargo scandal. https://t.co/guOOMepfp2",2017-09-20T20:26:48.000Z,http://t.co/wsbNrrUt,Elizabeth Warren,NA,true,386,1518,21,79,-1439,-365
WellsFargo,Customers can support @RedCross #HurricaneHarvey relief efforts through donations @ our ATMs nationwide. Learn more: https://t.co/Yoeiava2cH,2017-08-29T19:46:31.000Z,https://t.co/m7vc8i3MJ9,Wells Fargo,"San Francisco, CA",true,37,49,8,29,-20,-29
Aspiration,"It's time to move your money out of @WellsFargo. Thousands are switching to Aspiration, a bank built on trust.

https://t.co/h7YSDCCn6W $wfc https://t.co/71qCzoSae3",2017-09-12T16:44:32.000Z,https://t.co/EHxz6XD10x,Aspiration,🌎,true,62,90,12,24,-66,-50
SenSherrodBrown,The recent fake account scandal at Wells Fargo and the data breach at Equifax have brought to light so-called “forced arbitration.”,2017-09-26T20:32:22.000Z,https://t.co/nCdZ8qTeYm,Sherrod Brown,"Cleveland, OH",true,183,494,18,15,-479,-165
CNN,Scandal 101: Equifax repeated Wells Fargo's mistakes https://t.co/mAFXhoImeF https://t.co/XNPCnyJrk6,2017-10-01T18:03:30.000Z,https://t.co/imGp4Ieixi,CNN,NA,true,70,106,6,15,-91,-64
WellsFargo,You can support #HurricaneHarvey &amp; #HurricaneIrma relief efforts through our ATMs across the country. Learn more: https://t.co/SKcvtC9Uf9,2017-09-12T22:18:30.000Z,https://t.co/m7vc8i3MJ9,Wells Fargo,"San Francisco, CA",true,6,29,3,14,-15,-3
FedUpWithFargo,1 million customers are currently arguing @WellsFargo manipulated their accounts to maximize #overdraft fees https://t.co/OF8qBNjr28,2017-09-19T19:15:00.000Z,https://t.co/hHJ4iDK8z4,Fed Up With Fargo,NA,false,32,91,5,12,-79,-27
WellsFargo,Our thoughts are with those affected by #HurricaneHarvey. Learn more about our support for relief efforts. https://t.co/1bd6fOi05e https://t.co/cQffYxzBpd,2017-08-28T22:39:48.000Z,https://t.co/m7vc8i3MJ9,Wells Fargo,"San Francisco, CA",true,28,58,3,11,-47,-25
business,Banks are looking to step up employee surveillance after the latest Wells Fargo scandal https://t.co/UQYA12JkM0 https://t.co/CCD1U4kb5T,2017-09-09T13:25:46.000Z,http://t.co/YFISwy1upH,Bloomberg,New York and the World,true,22,20,7,11,-9,-15
CNN,Scandal 101: Equifax repeated Wells Fargo's mistakes https://t.co/UeFDsy4bbe https://t.co/7JzIN9JhyF,2017-10-01T22:28:12.000Z,https://t.co/imGp4Ieixi,CNN,NA,true,85,107,9,11,-96,-76
maxkeiser,"If only Puerto Rico had defrauded millions of people of billions like @WellsFargo, US govt would be down there tossing everybody's salad.",2017-09-30T15:17:58.000Z,,Max💙🇸🇻 🇨🇫,NA,false,54,122,2,10,-112,-52
FoxBusiness,Wells Fargo CEO on account scandal: We had an incentive plan that drove inappropriate behavior   https://t.co/MdPKE3w1iP https://t.co/cAtFzycxz2,2017-09-13T17:50:01.000Z,https://t.co/ytWMvJlUP9,FOX Business,"New York, NY",true,7,7,2,9,2,-5
latimes,It's been a year since the Wells Fargo scandal broke. New problems are still surfacing https://t.co/uBLrJMg7fq,2017-09-09T05:10:04.000Z,https://t.co/WeffKZ2O0l,Los Angeles Times,"El Segundo, CA",true,70,73,3,8,-65,-67
FoxBusiness,Wells Fargo CEO on account scandal: We had an incentive plan that drove inappropriate behavior   https://t.co/MdPKE3w1iP,2017-09-13T23:25:01.000Z,https://t.co/ytWMvJlUP9,FOX Business,"New York, NY",true,8,6,0,8,2,-8
WellsFargoShark,I filed w/CFPB fraud by #WellsFargo denied allegations case closed Now I recvd Email CFPB confirming complaints received n confirmation# HMM https://t.co/xZU3kdyCkk,2017-09-20T15:33:00.000Z,,Wells Fargo Predator,"South, Louisiana ",false,6,5,2,8,3,-4
MarketWatch,"Janet Yellen says that Wells Fargo opening millions of unauthorized accounts was “egregious and unacceptable"" https://t.co/uNOql7T6j8 https://t.co/qwm1X18rgQ",2017-09-20T23:21:27.000Z,https://t.co/Z9DRUcnQ8M,MarketWatch,"New York, NY",true,28,41,4,8,-33,-24
cnni,Scandal 101: Equifax repeated Wells Fargo's mistakes https://t.co/IxxtX5aQvk https://t.co/r8tNRw0rHc,2017-10-01T18:03:28.000Z,http://t.co/kdkv08KSgi,CNN International,Everywhere,true,22,26,2,8,-18,-20
business,Banks are looking to step up employee surveillance after the latest Wells Fargo scandal https://t.co/lTcwKI53Z9 https://t.co/KgBmY0qCXw,2017-09-10T12:53:04.000Z,http://t.co/YFISwy1upH,Bloomberg,New York and the World,true,15,18,8,7,-11,-7
TheTylt,Should Wells Fargo executives go to jail for fraud? Vote now https://t.co/hHQP4jbVbs https://t.co/2aoSGhIp7s,2017-09-13T13:29:03.000Z,https://t.co/5Ny6Zaz62s,The Tylt,in your head,true,6,6,1,7,1,-5
