user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
SenWarren,.@WellsFargo will never change if the people responsible for the fake accounts scam are still in charge. CEO Tim Sloan needs to be fired. https://t.co/mXswRnulxs,2017-10-04T02:02:17.000Z,http://t.co/wsbNrrUt,Elizabeth Warren,NA,true,3278,10191,211,489,-9702,-3067
SenWarren,I'm glad community bankers agree: @WellsFargo's Board should be removed. Government must hold big banks accountable. https://t.co/hPb8mAaNF4,2017-09-07T22:27:38.000Z,http://t.co/wsbNrrUt,Elizabeth Warren,NA,true,1122,4495,41,212,-4283,-1081
SenWarren,"With the @Equifax breach, I’ll be pushing for the same type of corporate accountability that I sought in the @WellsFargo scandal. https://t.co/guOOMepfp2",2017-09-20T20:26:48.000Z,http://t.co/wsbNrrUt,Elizabeth Warren,NA,true,386,1518,21,79,-1439,-365
SenWarren,"A year ago today, I told the then-CEO of @WellsFargo he should resign after the bank's massive fake accounts scam. He did. https://t.co/DDM1keBQkF",2017-09-20T20:25:33.000Z,http://t.co/wsbNrrUt,Elizabeth Warren,NA,true,351,1642,28,141,-1501,-323
nytimes,Wells Fargo’s internal review found 1.4 million more sham accounts https://t.co/ZpxydBvkDy,2017-09-03T01:42:09.000Z,http://t.co/ahvuWqicF9,The New York Times,New York City,true,222,262,39,52,-210,-183
SenSherrodBrown,The recent fake account scandal at Wells Fargo and the data breach at Equifax have brought to light so-called “forced arbitration.”,2017-09-26T20:32:22.000Z,https://t.co/nCdZ8qTeYm,Sherrod Brown,"Cleveland, OH",true,183,494,18,15,-479,-165
CNN,Wells Fargo accused of lying to Congress last year about auto insurance scandal https://t.co/e2UZVb3gYK,2017-10-04T03:31:04.000Z,https://t.co/imGp4Ieixi,CNN,NA,true,175,256,20,53,-203,-155
CNN,Scandal 101: Equifax repeated Wells Fargo's mistakes https://t.co/UeFDsy4bbe https://t.co/7JzIN9JhyF,2017-10-01T22:28:12.000Z,https://t.co/imGp4Ieixi,CNN,NA,true,85,107,9,11,-96,-76
latimes,It's been a year since the Wells Fargo scandal broke. New problems are still surfacing https://t.co/uBLrJMg7fq,2017-09-09T05:10:04.000Z,https://t.co/WeffKZ2O0l,Los Angeles Times,"El Segundo, CA",true,70,73,3,8,-65,-67
SenCortezMasto,Fraud shouldn't be kept secret like in @WellsFargo scandal - American people need @CFPB rule so companies don't take advantage of consumers.,2017-09-27T14:35:14.000Z,https://t.co/v6sRnbH7nI,Senator Cortez Masto,NA,true,70,170,5,5,-165,-65
CNN,Scandal 101: Equifax repeated Wells Fargo's mistakes https://t.co/mAFXhoImeF https://t.co/XNPCnyJrk6,2017-10-01T18:03:30.000Z,https://t.co/imGp4Ieixi,CNN,NA,true,70,106,6,15,-91,-64
Aspiration,"It's time to move your money out of @WellsFargo. Thousands are switching to Aspiration, a bank built on trust.

https://t.co/h7YSDCCn6W $wfc https://t.co/71qCzoSae3",2017-09-12T16:44:32.000Z,https://t.co/EHxz6XD10x,Aspiration,🌎,true,62,90,12,24,-66,-50
maxkeiser,"If only Puerto Rico had defrauded millions of people of billions like @WellsFargo, US govt would be down there tossing everybody's salad.",2017-09-30T15:17:58.000Z,,Max💙🇸🇻 🇨🇫,NA,false,54,122,2,10,-112,-52
theintercept,"With 2 million Wells Fargo shares, the CEO had personal interest in highlighting fake sales growth, @SenWarren said. https://t.co/nTpP2aTEv9",2017-10-04T00:42:40.000Z,https://t.co/w0sUjPHdwo,The Intercept,"New York, NY",true,52,66,2,1,-65,-50
SenatorTester,A year after the @WellsFargo scandal folks are still waiting for their day in court. So today I told them to fix it. https://t.co/sZP6gOaEjO https://t.co/cVAJWwpZlK,2017-10-04T02:15:06.000Z,https://t.co/GJVvKH3V3K,Senator Jon Tester,Montana,true,51,157,6,14,-143,-45
Public_Citizen,.@WellsFargo argued today that defrauded consumers shouldn't have a right to their day in court. Read our statement: https://t.co/OrK9DGAkFf https://t.co/FETqTOMZbV,2017-08-24T18:06:41.000Z,https://t.co/Peu4VSprMX,Public Citizen,"Washington, DC",true,40,42,7,2,-40,-33
SenCortezMasto,"Whether it's fake accounts from @WellsFargo or @Equifax data breach, consumers need access to justice system &amp; have their day in court.",2017-09-27T15:04:34.000Z,https://t.co/v6sRnbH7nI,Senator Cortez Masto,NA,true,38,104,2,6,-98,-36
WellsFargo,Customers can support @RedCross #HurricaneHarvey relief efforts through donations @ our ATMs nationwide. Learn more: https://t.co/Yoeiava2cH,2017-08-29T19:46:31.000Z,https://t.co/m7vc8i3MJ9,Wells Fargo,"San Francisco, CA",true,37,49,8,29,-20,-29
TheEconomist,"A year on, Wells Fargo cannot shake off its mis-selling scandal https://t.co/NGITFiIvzn",2017-09-07T23:28:05.000Z,https://t.co/8uFmIvXSDG,The Economist,London,true,34,37,6,11,-26,-28
make5calls,"Reminder: Congress is poised to repeal protections from bank practices just like this ⬇️
☎️: https://t.co/B0t2zJMkyY
https://t.co/UplboYhC3L",2017-09-03T19:22:37.000Z,https://t.co/Sf9cdpbyRp,5 Calls 🇺🇸,NA,true,33,31,1,2,-29,-32
CRAdvocacy,#RipoffClause blocked groups of consumers from suing Wells Fargo over fake accounts. Senate must defend @CFPB rule. https://t.co/BMRr9zvbug,2017-08-24T20:00:01.000Z,https://t.co/sKRj7OGoO1,Consumer Reports Advocacy,"Yonkers, NY",true,32,25,0,0,-25,-32
WSJ,Wells Fargo executives still face an array of legal challenges that may take months if not years to sort out https://t.co/MrNOhEKtYp,2017-09-08T10:20:05.000Z,https://t.co/9rMrYLEXTt,The Wall Street Journal,"New York, NY",true,32,36,5,8,-28,-27
FedUpWithFargo,1 million customers are currently arguing @WellsFargo manipulated their accounts to maximize #overdraft fees https://t.co/OF8qBNjr28,2017-09-19T19:15:00.000Z,https://t.co/hHJ4iDK8z4,Fed Up With Fargo,NA,false,32,91,5,12,-79,-27
Reuters,Wells Fargo CEO to testify before Senate as questions linger over scandal https://t.co/luZWKmmpZt,2017-09-21T15:56:16.000Z,http://t.co/BmHxhkm3Mh,Reuters,Around the world,true,32,27,4,3,-24,-28
goddamnedfrank,"VW emissions cheating scandal

Wells Fargo’s serial account fraud

Equifax clusterfuck

Do tell me again how corporate taxes are too high",2017-09-08T19:42:23.000Z,,Jason McGlothlen,"Simi Goddamned Valley, California",false,29,36,0,2,-34,-29
CNBC,Wells Fargo's fake-account scandal leads to credit downgrade https://t.co/C99ITRV26r,2017-09-20T15:13:52.000Z,https://t.co/OhV9V1EIa6,CNBC,"Englewood Cliffs, NJ",true,29,39,2,3,-36,-27
WellsFargo,Our thoughts are with those affected by #HurricaneHarvey. Learn more about our support for relief efforts. https://t.co/1bd6fOi05e https://t.co/cQffYxzBpd,2017-08-28T22:39:48.000Z,https://t.co/m7vc8i3MJ9,Wells Fargo,"San Francisco, CA",true,28,58,3,11,-47,-25
CNNBusiness,.@WellsFargo says it has found a total of up to 3.5 million potentially fake bank and credit card accounts https://t.co/CNZPdBLDFi,2017-09-03T12:35:00.000Z,https://t.co/ZLgYiheZkS,CNN Business,Global,true,28,16,8,5,-11,-20
MarketWatch,"Janet Yellen says that Wells Fargo opening millions of unauthorized accounts was “egregious and unacceptable"" https://t.co/uNOql7T6j8 https://t.co/qwm1X18rgQ",2017-09-20T23:21:27.000Z,https://t.co/Z9DRUcnQ8M,MarketWatch,"New York, NY",true,28,41,4,8,-33,-24
iansmadrig,Fraud deserves consequences. CA must pass #SB33 to end Wells Fargo impunity via #RipoffClause! @AdamGrayCA @AsmJoseMedina @AsmRodriguez52 https://t.co/7KWxILoho3,2017-08-24T20:03:59.000Z,https://t.co/7IFlq6fJ5S,Ian Madrigal - The Monopoly Man,"Baltimore, MD",false,26,23,1,1,-22,-25
WSJ,Wells Fargo details mortgage refunds to customers who paid $98 million in fees https://t.co/XyH7iSDkOG,2017-10-04T20:30:11.000Z,https://t.co/9rMrYLEXTt,The Wall Street Journal,"New York, NY",true,25,28,6,0,-28,-19
pdacosta,Yellen says Fed assessing causes of Wells Fargo scandal. How about corruption? cc @SenWarren https://t.co/kkzfwfmWfx,2017-09-20T19:20:48.000Z,https://t.co/aF97KgDMwR,Pedro da Costa,"Washington, DC",true,24,43,1,2,-41,-23
TheRoot,Well Fargo's infamous fraud scandal gets significantly worse with the discovery of 1.4 million more fake accounts: https://t.co/q5WCHvKAOe https://t.co/YbZD8kfB3q,2017-09-03T14:30:04.000Z,https://t.co/KLVGN9DpOP,The Root,"New York, NY",true,22,36,6,3,-33,-16
business,Banks are looking to step up employee surveillance after the latest Wells Fargo scandal https://t.co/UQYA12JkM0 https://t.co/CCD1U4kb5T,2017-09-09T13:25:46.000Z,http://t.co/YFISwy1upH,Bloomberg,New York and the World,true,22,20,7,11,-9,-15
cnni,Scandal 101: Equifax repeated Wells Fargo's mistakes https://t.co/IxxtX5aQvk https://t.co/r8tNRw0rHc,2017-10-01T18:03:28.000Z,http://t.co/kdkv08KSgi,CNN International,Everywhere,true,22,26,2,8,-18,-20
RealBankReform,.@CFPB #RipoffClause rule protects consumers from fraud. Senate is pushing for repeal. Who do they work for: us or Equifax &amp; Wells Fargo? https://t.co/Lj8tdPE1FB,2017-09-26T20:15:17.000Z,https://t.co/17C2Tei1y2,AFR,Washington DC,true,21,14,1,1,-13,-20
ICBA,ICBA is calling on Senate Banking Committee to hold a hearing examining revelations of #WellsFargo consumer abuse https://t.co/k5U2yxLIwt,2017-09-12T12:20:20.000Z,https://t.co/OaFuackm3t,Independent Community Bankers of America,"Washington, D.C.",true,20,28,3,0,-28,-17
ICBA,.@Cam_Fine on #WellsFargo scandal: leadership must be held accountable when you have massive &amp; systemic wrongdoing https://t.co/Shxe6pyCrA,2017-09-07T14:30:17.000Z,https://t.co/OaFuackm3t,Independent Community Bankers of America,"Washington, D.C.",true,19,33,0,1,-32,-19
latimes,"A year after accounts scandal broke, problems are still surfacing at Wells Fargo https://t.co/uBLrJMg7fq https://t.co/IqFBEHmvYx",2017-09-08T12:55:13.000Z,https://t.co/WeffKZ2O0l,Los Angeles Times,"El Segundo, CA",true,19,13,2,3,-10,-17
FoxBusiness,".@OliverNorthFNC on North Korea asset freezes: ""None of those clowns in Pyongyang has a checking account at Bank of America or Wells Fargo."" https://t.co/5VHxMvdZsj",2017-09-18T19:34:36.000Z,https://t.co/ytWMvJlUP9,FOX Business,"New York, NY",true,19,33,1,3,-30,-18
Reuters,Wells Fargo says rehires workers wrongly fired in accounts scandal https://t.co/lmpxcR488Z https://t.co/2aBrrKBPVT,2017-10-02T16:10:04.000Z,http://t.co/BmHxhkm3Mh,Reuters,Around the world,true,19,29,4,4,-25,-15
CNBC,"'Somebody should go to jail' for Wells Fargo scandal, says Sen. Heitkamp https://t.co/AwIqK1n8VD",2017-10-04T20:21:17.000Z,https://t.co/OhV9V1EIa6,CNBC,"Englewood Cliffs, NJ",true,18,38,5,14,-24,-13
Public_Citizen,#ForcedArbitration is why victims of 3.5 million fake @WellsFargo accounts couldn't secure justice. #RipOffClause,2017-09-20T17:34:58.000Z,https://t.co/Peu4VSprMX,Public Citizen,"Washington, DC",true,17,3,2,1,-2,-15
cnni,Scandal 101: Equifax repeated Wells Fargo's mistakes https://t.co/ycbLqQESmj https://t.co/6F5JmDegk3,2017-10-01T22:39:43.000Z,http://t.co/kdkv08KSgi,CNN International,Everywhere,true,17,34,4,3,-31,-13
ddayen,"Wells Fargo, who ruined the credit of its customers, now sees its credit rating downgraded. https://t.co/ZmHFYbRYuy",2017-09-20T15:31:08.000Z,https://t.co/YEM2FfFrfB,David Dayen,"Los Angeles, CA",true,16,32,1,0,-32,-15
doctorow,"Whistleblowing Wells Fargo loan officer describes years of fraudulent, criminal culture in the bank #1yrago https://t.co/ogZO39NhDp https://t.co/TWMZ3Gfcht",2017-09-23T12:30:04.000Z,https://t.co/bRVgxZt5np,Cory Doctorow,Beautiful Downtown Burbank,true,16,12,0,0,-12,-16
TheAtlantic,"One year after its fake-accounts scandal, Wells Fargo isn't ""a better bank,"" writes @gillianbwhite https://t.co/aYFFgWKnXF https://t.co/Hu3QFVr5ki",2017-10-04T09:43:20.000Z,https://t.co/j4JSgDlv80,The Atlantic,NA,true,16,23,0,2,-21,-16
business,Banks are looking to step up employee surveillance after the latest Wells Fargo scandal https://t.co/lTcwKI53Z9 https://t.co/KgBmY0qCXw,2017-09-10T12:53:04.000Z,http://t.co/YFISwy1upH,Bloomberg,New York and the World,true,15,18,8,7,-11,-7
TrinaBlairShep,@WellsFargo customers can donate to the Red Cross at  ATMs nationwide 8/29. 100% goes to Red Cross. No fees. https://t.co/FZoJ4xHNbU,2017-08-28T18:32:36.000Z,,Trina Shepherd,Chicago,false,14,15,2,4,-11,-12
OscarSurisIII,Our latest hurricane relief news: #WellsFargo Donates $1.1 Million for Hurricane #Irma Relief.  https://t.co/51Ki0ohH4z,2017-09-11T16:54:37.000Z,https://t.co/5ZQwSARjvE,Oscar Suris III,"Charlotte, NC/New York",false,14,37,4,4,-33,-10
