author_id,username,n_retweets,n_replies,n_authored,n_quoted,n_quoting_replies,total
902708583304978433,samiskafolkhem,,114,7,6,26,153
234497503,Jayemmbee23,7,79,,,,86
851724528048889856,realordinarylad,7,73,3,,,83
1923454140,tboz_90,59,,,,,59
884382919455801344,urbselect,,,57,,,57
4635975621,RadioBlackOn,,,44,,,44
13203752,SelinaNBrown,32,4,8,,,44
222738368,lareinedejade,,42,,,,42
289148078,RecentLatestVia,,,41,,,41
558814673,ShawnDK19,,39,2,,,41
763004979292626945,UnmovedLee,27,11,3,,,41
718239356083904513,Real_Infinity95,35,,,,,35
841951770813317120,SchoolNGRclass,,,35,,,35
3000306034,nyambza1971,34,1,,,,35
2246790921,KKoloni,10,24,,,,34
16973333,Independent,1,,32,,,33
851437026,prometheus50K,32,,1,,,33
2526106870,Zozo51082542,32,,,,,32
880794517821165568,Wolfie_Omnyama,,31,,,,31
4787486953,wyatt__XO,6,25,,,,31
