author_id,username,n_retweets,n_authored,n_replies,n_quoted,n_quoting_replies,total
189806241,CaligirlLeftie,77,2,,,,79
1580606461,KraeuterVerbena,61,,,,,61
980874245696819200,tradnews_,46,,,,,46
2622160657,anti__Monsanto,40,,,,,40
971695146902339584,The_CasualSmart,,34,,,,34
3272301115,TBlackwe85,21,12,,,,33
1286106229,Rocketnews1,,31,,,,31
45365156,_RedFrog,29,2,,,,31
184170370,lusr20,12,16,1,,,29
3131742505,robles_jdaniel,27,,1,,,28
252751061,Quicktake,,24,,,,24
790019230389248000,politicalHEDGE,,24,,,,24
2484693110,Dominica_Mora,23,,,,,23
604883440,joleonbusby,21,,,,,21
804402576057892864,JingoJackson,20,,,,,20
173334737,8extremes,19,,,,,19
493123841,dpmlawfirm,,15,4,,,19
940534752,kimberlymontse1,19,,,,,19
15932729,4Prina,18,,,,,18
61216500,careygillam,2,16,,,,18
