author_id,username,n_retweets,n_authored,n_replies,n_quoting_replies,n_quoted,total
300045480,Libreinfo,,162,,,,162
925846153,ColeenHammitt,3,2,131,,,136
4835004712,ice_finance_fr,,90,,,1,91
1652541,Reuters,11,75,,,,86
890049973055868928,madeof,2,1,61,,2,66
189806241,CaligirlLeftie,54,1,,,,55
960201389883428866,Trend_Snips,,46,,,,46
2531643876,MelaynaLokosky,3,24,7,,8,42
334589873,EINMesothelioma,,38,,,,38
734334654908661760,BibbyBelinda,37,,,,,37
82794341,El_Cooperante,,37,,,,37
15954704,ReutersAsia,,35,2,,,37
841805404451528705,FibroidNetwork,33,2,,,1,36
62128121,RealtorJairo,,36,,,,36
932167501651349505,belinda89175024,36,,,,,36
1040080514,israelstag,,36,,,,36
266730115,2premshakya,,35,,,,35
949852563704180736,RogerTh71142375,27,7,1,,,35
4491688282,AvinondonC,,34,,,,34
472283873,FinanzlinksUS,,34,,,,34
