author_id,username,n_retweets,n_authored,n_replies,n_quoted,n_quoting_replies,total
1754641,nytimesbusiness,1,19,,,,20
58851397,somsirsa,,20,,,,20
90250196,halloussi,,13,,,,13
1150509674828947456,SoniaAssociates,,10,,,,10
1169438480,OldSalz,9,,,,,9
2173158246,SeatSale,,9,,,,9
14677919,NewYorker,,8,,,,8
1146387471862784000,btc_dark,,8,,,,8
1627501111,mcwilkins63,8,,,,,8
701434587155550208,newyorker_nb,8,,,,,8
1076114972390895617,garjunp,,7,,,,7
239231909,CayleyGuimaraes,6,,,,,6
1021776329086128130,EwanGraves,,6,,,,6
3579433516,FatigaMentalFM,,6,,,,6
767734864242216964,belong_io,,6,,,,6
16955517,dealbook,,6,,,,6
805589900963647488,trendingpress1,,6,,,,6
826868576141377536,Blink2XAmerica,5,,,,,5
374673775,BukiWilliams,5,,,,,5
1156746694819753984,DailyMediaInte1,,5,,,,5
