author_id,username,n_retweets,n_authored,n_quoting_replies,n_replies,n_quoted,total
350772690,braingarbage,88,2,,1,,91
51002583,DrRimmer,27,19,,,,46
826868576141377536,Blink2XAmerica,42,,,,,42
8622212,cindygallop,33,4,,2,,39
14579229,jkohlmann,34,2,,2,,38
771810098025037824,TechmemeChatter,37,,,,,37
805345210557493248,bethsinniresist,33,2,,,,35
772843937358868480,smberpexpert,,34,,,,34
2756929428,pmenonkp,,33,,,,33
767,xeni,20,7,,,5,32
352441927,KyleSGibson,22,7,1,,,30
29283,tigerbeat,30,,,,,30
591104006,arndt_eric,27,,,1,,28
15808647,techreview,4,21,,3,,28
895814938995957760,threadreaderapp,,1,,27,,28
116841782,wearaGDmask,27,,,,1,28
1077009755145674752,TechAggreg,26,,,,,26
1089304789,FisicosMuertos,13,,,12,,25
253637278,_YvonneBurton,13,2,,1,9,25
17175139,docfreeride,22,2,,,1,25
