author_id,username,n_retweets,n_authored,n_replies,n_quoted,n_quoting_replies,total
35244417,ZionTechGroup,132,765,,,,897
735279799812362241,swagafiedkicks,756,,,,,756
3069279631,ReciteSocial,,,502,,,502
69046897,zionweb,,399,,,,399
3332100754,MJ23_Chicago,357,,,,,357
366897053,KalebDuke33,296,,,,,296
3087482345,GoBlueDevils8,205,24,1,1,,231
383298922,_MsShelNB,200,18,5,,,223
178206428,TrueMartian14,201,2,,,,203
361329018,KicksDeals,1,175,3,1,,180
94258318,VTDukefan,41,87,7,38,,173
154587828,AJTheManChild,38,2,118,,1,159
4620477495,caillouborden12,20,107,18,1,,146
2151671287,Champagnephilly,75,60,2,4,,141
2698270332,SOLELINKS,1,132,1,2,,136
810053322,unlewis,133,2,1,,,136
1199245453,SneakerMash,,134,,,,134
28370738,SInow,26,90,16,,,132
574186881,snkr_twitr,1,117,12,,,130
607004941,IcySoleOnline,5,123,1,,,129
