author_id,username,n_retweets,n_quoted,n_authored,n_replies,n_quoting_replies,total
2778043482,anissira,18,,583,,,601
2603224578,dbbmonica,15,,474,,,489
833861800336695296,PopMusicFeed,,,403,,,403
2810050196,amandsst,,,340,,,340
2774007786,amyrightside,9,,235,,,244
2814696996,cruszaa,,,169,,,169
2411750658,kathmego,9,,159,,,168
3035880765,mara1y,10,,156,,,166
829530824370319360,CopBlaster,,,158,,,158
15501305,The_News_DIVA,,,134,,,134
1065843410,goddessakura,,,125,,,125
3033639388,anajjny,10,,113,,,123
2544914191,GinaLawriw,2,,120,,,122
2615722226,br0wnjenjen,11,,111,,,122
2593898004,brittawalkk,8,,113,,,121
879229100,BatistaGii,109,,,6,,115
350772690,braingarbage,45,,39,27,,111
23152434,vrai777,,,111,,,111
23477836,WeResistNews,,,108,,,108
753782380364701696,RinconCelebNews,,,105,,,105
