author_id,username,n_retweets,n_authored,n_replies,n_quoted,n_quoting_replies,total
501180138,glinch72,,,48,,1,49
397811354,justanotweet,13,,7,,,20
3069279631,ReciteSocial,,1,18,,,19
1250097950,MATTP1949,,,14,,,14
1155920622725320705,chris__soda,14,,,,,14
146213826,confunctionist,,,14,,,14
314303436,Always5Idiots,13,,,,,13
1188210234,jahstforu,13,,,,,13
1231621801601576961,ursoswag101,13,,,,,13
4236346754,RiyaSidharth,,1,10,1,,12
1213885048526491648,fanboytwts,5,2,4,1,,12
937037843532263424,rabobie2001,12,,,,,12
71056773,CU_World,,11,,,,11
931051286824239105,kenrenalo,11,,,,,11
1042604198196592641,tekmeaway,11,,,,,11
2996832751,GYgenetic,,9,1,,,10
1173900053137776640,LailaniBordios,10,,,,,10
1638758970,Thyme4Love,,10,,,,10
1189667002714976256,BotSpoopy,,9,,,,9
27564837,GinaMK,,,9,,,9
