author_id,username,n_retweets,n_replies,n_authored,n_quoted,n_quoting_replies,total
1897328731,northway_debbie,37,,2,,,39
1359673388,KF5FUZ,,17,4,8,,29
2787826921,cunningham_cch,23,,2,,,25
1220184026410995712,JohnDoe64193515,,24,,,,24
779814741736730624,BeattieNgiare,21,,,,,21
2611093651,PCKJ3627,21,,,,,21
964795553610588162,AmandaEverall2,20,,,,,20
576451623,Cobra1A,11,7,2,,,20
138418895,RedCrossAU,,14,6,,,20
1634512056,slsandpet,18,1,,1,,20
2926206806,AceventsRuth,19,,,,,19
251440033,PetefromHayNSW,3,6,9,1,,19
2733971311,43a6f0ce5dac4ea,16,2,,,,18
217701498,RB_Citizen,5,10,1,2,,18
237612784,YaThinkN,16,1,,1,,18
983508625,geoffrey_payne,18,,,,,18
257276137,Bloss55,17,,,,,17
1180229675815038977,tyrage3,14,,1,2,,17
1191471037,MoaniePandium,,15,1,,,16
1582824926,NanaJMcK,16,,,,,16
