author_id,username,n_retweets,n_authored,n_replies,n_quoted,n_quoting_replies,total
966781315579183104,First2Chat,,,682,,,682
886239052936163330,empowergracewi,199,42,134,8,,383
3069279631,ReciteSocial,,,310,,,310
189806241,CaligirlLeftie,252,12,18,2,,284
2724199448,maglev19,216,18,46,4,,284
2277644880,Milenamnam,261,,,,,261
731157103973441537,bostonnewslocal,257,,,,,257
1482492223,Jax6655,234,,4,,,238
47670643,chickenproduc,186,2,50,,,238
15477645,RepPress,6,24,179,2,24,235
86887216,asomer,16,4,202,4,,226
500154514,HaroldWNelson,188,36,,,,224
971864713582784512,WOCWriters1,191,10,,14,,215
122280853,Ben_McRea,200,14,,,,214
716394248489177088,2handsomesons1,213,,,,,213
718239356083904513,Real_Infinity95,210,,,,,210
731019727,charluv2011,183,25,,2,,210
825117092873650176,bloodatdoorstep,22,22,163,,,207
289148078,RecentLatestVia,,202,,,,202
266252872,NotAcquiescing,176,10,2,12,,200
