author_id,username,n_retweets,n_authored,n_quoted,n_replies,n_quoting_replies,total
809357927647707136,sunidhithapa1,,129,,,,129
2160933336,RamneetANC,,124,,,,124
763564366369173504,Imagineer0,68,12,31,,,111
4660733960,ss_WorldNews,,108,,,,108
737232126,Mamaofthreebear,5,5,1,89,,100
297443753,thus_spake,,100,,,,100
14367425,Mistidawn,,23,56,20,,99
787546010,BerkleyBearNews,,98,,,,98
135092899,Angelus1701,,95,,,,95
1917731,thehill,,91,,,,91
63997332,Bravo0714,84,,,,,84
3069279631,ReciteSocial,,,,81,,81
353463744,banawedata,48,26,3,,,77
2942328782,DOJSuedFerguson,10,24,41,,,75
23152434,vrai777,,75,,,,75
3062850630,WorldNews24x7in,,73,,,,73
710763494380072960,behzad_nn,,68,,,,68
18220818,Donna_West,50,6,3,8,,67
1596829382,ZyiteGadgets,,65,,,,65
844505751217471490,Aroiiy,,62,,,,62
