author_id,username,n_retweets,n_replies,n_authored,n_quoted,n_quoting_replies,total
63997332,Bravo0714,381,1,1,,,383
353463744,banawedata,198,,112,3,,313
787546010,BerkleyBearNews,,,289,,,289
297443753,thus_spake,1,,227,,,228
710763494380072960,behzad_nn,,,199,,,199
763564366369173504,Imagineer0,164,20,,1,,185
2543982944,zyiteblog,,,180,,,180
1596829382,ZyiteGadgets,,,167,,,167
2403016908,yuuji_K1,163,,,,,163
22473015,UsmanAnwar78,,,157,,,157
478606913,krunox123,,,156,,,156
23152434,vrai777,,,154,,,154
16973333,Independent,3,,146,,,149
289148078,RecentLatestVia,13,,134,,,147
790319434980216833,RaeRae32623146,145,,,,,145
824645127356485632,TheBFRoom,,,145,,,145
2939817894,cryptogeorge_1,,,143,,,143
767499419335950336,SocialLifeMiami,,,142,,,142
2942328782,DOJSuedFerguson,65,,28,44,,137
48470839,cahulaan,,,137,,,137
