author_id,username,n_retweets,n_authored,n_replies,n_quoted,n_quoting_replies,total
4811917159,bfsi_financial,,2108,,,,2108
4811951173,bfsi_ibb,,2107,,,,2107
4811798929,financ_mortgage,,2105,,,,2105
288983232,sherigreatfalls,809,16,1,41,,867
4864402683,march4progress,258,,,1,4,263
2792802479,marketstocknews,,227,,,,227
762685109090811904,W_I_science,,211,,,,211
353463744,banawedata,62,111,,,,173
19560636,SFBusinessTimes,,156,,,,156
256198997,DoddFrankUpdate,1,151,,,,152
2177764470,itassessors,,140,,,,140
2348753839,TedKnutsonDC,6,118,4,,,128
628187727,SAToysHobiesPro,,123,,,,123
70913353,isaganimeliton,,121,,,,121
763337086359527424,FOXuknews,,118,,,,118
23152434,vrai777,,114,,,,114
478606913,krunox123,,112,,,,112
2514914696,androworldnews,,109,,,,109
3012003339,Warrenolizer,,108,,,,108
4781209639,RclBD,,100,,,,100
