user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
comicrelief,Our statement regarding the recent 'White Saviour' controversy in the wake of Stacey Dooley's recent trip to Uganda for Red Nose Day: https://t.co/STzorOwg8x,2019-02-28T11:28:20.000Z,https://t.co/4LzMJCfmSR,Comic Relief,Comic Relief HQ,true,1458,7703,559,633,-7070,-899
VictoriaLIVE,"“The image is a perpetual image of people who are impoverished, who need white celebrities”

Labour MP @DavidLammy says Comic Relief must stop promoting tired stereotypes, following an image of Stacey Dooley in Uganda

#VictoriaLIVE https://t.co/NsQbMbCRAp",2019-02-28T10:41:36.000Z,https://t.co/PLURgGS56z,Victoria Derbyshire,NA,true,1480,3948,481,862,-3086,-999
itvnews,"Labour MP David Lammy 'snubbed offer' to make film in Africa with Comic Relief, it emerges, after he criticises Stacey Dooley's charity trip to Uganda
https://t.co/xlU22pQrrD https://t.co/eqNk4StCYP",2019-02-28T11:35:14.000Z,https://t.co/a6E93qvfJx,ITV News,United Kingdom,true,713,1113,362,723,-390,-351
ajcdeane,"Congratulations, David Lammy

-

Comic Relief down £8m after David Lammy ‘white saviour’ row | News | The Sunday Times https://t.co/VYPjRmZr4n",2019-03-17T12:48:08.000Z,https://t.co/tXlbqoCNSr,Alex Deane,London,false,867,3014,177,519,-2495,-690
guardian,Can’t we finally accept that some ‘white saviours’ really want to help? | Barbara Ellen | Opinion | The Guardian https://t.co/jgSjwhScwn,2019-03-03T08:39:05.000Z,https://t.co/c53pnmnuIT,The Guardian,London,true,61,279,141,150,-129,80
JeremyVineOn5,"Celebrities like Stacey Dooley have been criticised for making films in Africa for Comic Relief, with David Lammy tweeting: ""The world does not need any more white saviours"". Thoughts? #jeremyvine https://t.co/Bnty9bIzEx",2019-02-28T07:16:49.000Z,https://t.co/j1lSUcVGPI,Jeremy Vine On 5,"London, England",true,106,253,121,1036,783,15
itvnews,"'It's not really about Stacey Dooley, it's about Comic Relief'

Labour MP David Lammy tells ITV News presenter @alstewitn his issue with the charity and the way it raises funds https://t.co/xlU22pQrrD https://t.co/8rFWY2PfvY",2019-02-28T15:37:35.000Z,https://t.co/a6E93qvfJx,ITV News,United Kingdom,true,60,156,117,500,344,57
Lynn_Nothegger,"Ok, wasn’t going to go there but there are a lot of people completely missing the point David Lammy is making. Here’s where I went from being that ‘white saviour’ to seeing it as deeply problematic.",2019-03-01T10:59:12.000Z,https://t.co/rB3VPEXIuS,Lynn Nothegger,Germany,false,337,675,117,37,-638,-220
cjrutter,Disappointing that @StaceyDooley doesn’t understand why many black people would feel uncomfortable and irritated by her recent Comic Relief efforts and the complicated issues around the white saviour routine. esp with this caption. This poor child is not an accessory. https://t.co/P7PHptAhqm,2019-02-28T08:10:47.000Z,https://t.co/aL4gsMG9k5,Claire Eaton-Rutter,NA,true,688,2642,111,95,-2547,-577
BBCNews,"Stacey Dooley hits back at MP David Lammy's criticism of her ""white saviour"" Comic Relief posts  

https://t.co/vYGGYhgOIh",2019-02-28T11:30:43.000Z,https://t.co/vBzl7LNCCQ,BBC News (UK),London,true,112,411,79,458,47,-33
VictoriaLIVE,"“It keeps the continent of Africa poor. It keeps people in their place.”

Labour MP @DavidLammy says Stacey Dooley’s Comic Relief trip to Uganda is part of Britain's 'white saviour' complex

#VictoriaLIVE https://t.co/xcJ1prTr7X",2019-02-28T10:47:17.000Z,https://t.co/PLURgGS56z,Victoria Derbyshire,NA,true,245,778,78,223,-555,-167
talkRADIO,"David Lammy says Stacey Dooley is a “white saviour” creating “poverty porn” by going to Africa for Comic Relief... Does he have a point? 

@JuliaHB1 | https://t.co/12j6cHLwF4 https://t.co/slUYrUwZSN",2019-03-01T06:50:02.000Z,https://t.co/kswWL8RTdC,talkRADIO,United Kingdom,true,62,114,73,741,627,11
DavidTCDavies,If ⁦@DavidLammy⁩ wants to end celeb photo opps in Africa he should stop trying to thwart Brexit &amp; use it as the chance to slash tariffs on African imports.  https://t.co/BkS7pvPArC,2019-03-03T17:28:50.000Z,https://t.co/1pj8xKfO98,David TC Davies MP 🏴󠁧󠁢󠁷󠁬󠁳󠁿🇬🇧,"Monmouth, Monmouthshire",true,199,614,73,249,-365,-126
MatthewStadlen,Is my friend David Lammy right to say that the world doesn’t need any more white saviours like Stacey Dooley or does he risk putting people off from donating to important causes in Africa? Join me from 1 on @LBC https://t.co/3t18SvXXhm,2019-03-02T00:42:43.000Z,https://t.co/q5cOwEl18a,Matthew Stadlen,London,true,28,139,55,615,476,27
69mib_com,"RED NOSE DAY
Comic Relief suffered an £8 million fall in donations for its Red Nose Day appeal this year. The drop came after the Labour MP, David Lammy, criticised a celebrity supporter for promoting a “white saviour” complex. https://t.co/BlLMF9705d",2019-03-17T07:57:57.000Z,https://t.co/Osx8iXo8Uv,Jim Slater,The Sunshine Coast ,false,288,423,53,147,-276,-235
DaniGaravelli1,Here's my @scotonsunday column on Comic Relief and the 'white saviour' complex. https://t.co/oPy5inRIwr,2019-03-03T09:00:14.000Z,https://t.co/DUh7YYzvyC,Dani Garavelli,Glasgow,false,167,552,52,71,-481,-115
VictoriaLIVE,"“There are poor children in the United Kingdom. I don’t see celebrities taking photos with them”

Barrister Samantha Davies agrees with @DavidLammy’s criticism of Stacey Dooley, for a photo of her holding a Ugandan boy on Comic Relief trip

#VictoriaLIVE https://t.co/FDwTi3jsUu",2019-02-28T11:06:38.000Z,https://t.co/PLURgGS56z,Victoria Derbyshire,NA,true,163,429,49,161,-268,-114
spikedonline,"“Something’s gone horribly wrong with David Lammy. He’s gone from being a quite interesting Labour MP to an identity-obsessed super-woke tweeter who attacks people for their whiteness. It’s unbecoming of an MP.”

Brendan O’Neill on @BBCRadio2 on the @StaceyDooley controversy https://t.co/1MTlae5Rgn",2019-02-28T15:00:30.000Z,http://t.co/N27AFa9Nip,spiked,NA,false,611,1983,49,152,-1831,-562
LBC,"A race row has erupted between David Lammy and Stacey Dooley, after the MP accused her of perpetuating a ""white saviour"" complex whilst filming for Comic Relief. @NickFerrariLBC asks: is he right? https://t.co/VOJyKUHpUu",2019-03-01T08:08:42.000Z,https://t.co/fI8exPioWw,LBC,United Kingdom,true,42,72,49,522,450,7
ReggieNBollie,"Totally agree with @DavidLammy on the issue of African poverty porn. Being Africans, it’s so uncomfortable to see lots of British celebs travel to Africa with the good intentions of comic relief but end up promoting the negative stereotypes about Africa.
https://t.co/YiJGqvyPVc",2019-02-28T09:22:40.000Z,https://t.co/mDQPwPs6NH,Reggie n Bollie,"HipLife, AfricanPoP Artists UK",true,434,1778,48,245,-1533,-386
EmmaDabiri,"The main issue with #ComicRelief exists beyond the problematic white saviour trope. Rather it’s the fact it entirely obscures the role the west plays is CREATING &amp; PERPETUATING poverty in Africa. The west is not some philanthropic benefactor, its the cause of most of the problems",2019-02-28T10:34:50.000Z,https://t.co/Sv0iP0eX7Z,Emma Dabiri,NA,false,592,1924,42,51,-1873,-550
UKMoments,A row has erupted between the Labour MP @DavidLammy and the charity @comicrelief around the way the continent of Africa is portrayed in its fund-raising films. https://t.co/eb7xFVpiYM,2019-02-28T15:34:04.000Z,https://t.co/nYOx6qThjk,Twitter Moments UK & Ireland,"London, England",true,54,137,40,83,-54,-14
spikedonline,"David Lammy attacked Stacey Dooley for her skin colour. Apparently it is some kind of crime to be white these days. This whole episode has shown how prejudiced and kneejerk the politics of identity has become.

Brendan O’Neill on BBC Radio Ulster https://t.co/FC5vrZ2Pbe",2019-03-01T15:34:35.000Z,http://t.co/N27AFa9Nip,spiked,NA,false,558,1685,37,93,-1592,-521
DavidLammy,Thank you for your spot on analysis. 🤜🏿 https://t.co/Lk81gltYBU,2019-03-03T14:15:10.000Z,https://t.co/PfjeSx0di9,David Lammy,Tottenham,true,146,636,37,209,-427,-109
flawleafclover,White people criticising @DavidLammy for having a problem with the Comic Relief imagery of Stacey Dooley holding a black child is making me cringe inside out with shame. LISTEN. LEARN. FROM THOSE WHOSE VOICES MATTER MORE THAN YOURS IN THIS CASE.,2019-02-28T07:46:00.000Z,,Stephanie Rose,NA,false,393,2657,36,159,-2498,-357
thismorning,"Stacey Dooley's been criticised by Labour MP David Lammy after posting a picture on Instagram of her Comic Relief trip to Uganda. But do you think her picture encourages a 'white saviour' complex, or do you see nothing wrong with Stacey trying to do some good? https://t.co/4ICYFIrlbO",2019-03-02T19:33:00.000Z,https://t.co/pwq4GURi36,This Morning,"London, England",true,35,268,36,396,128,1
konylishious,"stacey babe it’s not about u. it’s about being british. it’s about comic relief, a product of white guilt caused by years of colonialism, promoting this white saviour complex by ‘saving’ people in africa who wouldn’t even be starving if we hadn’t absolutely wrecked their country https://t.co/kadtEW3f2M",2019-02-28T10:26:15.000Z,https://t.co/BMKdSQ1OMv,cinnamon apple 🇸🇱,"Hackney, London",false,1032,4456,35,67,-4389,-997
2tweetaboutit,'If the issue is that I'm white... you could always go': Stacey Dooley hits back in 'no more white saviours' row after MP @DavidLammy slams her on Twitter for encouraging stereotypes by travelling to Uganda for Comic Relief  https://t.co/uFlADY0hBk via @MailOnline,2019-02-28T05:40:13.000Z,,Vicky,"London, England",false,148,226,34,128,-98,-114
