user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
JeremyVineOn5,"Celebrities like Stacey Dooley have been criticised for making films in Africa for Comic Relief, with David Lammy tweeting: ""The world does not need any more white saviours"". Thoughts? #jeremyvine https://t.co/Bnty9bIzEx",2019-02-28T07:16:49.000Z,https://t.co/j1lSUcVGPI,Jeremy Vine On 5,"London, England",true,106,253,121,1036,783,15
VictoriaLIVE,"“The image is a perpetual image of people who are impoverished, who need white celebrities”

Labour MP @DavidLammy says Comic Relief must stop promoting tired stereotypes, following an image of Stacey Dooley in Uganda

#VictoriaLIVE https://t.co/NsQbMbCRAp",2019-02-28T10:41:36.000Z,https://t.co/PLURgGS56z,Victoria Derbyshire,NA,true,1480,3948,481,862,-3086,-999
talkRADIO,"David Lammy says Stacey Dooley is a “white saviour” creating “poverty porn” by going to Africa for Comic Relief... Does he have a point? 

@JuliaHB1 | https://t.co/12j6cHLwF4 https://t.co/slUYrUwZSN",2019-03-01T06:50:02.000Z,https://t.co/kswWL8RTdC,talkRADIO,United Kingdom,true,62,114,73,741,627,11
itvnews,"Labour MP David Lammy 'snubbed offer' to make film in Africa with Comic Relief, it emerges, after he criticises Stacey Dooley's charity trip to Uganda
https://t.co/xlU22pQrrD https://t.co/eqNk4StCYP",2019-02-28T11:35:14.000Z,https://t.co/a6E93qvfJx,ITV News,United Kingdom,true,713,1113,362,723,-390,-351
comicrelief,Our statement regarding the recent 'White Saviour' controversy in the wake of Stacey Dooley's recent trip to Uganda for Red Nose Day: https://t.co/STzorOwg8x,2019-02-28T11:28:20.000Z,https://t.co/4LzMJCfmSR,Comic Relief,Comic Relief HQ,true,1458,7703,559,633,-7070,-899
MatthewStadlen,Is my friend David Lammy right to say that the world doesn’t need any more white saviours like Stacey Dooley or does he risk putting people off from donating to important causes in Africa? Join me from 1 on @LBC https://t.co/3t18SvXXhm,2019-03-02T00:42:43.000Z,https://t.co/q5cOwEl18a,Matthew Stadlen,London,true,28,139,55,615,476,27
LBC,"A race row has erupted between David Lammy and Stacey Dooley, after the MP accused her of perpetuating a ""white saviour"" complex whilst filming for Comic Relief. @NickFerrariLBC asks: is he right? https://t.co/VOJyKUHpUu",2019-03-01T08:08:42.000Z,https://t.co/fI8exPioWw,LBC,United Kingdom,true,42,72,49,522,450,7
ajcdeane,"Congratulations, David Lammy

-

Comic Relief down £8m after David Lammy ‘white saviour’ row | News | The Sunday Times https://t.co/VYPjRmZr4n",2019-03-17T12:48:08.000Z,https://t.co/tXlbqoCNSr,Alex Deane,London,false,867,3014,177,519,-2495,-690
itvnews,"'It's not really about Stacey Dooley, it's about Comic Relief'

Labour MP David Lammy tells ITV News presenter @alstewitn his issue with the charity and the way it raises funds https://t.co/xlU22pQrrD https://t.co/8rFWY2PfvY",2019-02-28T15:37:35.000Z,https://t.co/a6E93qvfJx,ITV News,United Kingdom,true,60,156,117,500,344,57
BBCNews,"Stacey Dooley hits back at MP David Lammy's criticism of her ""white saviour"" Comic Relief posts  

https://t.co/vYGGYhgOIh",2019-02-28T11:30:43.000Z,https://t.co/vBzl7LNCCQ,BBC News (UK),London,true,112,411,79,458,47,-33
thismorning,"Was Stacey Dooley wrong to go on a charity trip to Africa? Do you agree with MP David Lammy's 'white saviour' criticism? 

https://t.co/PdoQqnciSr",2019-02-28T11:57:18.000Z,https://t.co/pwq4GURi36,This Morning,"London, England",true,21,125,27,439,314,6
thismorning,"Stacey Dooley's been criticised by Labour MP David Lammy after posting a picture on Instagram of her Comic Relief trip to Uganda. But do you think her picture encourages a 'white saviour' complex, or do you see nothing wrong with Stacey trying to do some good? https://t.co/4ICYFIrlbO",2019-03-02T19:33:00.000Z,https://t.co/pwq4GURi36,This Morning,"London, England",true,35,268,36,396,128,1
LBC,"David Lammy has accused Stacey Dooley of perpetuating a ""white saviour"" complex whilst filming for Comic Relief in Uganda. @ShelaghFogarty asks: who is right on this? https://t.co/5infefIWWp",2019-02-28T15:21:25.000Z,https://t.co/fI8exPioWw,LBC,United Kingdom,true,32,69,32,389,320,0
thismorning,.@StaceyDooley's been criticised by Labour MP @DavidLammy after posting a picture on Instagram of her @comicrelief trip to Uganda. But do you think her picture encourages a 'white saviour' complex? Or do you see nothing wrong with Stacey trying to do some good? https://t.co/C48vFJxcLT,2019-02-28T18:14:00.000Z,https://t.co/pwq4GURi36,This Morning,"London, England",true,18,176,19,345,169,1
SkyNews,Stacey Dooley Comic Relief documentary pics spark 'white saviour' row https://t.co/Pa0U44tLlE,2019-02-28T12:45:42.000Z,https://t.co/UuWgHECmV8,Sky News,"London, UK",true,24,86,28,271,185,4
LBC,"David Lammy doubles down in the “white saviour"" row as he accuses Comic Relief of “complete BS” and tells LBC “it don’t need to exist” 

@eddiemair https://t.co/ykk0iYc4rP",2019-02-28T17:32:41.000Z,https://t.co/fI8exPioWw,LBC,United Kingdom,true,35,45,33,249,204,-2
DavidTCDavies,If ⁦@DavidLammy⁩ wants to end celeb photo opps in Africa he should stop trying to thwart Brexit &amp; use it as the chance to slash tariffs on African imports.  https://t.co/BkS7pvPArC,2019-03-03T17:28:50.000Z,https://t.co/1pj8xKfO98,David TC Davies MP 🏴󠁧󠁢󠁷󠁬󠁳󠁿🇬🇧,"Monmouth, Monmouthshire",true,199,614,73,249,-365,-126
ReggieNBollie,"Totally agree with @DavidLammy on the issue of African poverty porn. Being Africans, it’s so uncomfortable to see lots of British celebs travel to Africa with the good intentions of comic relief but end up promoting the negative stereotypes about Africa.
https://t.co/YiJGqvyPVc",2019-02-28T09:22:40.000Z,https://t.co/mDQPwPs6NH,Reggie n Bollie,"HipLife, AfricanPoP Artists UK",true,434,1778,48,245,-1533,-386
VictoriaLIVE,"“It keeps the continent of Africa poor. It keeps people in their place.”

Labour MP @DavidLammy says Stacey Dooley’s Comic Relief trip to Uganda is part of Britain's 'white saviour' complex

#VictoriaLIVE https://t.co/xcJ1prTr7X",2019-02-28T10:47:17.000Z,https://t.co/PLURgGS56z,Victoria Derbyshire,NA,true,245,778,78,223,-555,-167
DavidLammy,Thank you for your spot on analysis. 🤜🏿 https://t.co/Lk81gltYBU,2019-03-03T14:15:10.000Z,https://t.co/PfjeSx0di9,David Lammy,Tottenham,true,146,636,37,209,-427,-109
thecarolemalone,So after @DavidLammy  “white saviour” row Comic Relief donations are down £8m and is on track to raise the lowest sum since 2007. How many more lives might that £8m have saved ? But Thank God millions still DID donate despite accusations of being meddling  white westerners!,2019-03-17T16:58:24.000Z,,Carole Malone,London,false,232,975,32,172,-803,-200
VictoriaLIVE,"“There are poor children in the United Kingdom. I don’t see celebrities taking photos with them”

Barrister Samantha Davies agrees with @DavidLammy’s criticism of Stacey Dooley, for a photo of her holding a Ugandan boy on Comic Relief trip

#VictoriaLIVE https://t.co/FDwTi3jsUu",2019-02-28T11:06:38.000Z,https://t.co/PLURgGS56z,Victoria Derbyshire,NA,true,163,429,49,161,-268,-114
flawleafclover,White people criticising @DavidLammy for having a problem with the Comic Relief imagery of Stacey Dooley holding a black child is making me cringe inside out with shame. LISTEN. LEARN. FROM THOSE WHOSE VOICES MATTER MORE THAN YOURS IN THIS CASE.,2019-02-28T07:46:00.000Z,,Stephanie Rose,NA,false,393,2657,36,159,-2498,-357
