user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
theweeknd,woke up this morning shocked and embarrassed by this photo. i’m deeply offended and will not be working with @hm anymore... https://t.co/P3023iYzAb,2018-01-08T19:20:41.000Z,,The Weeknd,"Toronto, Ontario",true,100214,256137,13987,8592,-247545,-86227
FloydShivambu,That @hm nonsense of a clothing store is now facing consequences for its racism. All rational people should agree that the store should not be allowed to continue operating in South Africa. Well done to Fighters who physically confronted racism. https://t.co/cgdedYGoOj,2018-01-13T09:44:03.000Z,https://t.co/AxTSq4owXt,Floyd Shivambu,"World Citizen, based in SA",true,4185,7143,12090,3890,-3253,7905
President1Trump,"Let’s get this straight, you’re mad because a little boy in Arkansas wore a shirt that said ‘coolest monkey in the jungle’ so you go to an H&amp;M store, act like a zoo animal and wreck it? https://t.co/wHy7fPuFTN",2018-01-13T20:45:46.000Z,,GITMO KAG2020 🇺🇸,USA,false,1810,2654,427,1105,-1549,-1383
thisisinsider,H&amp;M apologizes for using a black child in a 'racist' sweatshirt ad — but some people don't think it's enough https://t.co/ayvFLsf4QA https://t.co/rBTDVbcyyp,2018-01-08T16:05:29.000Z,https://t.co/c0ybDcjd3E,Insider,"Manhattan, NY",true,2637,4196,2390,1102,-3094,-247
EBONYMag,Mom of H&amp;M Model Used to Sell “Monkey” Hoodie is Mad at Us for Getting Mad: “Get over it! I don't think like that!” — https://t.co/uAgvJFWeSU https://t.co/9I1mGsrT56,2018-01-10T16:59:26.000Z,https://t.co/fu43zEtDcC,EBONY MAGAZINE,NA,true,5475,13697,2147,1077,-12620,-3328
ArianelaSelene,".@hm this is inappropriate, offensive, and racist. Why is the white kid ""a jungle survivor"" and the black kid the ""coolest monkey in the jungle""? How do you think this is okay? REMOVE this and the clothing piece. This is completely distasteful! #racist #hm https://t.co/uati7eI0Io https://t.co/WSF9Wiksio",2018-01-08T03:29:39.000Z,,Selene,United States,false,1606,2893,1852,1065,-1828,246
JackieChanel,So wait...the mother was at the H&amp;M photoshoot and allowed her young black son to walk out on set wearing a “coolest monkey in the jungle” sweatshirt?  Whatever happened to protecting your kids? Guess that check was too nice. They picked the right one then. Wouldn’t have been me,2018-01-10T22:40:29.000Z,https://t.co/uH8nja9E3U,Jackie Chanel,The Batcave...where else?,false,1238,5225,574,792,-4433,-664
CNN,"H&amp;M apologizes for using a black child to model a sweatshirt with a ""coolest monkey in the jungle"" slogan https://t.co/ayGwjGB72S https://t.co/D2Fohr8C9E",2018-01-08T17:20:04.000Z,https://t.co/imGp4Ieixi,CNN,NA,true,745,968,432,722,-246,-313
CNN,"H&amp;M apologizes for using a black child to model a sweatshirt with a ""coolest monkey in the jungle"" slogan https://t.co/hLyUIDQM9E https://t.co/SZohG2gTFW",2018-01-08T13:39:36.000Z,https://t.co/imGp4Ieixi,CNN,NA,true,846,1141,599,605,-536,-247
EFFSouthAfrica,What is left out in the entire public narrative on #EFFprotest against H&amp;M anti-black racism is that Not Even A Single Item was Stolen or Looted by EFF Ground Forces. How much more peaceful and orderly can a protest be? #Asijiki,2018-01-14T14:10:12.000Z,https://t.co/r7WpbwGslq,Economic Freedom Fighters,ZA,true,576,1466,136,455,-1011,-440
