user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
HuffPost,"A California jury found Monsanto liable in a lawsuit filed by school groundskeeper Dewayne Johnson, who alleged the company’s glyphosate-based weed-killers caused his cancer. Johnson’s doctors said he is unlikely to live past 2020. https://t.co/nYK7okWQhE",2018-08-10T23:40:44.000Z,https://t.co/DLXRSufyhx,HuffPost,NA,true,2393,3853,421,192,-3661,-1972
jennirsl,Boris Johnson's resignation was an act of desperation.  He knows the verdict of history is about to come down on him - and bury him.  My column for @nytimes. Boris Johnson Has Ruined Britain https://t.co/WDuiEENndy,2018-07-10T12:11:40.000Z,https://t.co/zzjnowhSdL,Jenni Russell,London,true,2994,5516,389,311,-5205,-2605
cnnbrk,"In a groundbreaking case, a jury awards $289 million in damages to a man who said he got terminal cancer from Monsanto's popular weedkiller Roundup https://t.co/ub7wY2NMYZ https://t.co/ePMcxpHMGi",2018-08-10T22:37:29.000Z,https://t.co/ojQgQKzKzX,CNN Breaking News,Everywhere,true,2018,4038,388,287,-3751,-1630
NBCNews,"BREAKING: Jury rules Monsanto 'Roundup' weed killer product was ""substantial factor"" in causing harm to groundskeeper Dewayne Johnson, who has terminal cancer; awards more than $250,000,000 in damages.",2018-08-10T22:23:59.000Z,https://t.co/Z73is4fJ3x,NBC News,"New York, NY",true,2878,6133,385,212,-5921,-2493
Eleisegui,"HISTÓRICO: El tribunal de San Francisco acaba de hallar culpable a la multinacional #Monsanto de contaminar y enfermar de cáncer al jardinero Dewayne Johnson. El glifosato produce esa enfermedad, estableció la Justicia estadounidense. Adiós al discurso corporativo. @MonsantoCo https://t.co/uHnGI1QWcW",2018-08-10T22:19:02.000Z,https://t.co/hqVZZGuMcl,Patricio Eleisegui,Ciudad de Buenos Aires,false,4183,5140,276,79,-5061,-3907
guardian,Monsanto ordered to pay $289m as jury rules weedkiller caused man's cancer https://t.co/H8Dat0CjZQ,2018-08-10T22:50:47.000Z,https://t.co/c53pnmnuIT,The Guardian,London,true,966,1592,181,60,-1532,-785
MSNBC,"BREAKING: Jury rules Monsanto 'Roundup' weed killer product was ""substantial factor"" in causing harm to groundskeeper Dewayne Johnson, who has terminal cancer; awards more than $250,000,000 in damages.",2018-08-10T22:30:01.000Z,https://t.co/YBwtJIhwY3,MSNBC,NA,true,1866,4166,166,131,-4035,-1700
TIME,Women claimed Johnson &amp; Johnson's talc powder gave them ovarian cancer. They just won $4.7 billion in damages https://t.co/ACFB0LSacT,2018-07-13T02:25:03.000Z,https://t.co/vl89LXOvyB,TIME,NA,true,638,493,144,40,-453,-494
euronewsar,"#جونسون_أند_جونسون تدفع #تعويضات بقيمة 4.7 مليار دولار لمصابات بـ #السرطان بسبب منتجاتها من بينها #بودرة_أطفال
للمزيد:https://t.co/l9mWcxkWu2 https://t.co/CUUF1A8BK7",2018-07-13T16:00:39.000Z,http://t.co/QUX276wyYg,euronews عــربي,europe,true,389,303,132,56,-247,-257
ajplus,"A jury awarded $4.7 billion in damages to 22 women who say they developed ovarian cancer after using Johnson &amp; Johnson’s talc-based products, including its baby powder. https://t.co/W2mE2yGpKi",2018-07-13T13:47:41.000Z,https://t.co/dffekhz2Zn,AJ+,NA,true,808,403,131,17,-386,-677
patriciajaniot,"En un caso sin precedentes, un jardinero le gana a Monsanto una demanda de 289 millones de dólares  por daños y perjuicios tras contraer cancer al usar durante años un herbicida cuyo principal ingrediente es el glifosato.

https://t.co/fjtecXydcN",2018-08-10T23:08:03.000Z,https://t.co/yKUyhh4GjN,Patricia Janiot,"Miami, FL",true,1698,1788,129,79,-1709,-1569
BreakingNews,"Jury rules Monsanto 'Roundup' weed killer product was ""substantial factor"" in causing harm to groundskeeper Dewayne Johnson, who has terminal cancer; awards more than $250,000,000 in damages. https://t.co/JsIT5Tj4uQ - @NBCNews",2018-08-10T22:38:25.000Z,https://t.co/yjD4mOeepa,Breaking News,"NYC, LA, London",true,423,702,95,31,-671,-328
careygillam,"And jury says @MonsantoCo loses,,, $250 million awarded in punitive damages to Johnson for his claims Roundup caused his cancer and Monsanto knew and failed to warn. #Rounduptrial",2018-08-10T22:06:28.000Z,https://t.co/q5Rbj8j5qW,carey gillam ✍️ 📓,NA,true,374,710,94,33,-677,-280
CNN,A jury has awarded $289 million in damages to a man who said he got terminal cancer from Monsanto's popular weedkiller Roundup https://t.co/boukiOoJ5M https://t.co/ddGH7KJ3Ri,2018-08-10T22:48:31.000Z,https://t.co/imGp4Ieixi,CNN,NA,true,535,1172,89,77,-1095,-446
michaelpollan,Monsanto ordered to pay $289m as jury rules weedkiller caused man's cancer | Business | The Guardian https://t.co/S6zKzM3kEh,2018-08-11T01:19:52.000Z,https://t.co/PkOsbcsbBM,Michael Pollan,"Berkeley, CA",true,646,1732,89,39,-1693,-557
CNN,A jury has awarded $4.62 billion to 22 women who sued pharmaceutical giant Johnson &amp; Johnson alleging their ovarian cancer was caused by using its powder https://t.co/50fYrUM7ko https://t.co/mUsjzG3osT,2018-07-13T10:46:32.000Z,https://t.co/imGp4Ieixi,CNN,NA,true,445,479,87,48,-431,-358
Quicktake,Johnson &amp; Johnson was ordered to pay $4.69 billion to 22 women who claimed its baby powder was linked to their ovarian cancer https://t.co/9z8pbOJyAW #tictocnews https://t.co/wAZvxlZDw1,2018-07-13T14:02:30.000Z,https://t.co/VtjZNinDYb,Bloomberg Quicktake,NA,true,271,291,83,24,-267,-188
NPR,"Johnson &amp; Johnson has been ordered to pay $4.7 billion to 22 women and their families who say asbestos in the company's talcum powder contributed to their ovarian cancer.
https://t.co/VGiFxf6C0w",2018-07-13T18:05:00.000Z,https://t.co/NacrixPEkp,NPR,NA,true,309,357,74,26,-331,-235
DavidJHarrisJr,"Another powerful black American shares why he walked away from the Democrat plantation! 

There’s a massive black exodus taking place! 
 @UniteAmerica1st @usminority 
https://t.co/28C7gQyxKi",2018-07-14T02:08:49.000Z,https://t.co/ZdXptT1dYH,David J Harris Jr,"Texas, USA",false,393,918,71,92,-826,-322
greenpeacefr,"#Monsanto condamné ! 
Ce verdict est historique et sonnerait peut-être enfin la fin du droit à polluer impunément pour le géant américain. 

Bravo à Dewayne Johnson pour sa persévérance et son courage. 
#glyphosate #MonsantoTrial 
https://t.co/r6nYWTcIm2",2018-08-11T09:20:35.000Z,https://t.co/MOUI21QsqO,Greenpeace France,Paris,true,1108,2055,71,49,-2006,-1037
