user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
DrDavidHulme,Johnson &amp; Johnson to pay $4.7bn damages in #talc #cancer case https://t.co/CFTK6GfvwG https://t.co/mNFysS7y5j,2018-07-13T10:50:06.000Z,https://t.co/X2CdpBMU06,David Hulme,Southern California,true,4,2,0,4,2,-4
BenSchragg,"Does the loss of Carson Palmer HELP or HURT David Johnson’s fantasy stock?

Answer ➡️ https://t.co/RWuB3tOdoE",2018-07-13T18:46:43.000Z,https://t.co/nGu8PMo7ol,Ben Schragger,"Fort Lauderdale, FL",true,4,5,0,7,2,-4
panzerviet,Glyphosate : Monsanto condamné à 254 millions d'euros de dommages à un jardinier américain atteint d'un cancer https://t.co/fBtx1B4bZ3,2018-08-11T09:03:32.000Z,,chị 🇻🇳,NA,false,1,1,0,3,2,-1
IjazAhmadRao,Johnson &amp; Johnson ordered to pay $550m in talc asbestos #cancer case - #Ovarian cancer caused by J&amp;J #baby powder -  https://t.co/vVhs81YSBP #JNJCares #JNJNews #babygirl,2018-07-13T01:38:19.000Z,,Ijaz Ahmad Rao,Pakistan,false,4,1,0,2,1,-4
Limportant_fr,"Talc cancérigène: Johnson &amp; Johnson condamné à verser 4,7 Mds$ https://t.co/EsDREnGiIc #Monde https://t.co/sJubNoBAKo",2018-07-13T05:41:06.000Z,http://t.co/GoT4pNZwEM,L'important,"Paris, France",true,4,1,0,2,1,-4
josietaylor,Monsanto ordered to pay $289m as jury rules weedkiller caused man's cancer | Business | The Guardian https://t.co/gMQGroR3pz,2018-08-10T23:03:44.000Z,https://t.co/IrtcJTtlAK,josietaylor,Melbourne,true,1,1,0,2,1,-1
ChetEdinger,"This doesn’t bode well for innovation in herbicides. Just when we need new products to fight #resistantWeeds lawsuits will stymie R&amp;D dollars. 

Appeals process will correct #juryBias 

 https://t.co/Vr8etKrzKD",2018-08-11T00:37:04.000Z,,Chet Edinger,"Mitchell, SD",false,2,5,0,6,1,-2
GemmaEvans,Landmark case https://t.co/QxWtu51PQm,2018-08-11T08:31:26.000Z,https://t.co/5JfUB4ryaF,Gemma Evans,"San Francisco, CA",true,2,2,0,3,1,-2
lifelearner47,"#PublicHealth: Deliberately selling death. Cancer. The price you paid for Monsanto's profit. 
#Pesticides 
https://t.co/2nLrFULqrb",2018-07-10T06:58:48.000Z,,Earth carer called Angie #StandingWithUkraine 🇺🇦,Nouvelle Aquitaine,false,1,1,1,1,0,0
Steveredwolf,Boris Johnson is a buffoon end of and id no more trust him than i would Corbyn and his bunch of anarchists- what a sorry sorry state our politics is in  😥😥😥,2018-07-10T16:13:31.000Z,https://t.co/n53jKbFHIJ,Where is Nature meant to live🦉🐦🦋🌻🌳🦌🐞?,"Pontefract, England https://www.facebook.com/groups/271951823381470/",false,1,1,0,1,0,-1
goretsky,"Monsanto 'bullied scientists' and hid weedkiller cancer risk, lawyer tells court https://t.co/ADkpnLAdaY",2018-07-10T20:26:50.000Z,https://t.co/pWpFFUloOu,Aryeh Goretsky,United States,false,3,1,0,1,0,-3
Louiseaileen70,"Johnson and Johnson ordered to pay $4bn in talc cancer case:

https://t.co/nwAo3Ur0Z3",2018-07-13T06:21:49.000Z,http://t.co/pjwbalEqQ9,Louise Cooper,London,false,2,1,0,1,0,-2
MaisonGladys,"Surely Johnson &amp; Johnson have broken the Trades Descriptions Act by failing to include asbestos in the ingredients list of their talc?

  #r4today",2018-07-13T06:33:31.000Z,,Don 'unintentionally tweeting' Coyote,Liguria ,false,1,1,0,1,0,-1
Aghizzi7,"حكم قضائي يلزم شركة جونسون&amp; جونسون بدفع تعويضات 4.69 مليار دولار ل22 امرأة وعوائلهن بسبب اصابتهن بالسرطان بسبب منتجات الشركة.

واحدة من أكبر قضايا التعويضات الشخصية في التاريخ.. تفاصيل أكبر:
https://t.co/lUH8Flk0Z6",2018-07-13T08:19:42.000Z,https://t.co/CQSWpEsQWv,عبدالله الغزي,Riyadh - Sheffield,false,1,1,0,1,0,-1
Limportant_fr,"Talc cancérigène: Johnson &amp; Johnson condamné à verser 4,7 Mds$ https://t.co/EsDREnGiIc #Monde https://t.co/25FdhWTR9M",2018-07-13T10:19:06.000Z,http://t.co/GoT4pNZwEM,L'important,"Paris, France",true,5,1,0,1,0,-5
ijournal,Jury Says J&amp;J Should Pay Record $4.7 Billion in Talc Cancer Case https://t.co/MKqpFtaYAi,2018-07-13T10:42:03.000Z,https://t.co/p8KaTQWVW2,Insurance Journal,"San Diego, CA",true,1,1,0,1,0,-1
RadioCanadaInfo,Au @Radiojournal_RC 7h L'entreprise américaine Johnson &amp; Johnson condamnée à verser près de 5-milliards de dollars à des clientes atteintes du cancer https://t.co/KFWlgAQKde,2018-07-13T11:15:53.000Z,https://t.co/TQfE8KClwE,Radio-Canada Info,"Montreal, Qc, Canada",true,4,1,1,1,0,-3
theipaper,"Johnson &amp; Johnson forced to pay £3.6bn to women who claimed talc gave them ovarian cancer
https://t.co/Ac10cw5T2I",2018-07-13T11:33:28.000Z,https://t.co/s9Rj8uSJsl,i newspaper,NA,true,2,1,0,1,0,-2
JuDufresne_RC,"Quand la cour reconnaît que la présence présumée d’amiante dans la poudre pour bébé est à l’origine de milliers de cancers des ovaires

#amiante #asbestos 

https://t.co/MwvWWcyDtU",2018-07-13T12:05:20.000Z,https://t.co/Hh5Hc56BQT,Julie Dufresne,NA,true,1,1,0,1,0,-1
S_a_r_a_h_____,"Corps &amp; Cancer:

More Lawsuits in Queue

St. Louis jury awards $4.7 billion in total damages to 22 women in Johnson &amp; Johnson baby powder suit  https://t.co/vjenEW8rQh via @WSJ",2018-07-13T12:18:00.000Z,,.,NA,false,1,1,0,1,0,-1
ImperatorTruth,Johnson and Johnson Cover Up Asbestos In Baby Powder https://t.co/irUuWJkm77 via @YouTube,2018-07-13T12:54:14.000Z,https://t.co/dHZKXiWmHf,Titus Frost 🏴‍☠️,"Boston, MA",false,2,1,0,1,0,-2
veteranstoday,"Johnson &amp; Johnson ordered to pay $4.7bn in talc cancer lawsuit -
https://t.co/0IXH0fqJfn -

A jury in the US state of Missouri has awarded $4.7 billion in total damages to 22 women and their families after they claimed asbestos in Johnson &amp; Johnson (J&amp;J) talcum powder... https://t.co/iB3tHQEEjV",2018-07-13T12:54:26.000Z,https://t.co/vSa09jwcNn,VeteransToday,U.S.A.,false,5,3,0,3,0,-5
LesEchos,Talc cancérigène : très lourde amende pour Johnson &amp; Johnson https://t.co/sJed0IIPep https://t.co/MW8Oh7MkQJ,2018-07-13T13:20:26.000Z,https://t.co/hK6Mu7Wi0P,Les Echos,Paris,true,1,1,1,1,0,0
MMoon_WREG3,Johnson &amp; Johnson shares dip after massive talcum powder judgment https://t.co/rTTBBtzawk,2018-07-13T15:01:45.000Z,https://t.co/8xNcIEJdWp,melissa moon,"Memphis, TN",true,1,1,0,1,0,-1
FOX40,$4.69 Billion Verdict Against Johnson &amp; Johnson’s Talcum Powder https://t.co/4MLrhCArbV,2018-07-13T15:59:39.000Z,https://t.co/YDoUCWQtKJ,FOX40 News,"Sacramento, CA",true,1,1,0,1,0,-1
MarkTLive,Johnson &amp; Johnson had spent 40 years covering up evidence of asbestos in some of its talcum-based products and should mark those products with warning labels  https://t.co/U6N9OAu8rC,2018-07-13T16:18:43.000Z,https://t.co/MpgcHc1Xli,mark thompson marktlive.eth,NA,false,1,2,0,2,0,-1
AquiyAhoraShow,Johnson &amp; Johnson pagará millonaria multa por casos de cáncer asociados a sus talcos https://t.co/OmlFOajw70 https://t.co/dF6KqZ6j2i,2018-07-13T19:30:12.000Z,https://t.co/F3KnPOQWRn,Aquí y Ahora,"Miami, FL",true,1,1,0,1,0,-1
marshawright,J&amp;J vows to overturn $4.7 billion talc verdict but experts see hurdles https://t.co/U5p6hUNqVF #news #business #social https://t.co/RShGHrW9mZ,2018-07-13T20:22:29.000Z,https://t.co/IISTO6yi0O,Real Marsha Wright®,USA|EUROPE|ASIA|GLOBAL✈️,true,3,1,0,1,0,-3
YourAnonRiots,#JohnsonAndJohnson  has been ordered to pay $4.7 billion to 22 women and their families who say #asbestos in the company's #talcum powder contributed to their ovarian #cancer. https://t.co/zjGaXzweUv,2018-07-13T21:18:00.000Z,https://t.co/J90wCqMTrB,Anonymous🏴🐾 ☕🍵,Digital Activist🏴 ,false,4,1,0,1,0,-4
Infomedia24hrs,#AHORA  🇺🇸  La empresa Johnson &amp; Johnson es condenada a pagar 4.050 millones por 22 casos de cáncer asociado a su polvo de talco  📷 https://t.co/Wlbfsqat1n,2018-07-13T21:18:57.000Z,,Infomedia 🇦🇷,Buenos Aires - Argentina,false,1,1,0,1,0,-1
nobby15,Johnson &amp; Johnson ordered to pay $6.32b in talc cancer case https://t.co/BjqtMIYlgr via @ABCNews,2018-07-14T00:49:34.000Z,,💧DUKE Clyde (HANSARD)CFW9 (Biden-Harris ELECT)💧,"Perth, Western Australia",false,1,1,0,1,0,-1
ctnurhidaya,"Yes but you forgot to mention that :
1- Asbestos was thing during 70s. Bukan J&amp;J je pakai. Banyak lagi product lain, BUT that was BEFORE asbestos is known as carcinogenic. Sebab tu it's hard to find products with asbestos dah sekarang. https://t.co/AS752dwdPG",2018-07-14T04:28:21.000Z,https://t.co/WGh1AMfttT,𝙎𝙞𝙩𝙞 𝙉. 🏴,Kuala Lumpur Federal Territory,false,3,1,0,1,0,-3
godelitsas,"Johnson &amp; Johnson must pay damages to women who claimed asbestos in the company’s talc products caused them to develop ovarian cancer, a St. Louis jury said https://t.co/O5dSfh1KOt via @business",2018-07-14T12:05:24.000Z,http://t.co/IMXRSlgRjD,Åtħ Gøðêlítšäs,"Athens, Greece",false,1,1,0,1,0,-1
vijayvaani,"Monsanto's 'cancer-causing' weedkiller destroyed my life, dying man tells court https://t.co/wwvnpwXrR7",2018-07-24T01:35:42.000Z,http://t.co/gURISXgc9W,Sandhya Jain,"New Delhi, India",false,2,1,0,1,0,-2
monicafose,"Monsanto's 'cancer-causing' weedkiller destroyed my life, dying man tells court https://t.co/9M4uoQhwtm",2018-07-24T02:45:14.000Z,https://t.co/Zbz2NmTe3A,Bridges,In State of Yoda   ,false,1,1,0,1,0,-1
NBCDigitalNews,"Johnson &amp; Johnson baby powder users unaware of risk related to product
https://t.co/m7MCCilOyD https://t.co/fRkBLFgX84",2018-07-24T17:23:22.000Z,https://t.co/wDbH5DdASh,NBC Digital News,"Windhoek, Namibia",false,4,1,1,1,0,-3
charlesderain,"Monsanto's 'cancer-causing' weedkiller destroyed my life, dying man tells court https://t.co/JImEWG6QJX",2018-07-24T19:07:24.000Z,,charles derain,dublin,false,1,1,0,1,0,-1
BarbaraRacek,Jury awards $289 million in damages after man says he got terminal cancer from Monsanto's Roundup - cnn https://t.co/Dr6VmPws9E via @nuzzel,2018-08-10T23:03:11.000Z,https://t.co/ZBaDoEPd0H,b. insights,"Portland, Oregon",false,1,1,0,1,0,-1
CorpCrimeReport,Jury awards $289 million after man says he got terminal cancer from Monsanto's Roundup - CNN https://t.co/09Xq4dpLu4,2018-08-10T23:41:10.000Z,http://t.co/8zVXmwkjRG,Russell Mokhiber,NA,false,2,1,0,1,0,-2
Nuria_amb_seny,"“Today’s decision does not change the fact that more than 800 scientific studies and reviews ... support the fact that glyphosate does not cause cancer, and did not cause Mr. Johnson’s cancer"".",2018-08-11T01:34:27.000Z,https://t.co/goHAYMV6wb,Núria Giralt ❤️🎗💜,Agora,false,1,1,0,1,0,-1
jjbertolus,"Etats-Unis : Monsanto compte faire appel de sa condamnation à 290 millions de dollars de dommages et intérêts. ""Comment ose-t-elle ?"", l'avocat du plaignant, Dewayne Johnson, ce jardinier atteint d'un cancer incurable.",2018-08-11T02:00:03.000Z,,Jean-Jérôme Bertolus,NA,false,2,1,0,1,0,-2
StageYaneu,"Jurors give $289 million to a man they say got cancer from Monsanto's Roundup

https://t.co/vmJoZIXdRg Some People have lost Many Family Members due To Environmental Toxin Chronic &amp; Acute Exposures from Nearby Chemical Companies and/or Using Products consistently like he did.",2018-08-11T04:11:02.000Z,,YANEUSTAGE,KEY WEST FLORIDA,false,1,2,0,2,0,-1
faiselr,"Wow - Jury rules that Monsanto’s Roundup causes cancer and orders it to pay $300m in damages to a victim. 4000 more cases pending.
The internal emails saying they knew for decades must mean the Board/staff should be arrested  
https://t.co/XPlV7MjxAf https://t.co/vEPnySpP8y",2018-08-11T07:29:10.000Z,https://t.co/A52tSyvkvK,Faisel Rahman,"4, 8, 15, 16, 23, and 42 ",false,1,1,1,1,0,0
kizzy2003,https://t.co/Luf5mxC4qA,2018-08-11T08:48:23.000Z,,Chris Enright (Garden Fresh Veg),"Kilcornan, Limerick",false,1,1,0,1,0,-1
littlebigfred,"""C'est une décision historique: un tribunal de San Francisco vient de condamner Monsanto à payer près de 290 millions de dollars de dommages pour ne pas avoir informé de la dangerosité de son herbicide Roundup à l'origine du cancer de Dewayne Johnson.""

https://t.co/EdfDHhH4Ju",2018-08-11T10:26:29.000Z,,LittleBigFred,NA,false,1,1,0,1,0,-1
Earth2Mother,https://t.co/eCu7cHLWRL,2018-08-11T12:02:53.000Z,https://t.co/tkO3imVvGw,Stephen Christopher Szawlowski,"Ottawa, Ontario, Canada",false,1,1,0,1,0,-1
