user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
JNJNews,"J&amp;J Baby Powder does not contain asbestos. For 100+ years, we’ve known our talc is the purest, safest talc on earth. We’re committed to your safety and stand behind our products. Learn more at https://t.co/FxX9e8mtmV",2018-12-19T22:58:43.000Z,https://t.co/M2cMwtbq24,Johnson & Johnson,NA,true,217,1061,413,816,-245,196
JNJNews,"Johnson’s Baby Powder has the purest, safest pharmaceutical-grade talc on earth. Learn more at https://t.co/FxX9e8mtmV https://t.co/S9F7D8WAjo",2018-12-19T17:29:47.000Z,https://t.co/M2cMwtbq24,Johnson & Johnson,NA,true,34,138,112,138,0,78
JNJNews,We know that Johnson's Baby Powder does not contain asbestos and never will. We test every single lot to ensure it. Learn more at https://t.co/FxX9e8E4et https://t.co/3ZnRp03r6Q,2018-12-18T18:31:19.000Z,https://t.co/M2cMwtbq24,Johnson & Johnson,NA,true,18,95,65,92,-3,47
JNJNews,We know that Johnson's Baby Powder does not contain asbestos and never will. We test every single lot to ensure it. Learn more at https://t.co/FxX9e8E4et https://t.co/ousx9nwx0q,2018-12-18T18:29:31.000Z,https://t.co/M2cMwtbq24,Johnson & Johnson,NA,true,38,193,80,117,-76,42
JNJNews,The FDA has tested Johnson’s talc since the ‘70s. Every single time it did not contain asbestos. Learn more at https://t.co/FxX9e8mtmV https://t.co/rhdAxPszQD,2018-12-19T17:29:07.000Z,https://t.co/M2cMwtbq24,Johnson & Johnson,NA,true,57,243,80,102,-141,23
ABC7Chicago,"Johnson &amp; Johnson knew for decades about asbestos in baby powder, report says: https://t.co/9MBPqM5ysb https://t.co/7Jsfm9Gwsd",2018-12-15T02:44:49.000Z,https://t.co/L22loXfH4F,ABC 7 Chicago,"Chicago, Illinois",true,4,6,6,2,-4,2
jimcramer,Interest in Johnson &amp; Johnson stock dries up amid baby powder scandal via @KevinCurranRM https://t.co/VgKIEsx20k https://t.co/rwtOOd29WX,2018-12-17T18:17:03.000Z,https://t.co/GnLAn0PlX8,Jim Cramer,New York City,true,2,11,4,10,-1,2
jennablan,J&amp;J moves to limit impact of Reuters report on asbestos in Baby Powder https://t.co/fJZafVXIxf,2018-12-18T00:12:33.000Z,https://t.co/NrWO5G0BVr,Jennifer Ablan,"Manhattan, NY",true,1,6,3,1,-5,2
FedProm,"BREAKING: Johnson &amp; Johnson knew for decades about asbestos in baby powder talc supply, failed to tell the FDA - Reuters, citing documents https://t.co/HxtQoGkVeM",2018-12-14T19:47:30.000Z,,FedProm 💃🏻,Not Turks & Caicos,false,1,11,2,2,-9,1
Clip275,"Johnson &amp; Johnson knew about the cancer causing asbestos in it's talcum baby powder ALL ALONG &amp; stayed quiet regardless just to make profits.

..but guess what? I didn't!

HMU for mixing",2018-12-15T04:57:37.000Z,,Clip275,"Miami, FL",false,1,4,2,0,-4,1
bsindia,"Documents revealed in a lawsuit showed J&amp;J has known for decades that its talc products include asbestos fibers 

https://t.co/jj6tixmk0Z",2018-12-15T05:58:00.000Z,https://t.co/1gWMdChAcU,Business Standard,India,true,1,5,2,0,-5,1
saturunus,"マジで…？

Johnson &amp;amp; Johnson Knew Its Baby Powder Was Tainted With Asbestos: Report https://t.co/7mAx5LpL0h @thedailybeastより",2018-12-15T07:53:19.000Z,https://t.co/1Ndz8bCr9T,水落絵理香,東京都,false,1,1,2,1,0,1
JGF92,"Johnson &amp; Johnson supo durante décadas que su talco para bebés tenía amianto y podía provocar cancer. Una investigación de @ReutersWorld   

https://t.co/7CkRsiBnjO",2018-12-15T11:15:21.000Z,https://t.co/puirMhoDG4,Javier García,Madrid,false,1,1,2,0,-1,1
laradiodelsur,"El informe dice que los ejecutivos de la compañía, los gerentes de minas,  científicos, médicos y abogados sabían sobre el problema y no lo revelaron a los reguladores ni al público.

Talcos de #JohnsonJohnson estaban contaminados 😮
 https://t.co/WHv5esjwrx https://t.co/E7QnQI6Zrd",2018-12-15T19:00:00.000Z,https://t.co/BcJ69VPDo6,La Radio del Sur,"ÜT: 10.48326,-66.798122",false,2,3,3,0,-3,1
geonews_english,Johnson &amp; Johnson knew for decades that asbestos lurked in its Baby Powder https://t.co/Az9fagKe5T,2018-12-16T04:40:49.000Z,https://t.co/umtR1GW0A6,Geo English,"Karachi, Pakistan",true,1,10,2,2,-8,1
OrissaPOSTLive,"Global pharmaceutical giant Johnson &amp; Johnson knew for decades that its baby powder contained asbestos, report said Friday. #JohnsonAndJohnson #BabyPowder 
https://t.co/0Rlxile7Yx",2018-12-16T08:08:39.000Z,https://t.co/9kmbH6lGeQ,Orissa POST Live,Bhubaneswar,false,1,39,2,0,-39,1
jimcramer,#StockoftheDay Johnson &amp; Johnson stock presents a buying opportunity amid an overblown selloff via @KevinCurranRM  https://t.co/BCHQhXoEQD https://t.co/QPjouT5nvX,2018-12-17T16:12:56.000Z,https://t.co/GnLAn0PlX8,Jim Cramer,New York City,true,1,21,2,22,1,1
Medscape,J&amp;J scrambles to react to @Reuters report on alleged asbestos-in-baby powder cover up. https://t.co/Bfb2gDlfXu https://t.co/ODJoctnOBn,2018-12-19T16:20:01.000Z,http://t.co/oCTatZ8LWl,Medscape,New York,true,2,5,3,0,-5,1
VJShordee444,#WTF J&amp;J knew for decades that asbestos lurked in its Baby Powder https://t.co/7NWDqszuqK,2018-12-14T14:39:36.000Z,https://t.co/Td6e6AfKe6,🇺🇦 🌻trump is still dangerous,👇🏻watching Ukraine 🔥 ,false,1,2,1,1,-1,0
Hotpage_News,Johnson and Johnson shares drop on report that the company knew for decades of #asbestos in its baby powder $JNJ - https://t.co/qrgevWMZu1,2018-12-14T14:49:49.000Z,http://t.co/tBHEZ1PaKD,Hotpage News,United States,false,2,2,2,4,2,0
VnTonica,"JNJの下げの要因はこのニュースか。アスベスト混入を何十年も前から把握か。

Johnson &amp; Johnson reportedly knew for decades about asbestos in its baby powder, shares drop 4 percent https://t.co/BUW75dQihb",2018-12-14T15:12:54.000Z,https://t.co/l9Oqt8g1qO,Tonica🎻,日本 兵庫,false,1,4,1,1,-3,0
DMR09,"Johnson &amp; Johnson stock (JNJ) is down about 6% right now, following news that the company revealed it knew asbestos was in its baby powder https://t.co/gpc2Cf5nWm",2018-12-14T15:19:13.000Z,,Diana has Allergies 🌸🌳🤧😭,"New York, NY",false,1,1,1,0,-1,0
KeithDunneNL,"J&amp;J reportedly knew about asbestos in baby powder for decades, shares drop 8% https://t.co/TnjgQkjAKc",2018-12-14T16:08:31.000Z,https://t.co/eD3PSZ5Y3g,Keith Dunne,"St. John's, Newfoundland",false,2,3,2,1,-2,0
Adweek,#BREAKING | Report alleges Johnson &amp; Johnson withheld information about trace amounts of asbestos in baby powder for decades: https://t.co/m210ruRTzZ https://t.co/8LxzZeBWPx,2018-12-14T16:50:53.000Z,https://t.co/5GsyiFiwln,Adweek,New York City,true,13,11,13,1,-10,0
TokyoTramp,"Fuck them. My mom religiously used this before she died of cancer. Fuck them to eternity.

Johnson &amp; Johnson knew about asbestos in its baby powder for decades, report says  https://t.co/foZHA4tOpA",2018-12-14T16:53:56.000Z,https://t.co/ck7P6GTe6t,No Soggy Bottoms,West Bubble Fuck in Narnia,false,1,3,1,1,-2,0
NetReturn,"Johnson &amp; Johnson knew about asbestos in its baby powder for decades, report says  https://t.co/NtlADFnKHj @StinkMovie",2018-12-14T17:06:09.000Z,,NetReturn,"New York, NY",false,1,5,1,0,-5,0
NetReturn,How many times will we hit the snooze alarm on your wake up call? https://t.co/vEfJV4BYwc @StinkMovie @netflix #Documentary https://t.co/9mW176GJiM,2018-12-14T17:13:51.000Z,,NetReturn,"New York, NY",false,1,2,1,0,-2,0
shanvav,"Report from @Reuters - Johnson &amp; Johnson knew for decades about tainted baby powder
Full investigation from Reuters worth a read - https://t.co/oSfJ2DeLz3 https://t.co/HSnErR6Pcq",2018-12-14T17:14:35.000Z,https://t.co/c0qVCDjGDL,Shannon Vavra,"Washington, DC",true,1,2,1,0,-2,0
