user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
RubenSanchezTW,Johnson &amp; Johnson se hunde en Bolsa tras conocerse que la compañía sabía de la presencia de amianto en sus polvos de talco desde 1971. Miles de enfermas de cáncer han llevado a la empresa a los tribunales. Ojalá los responsables acaben en la cárcel. https://t.co/EtRKcrLznv,2018-12-14T22:51:17.000Z,https://t.co/Olv3NrTOK5,Rubén Sánchez,"Sevilla, Andalucía, España🔻",true,4833,4412,152,154,-4258,-4681
CNBCnow,"BREAKING: Johnson &amp; Johnson knew for decades about asbestos in baby powder talc supply, failed to tell the FDA - Reuters, citing documents https://t.co/scS9Xt6U0J",2018-12-14T14:30:41.000Z,https://t.co/xNSucapdhO,CNBC Now,NA,true,4610,3466,1692,350,-3116,-2918
ajplus,"Johnson &amp; Johnson reportedly knew its baby powder contained asbestos since 1971, according to an exclusive investigative report by Reuters.

The company is currently facing numerous lawsuits alleging its talcum powder products caused cancer. https://t.co/Gl9i5oFS5O",2018-12-15T00:11:21.000Z,https://t.co/dffekhz2Zn,AJ+,NA,true,4259,2612,801,112,-2500,-3458
Reuters,"A lab that plaintiffs hired in a lawsuit against Johnson &amp; Johnson found asbestos in Baby Powder from past decades – in bottles from plaintiffs’ cupboards and acquired from eBay, and even a 1978 bottle held in J&amp;J’s corporate museum. @Reuters investigates: https://t.co/AsT8BcwMzl https://t.co/QH7wDGasr3",2018-12-14T14:44:14.000Z,http://t.co/BmHxhkm3Mh,Reuters,Around the world,true,3762,3469,826,272,-3197,-2936
williamsmjw,Big scoop from @lisagirion: Johnson &amp; Johnson knew for decades that asbestos lurked in its Baby Powder https://t.co/D7WnyrBRUd via @SpecialReports,2018-12-14T14:22:31.000Z,http://t.co/l3toa32r2Z,Michael Williams,New York,true,3667,3313,824,349,-2964,-2843
cnnbrk,Johnson &amp; Johnson stock plunges after a report that says the company knew for decades that asbestos was in its baby powder https://t.co/ploJbw5r7r https://t.co/XjOTYHObXC,2018-12-14T18:13:35.000Z,https://t.co/ojQgQKzKzX,CNN Breaking News,Everywhere,true,3386,2828,1460,497,-2331,-1926
el_pais,"Un informe revela que el gigante Johnson &amp; Johnson sabía desde hace 40 años que que sus polvos de talco estaban contaminados por amianto, pero siguió vendiéndolos. La compañía afronta más de 10.000 demandas, en su mayoría por casos de cáncer de ovarios https://t.co/ThLOe9pYAQ",2018-12-15T07:34:02.000Z,https://t.co/6g5qG3Lgo3,EL PAÍS,Madrid,true,2976,1640,240,57,-1583,-2736
eugenegu,"Johnson &amp; Johnson knew for decades that its talcum baby powder contained asbestos. Rather than do anything about it, they silenced their critics and made millions upon millions in profits while babies’ lungs and genitourinary tracts got filled with cancer causing poison.",2018-12-14T17:08:43.000Z,,"Eugene Gu, MD","New York, USA",true,2885,5551,217,204,-5347,-2668
Kamada3,ダウは現在３８０ポイントの下げですが、下げの大きな原因となっているのはダウ銘柄ジョンソン・エンド・ジョンソンの１１％の大幅下落です。会社側は、ベビーパウダーに癌の原因となるアスベストが含まれていたことを隠していたことが報道されています。https://t.co/H9EtAltJod https://t.co/ZZbfQUl7U7,2018-12-14T16:34:15.000Z,https://t.co/IIv3JbraXR,T.Kamada,カリフォルニア州,false,2538,1107,160,29,-1078,-2378
thidakarn,"รอยเตอร์เผยบริษัท Johnson&amp;Johnson เคยทดสอบและพบว่าแป้งเด็กปนเปื้อนสารก่อมะเร็ง asbestos เมื่อหลายสิบปีก่อน แต่ปกปิดข้อมูล 
https://t.co/pTHaD02POY",2018-12-15T04:34:31.000Z,https://t.co/kCh1KWtmYL,Thidakarn,Bangkok,true,2356,451,14,12,-439,-2342
