user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
DukeMBB,UPDATE: Zion Williamson will not return. Knee.,2019-02-21T02:35:04.000Z,,Duke Men’s Basketball,Cameron Indoor,true,3351,9149,4231,896,-8253,880
SportsCenter,A lot could be on the line for Zion if he falls in the draft. https://t.co/dQZ2SsIwQw,2019-02-22T15:10:10.000Z,https://t.co/e5h1o4h2hJ,SportsCenter,NA,true,500,3669,662,411,-3258,162
darrenrovell,"It’s not a material loss to Nike’s business, but I wouldn’t be completely surprised if Nike’s stock, on no other news, didn’t do a little dip tomorrow morning from this prominent event.",2019-02-21T02:40:27.000Z,https://t.co/xdVJWesmdv,Darren Rovell,"New Jersey, “Vegas East”",true,168,1191,320,380,-811,152
NBCSports,Nike ‘working to identify issue’ that caused Zion Williamson’s shoe to blow out https://t.co/6LTBnm3qQ6 https://t.co/zMawSZttc9,2019-02-21T19:00:14.000Z,https://t.co/AdLpZD8nGi,NBC Sports,NA,true,22,112,167,27,-85,145
espn,Zion is expected to be the No. 1 pick 🤔 https://t.co/SUUJD9W7Nz,2019-02-21T13:59:03.000Z,https://t.co/MJhKyVN8QD,ESPN,NA,true,337,3970,466,737,-3233,129
DevInTheLab,"If you were Zion, would you play another college game?",2019-02-22T19:30:25.000Z,https://t.co/LhSadzADo6,IN THE LAB,United States,false,3,223,88,93,-130,85
GaryParrishCBS,"If Trae Young thinks Zion Williamson should shut it down, I wonder why Trae Young didn’t also think Trae Young should shut it down when he, like Zion, got off to a great start, established himself as the Player of the Year favorite and solidified his status as a top-five pick?",2019-02-21T19:07:09.000Z,https://t.co/WDRf73Nq0z,Gary Parrish,Memphis,true,99,1240,168,243,-997,69
KeyJayandMax,"Zion left in the first 36 seconds of last nights game. 

What is the most you could accomplish in 36 seconds? https://t.co/dM7zaMZ9bJ",2019-02-21T11:36:21.000Z,https://t.co/z0BBG2DmW4,"Keyshawn, JWill & Max","New York, NY",true,15,212,56,306,94,41
Deadspin,Zion Williamson wrecked his shoe and also maybe his leg: https://t.co/2AZSAtIE0i https://t.co/sMYJ9POcaf,2019-02-21T02:26:54.000Z,http://t.co/mhAF2P6Jmb,Deadspin,NA,true,108,307,147,60,-247,39
JeffEisenband,What is the argument for Zion Williamson playing another college basketball game?,2019-02-21T02:47:47.000Z,https://t.co/LeJNO49f9c,Jeff Eisenband,"New York, NY",true,136,735,175,249,-486,39
Mike_Schmitz,Slow-motion look at Zion Williamson’s shooting mechanics from NBA 3. https://t.co/yraG7jtsJU,2019-02-21T01:48:00.000Z,https://t.co/XK1cVffr01,Mike Schmitz,"Los Angeles, CA",true,135,1233,156,87,-1146,21
DavidChasanov,"IMAGINE THIS: The #Bulls get the No. 1 pick in the 2019 NBA Draft, and they don’t select Zion Williamson. 

How would you react?",2019-02-13T04:27:01.000Z,https://t.co/PSugTuFZRE,David Chasanov,"Springfield, MO",true,3,87,20,24,-63,17
darrenrovell,"POLL: If you are Zion Williamson or his parents, do you now advise him to sit out the rest of the season to avoid injury and get ready for the NBA Draft?",2019-02-21T11:57:23.000Z,https://t.co/xdVJWesmdv,Darren Rovell,"New Jersey, “Vegas East”",true,9,19,22,77,58,13
BIGPLAYReflog,"“Would you rather land Zion Williamson in the draft, or lock up Francisco Lindor to a 10 year deal?” 🤔

https://t.co/BFDQ7Ubr2f",2019-02-13T14:00:00.000Z,https://t.co/KfDmyG4DMm,BIGPLAY REFLOG SHOW,"Cleveland, OH",false,18,158,30,101,-57,12
365Knicks,"What if the New York Knicks slide to No. 4 in the 2019 NBA Draft and Zion Williamson, Ja Morant, and R.J. Barrett are all off the board?

Who are some of the players you'd like to see the Knicks consider?",2019-02-13T00:10:41.000Z,https://t.co/0lgAX8MhrD,365 Knicks,New York,false,5,27,16,42,15,11
MedcalfByESPN,"That's a dominant victory for North Carolina, which probably wins this game even if Zion is available. They were the better team.",2019-02-21T04:10:22.000Z,,Myron Medcalf,"Minnesota, USA",true,24,158,35,48,-110,11
ESPNCleveland,"If you had a choice between getting Zion Williamson number one in the draft or LeBron James back in Cleveland for the rest of his career, what would you take?",2019-02-13T14:14:11.000Z,https://t.co/wUQ64rxcnL,ESPN Cleveland,"Cleveland, Ohio",false,10,31,20,52,21,10
UPROXXSports,Nike is trying to 'identify the issue' that caused Zion Williamson's shoe to explode https://t.co/AF7oXo7Cip https://t.co/5Zk7BF9GBN,2019-02-21T17:23:02.000Z,https://t.co/22dzT0avcx,UPROXX Sports,NA,true,2,3,12,4,1,10
gamaka,Jordan Nwora battles Zion Williamson for the ball. @howielindsey @gamaka @UofLWBB @GoCards #L1C4 #gocards https://t.co/pSegrRCYFs,2019-02-13T03:05:17.000Z,,Gail Kamenish,"Louisville, Ky.",false,28,153,37,16,-137,9
dukebasketball,"UPDATE: Zion Williamson will not return to the game. 
https://t.co/Kdb8yPBOot",2019-02-21T02:42:07.000Z,https://t.co/SoKM5RL1dB,Duke Basketball,"Durham, NC",true,22,65,31,7,-58,9
livebsktbr,"Lesão no joelho do Zion Williamson!

Não retorna!",2019-02-21T02:36:05.000Z,https://t.co/xTzcOJUJt4,Live Basketball BR 🏀🇧🇷,Brasil,false,4,71,12,9,-62,8
JMacSC,"I'd really like the media who are telling Zion Williamson to stop playing for free to go around campuses and tell all literature majors to stop writing for free. You aren't getting paid to do what you're doing. Leave school, get a publisher. You're wasting your good stuff.",2019-02-21T21:27:58.000Z,,Jason McCallum,"Bristol, CT",false,1,3,9,4,1,8
BSO,Zion Williamson’s Sneaker Explodes 2 Minutes Into The Game; Heads to Locker With With Injury; Twitter Reacts (Video-Tweets) https://t.co/SlGlDK5lyk https://t.co/4ihfXLqfQk,2019-02-21T02:14:09.000Z,https://t.co/uXw1l3zIeZ,Robert Littal BSO,"Los Angeles, CA",true,10,13,17,11,-2,7
big_business_,Zion gonna come back and play or nah ???,2019-02-21T02:29:17.000Z,,Ahmed🇸🇴/Former CNN+ Employee,Im here ,false,3,25,10,12,-13,7
jhardy575,Watch Drake show up at Duke next Wednesday for the Carolina/Duke game in a Zion jersey.,2019-02-13T21:07:00.000Z,,Jarrod,"North Carolina, USA",false,2,18,8,6,-12,6
goodmiad,I just got to the crib. Zion hurt ???,2019-02-21T02:49:38.000Z,,.,NA,false,1,13,7,7,-6,6
geglobo,"Tênis rasga, e fenômeno Zion Williamson se lesiona no primeiro minuto de clássico da NCAA https://t.co/d4L9OY1q8p https://t.co/qRkSzy5yJB",2019-02-21T02:59:15.000Z,https://t.co/PPk2aPfLge,ge,Brasil,true,5,81,11,7,-74,6
FTFonFS1,"Duke has absolutely no shot at a National Championship without Zion.

via @GottliebShow https://t.co/R7XShf51lu",2019-02-21T19:16:00.000Z,https://t.co/XXwfUhrZiQ,First Things First,"New York, NY",true,4,23,10,2,-21,6
forumbluegold,is zion's floor....peak hawks josh smith?,2019-02-21T19:55:40.000Z,https://t.co/aC2VZTAXMf,Darius Soriano,"Oakland, Ca",false,6,106,12,25,-81,6
CollegeGameDay,"Duke in trouble?

Zion has 13 at the half but Louisville is up by 9. https://t.co/3GGmhCtwro",2019-02-13T03:05:33.000Z,https://t.co/qR3QqJ0Ow5,College GameDay,NA,true,10,318,15,29,-289,5
sneakersteal,Login to your Nike+ Account and check for EARLY ACCESS for the Air Jordan 1 Retro High ‘Turbo Green’ https://t.co/xyNEkks0Db https://t.co/kAOXSRpkzb,2019-02-13T15:24:12.000Z,https://t.co/GRsILvqLJQ,Sneaker Steal,"SF | Bay Area, CA",true,4,32,9,4,-28,5
JeffEisenband,Zion's foot went through his whole shoe. #UNCvsDuke https://t.co/qcZg52vjji,2019-02-21T02:13:22.000Z,https://t.co/LeJNO49f9c,Jeff Eisenband,"New York, NY",true,3,8,8,5,-3,5
ESPNBrasil,Zion se lesiona na primeira posse de Duke x North Carolina e até o tênis rasga https://t.co/djmyi6mkLS https://t.co/f9PVe8MuV5,2019-02-21T02:32:59.000Z,https://t.co/5lrIHnaHIy,ESPN Brasil,Brasil,true,5,37,10,7,-30,5
TerrellChuggs,Zion should forgo his college career TONIGHT,2019-02-21T02:38:54.000Z,,Box Fan On High All Year Round,The Seaboard. ,false,5,2,10,0,-2,5
YellowRell,"Nigas gotta replace Zion wit a niga named O’Connell, and y’all nigas talmbout that ain’t no excuse",2019-02-21T04:02:18.000Z,,Yellow,Durham,false,1,2,6,1,-1,5
kevingleonn,Con Zion y Lennox yendo a Crucita creo que el carnaval en Manta es la mejor opción 🤔,2019-02-21T14:12:27.000Z,,Patacón,Manta/Quevedo,false,2,12,7,2,-10,5
RealSkipBayless,Should Zion shut it down for the rest of the year? We debate. Now on @undisputed. 9:30 AM ET. FS1,2019-02-21T14:19:31.000Z,,Skip Bayless,Los Angeles,true,13,214,18,73,-141,5
tsnmike,"His time at Duke has made #Zion Williamson more famous, more accomplished and more proven as a player. All of this will pay off HUGE for him. Soon.  https://t.co/iku7t8P9lu",2019-02-21T18:45:23.000Z,https://t.co/erbqrq1X34,Michael DeCourcy,NA,true,19,70,24,37,-33,5
tankathon,Single Zion sim of the day https://t.co/G3Ahq5Y5NK,2019-02-13T15:43:12.000Z,https://t.co/apCA6psaE5,Tankathon.com,Chicago,false,30,268,34,41,-227,4
DavidBaumannORL,OMG 👟 💥 #Zion https://t.co/slSSQsFcsH,2019-02-21T02:08:36.000Z,,David Baumann,"Orlando, FL",false,3,7,7,4,-3,4
AdamRoweTDD,Zion Williamson limping back to the locker room.,2019-02-21T02:08:51.000Z,https://t.co/v95zMHPnpg,Adam Rowe,"Durham, NC",false,1,16,5,3,-13,4
SportsChannel8,Zion just ripped his entire foot through a Nike basketball shoe. #Hulk https://t.co/rT54MDN24t,2019-02-21T02:10:53.000Z,https://t.co/SSPIb90BEJ,y - SportsChannel8,North Carolina,false,71,149,75,21,-128,4
nba2pontos,"Momento pânico. 😬

No primeiro minuto do sempre incrível Duke x North Carolina, Zion Williamson se machucou, estourou o próprio tênis (nunca tinha visto isso) e saiu pro vestiário mancando.

Que não tenha sido nada grave. 🙏

https://t.co/uCxfxxwtmQ",2019-02-21T02:17:50.000Z,https://t.co/OAYX1MgdRo,2 Pontos NBA,"Rio de Janeiro, Brazil",false,15,148,19,15,-133,4
ProsAndJoesPod,This Zion Williamson highlight is INSANE https://t.co/MxnCBkLbGh,2019-02-21T02:40:49.000Z,https://t.co/RLmuqUc582,Pros and Joes,United States,false,3,26,7,1,-25,4
CoachCallsTime,"Any chance Duke comes out in Addidas for the second half after Zion Williamson blew out of his shoe early?
#MaybeEvenPuma #NotAGoodNightForNike #UNCvsDuke https://t.co/GVyXUwCfow",2019-02-21T02:59:50.000Z,https://t.co/LJes360dsa,Dan @ Coach Calls Timeout,NA,false,1,7,5,2,-5,4
CBSNews,Zion Williamson out of Duke-UNC game for knee injury after blowing out his shoe https://t.co/RO28dzG3q3 https://t.co/B3DM5hLQwW,2019-02-21T03:40:00.000Z,https://t.co/WWGo4zp06H,CBS News,"New York, NY",true,11,34,15,17,-17,4
smitty1709,My question is will Zion still get paid by Duke since he got injured??? #TarHeelNation #DUCKFUKE https://t.co/pDwAeke6Yn,2019-02-21T03:53:33.000Z,,Eric Smith,"Asheboro, NC",false,1,14,5,18,4,4
MarcRyanOnAir,"To the “Zion’s played his last minute at Duke” crowd:

When you make a commitment to someone or something (Duke Basketball), is it important to you to see that through? In your life, do you finish what you start?

The NBA will always be there+there’s so much more to life than 💵.",2019-02-21T15:19:03.000Z,https://t.co/zOXDNgiIo5,Marc Ryan,The Carolinas,true,2,18,6,17,-1,4
SoleCollector,Why it's unlikely that @ZionW32's blown-out sneaker will have a longterm impact on Nike's stock: https://t.co/q7EMGMgGBs https://t.co/zYg86pCMfp,2019-02-21T17:13:52.000Z,https://t.co/T8nQ74OsTF,SoleCollector.com,NA,true,8,57,12,6,-51,4
DimeUPROXX,Nike is trying to 'identify the issue' that caused Zion Williamson's shoe to explode https://t.co/0lXzsUTLl5 https://t.co/AfILOBQBgQ,2019-02-21T17:20:02.000Z,https://t.co/WOtnmZA44R,Dime,Basketball,true,5,20,9,8,-12,4
