user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
ClayTravis,If you were Zion Williamson’s parents would you advise him to sit out the rest of the college basketball season after his knee injury last night?,2019-02-21T13:29:46.000Z,https://t.co/5cIt9LNswn,Clay Travis,Nashville,true,15,32,13,135,103,-2
KeyJayandMax,"Zion left in the first 36 seconds of last nights game. 

What is the most you could accomplish in 36 seconds? https://t.co/dM7zaMZ9bJ",2019-02-21T11:36:21.000Z,https://t.co/z0BBG2DmW4,"Keyshawn, JWill & Max","New York, NY",true,15,212,56,306,94,41
sidrosenberg,Some of you won’t like this question but if a white player went down with an injury at the UNC/Duke game yesterday would President Obama tweet a “speedy recovery” like he did for Zion last night?,2019-02-21T20:51:26.000Z,,Sid Rosenberg,"New York, NY",false,6,25,9,95,70,3
darrenrovell,"POLL: If you are Zion Williamson or his parents, do you now advise him to sit out the rest of the season to avoid injury and get ready for the NBA Draft?",2019-02-21T11:57:23.000Z,https://t.co/xdVJWesmdv,Darren Rovell,"New Jersey, “Vegas East”",true,9,19,22,77,58,13
ScottKaplan,".@sidrosenberg asks @SidedDebates 

If a white player went down with an injury at the UNC/Duke game yesterday would President Obama tweet a “speedy recovery” like he did for Zion last night? 

https://t.co/E4k24XZ0vL

Sid will be @ScottandBR @Mighty1090 5pm",2019-02-22T00:49:08.000Z,https://t.co/ZMBCodpPyp,Scott Kaplan,Southern California ,true,2,10,0,50,40,-2
ESPNCleveland,"Survey Wednesday: Who will win the AFC North in 2019? On a scale of 1-10, rank your interest in the Ohio State basketball team? LeBron for the rest of his career or Zion in the draft? Predict the next BIG piece of Cleveland sports news?",2019-02-13T15:46:48.000Z,https://t.co/wUQ64rxcnL,ESPN Cleveland,"Cleveland, Ohio",false,2,21,4,57,36,2
WaddleandSilvy,Would you think less of Zion Williamson if he chose to sit the rest of the college basketball season but was healthy enough to play?,2019-02-21T20:47:55.000Z,https://t.co/iP6oBLjjkp,Silvy,"Chicago, IL",true,2,6,4,30,24,2
ESPNCleveland,"If you had a choice between getting Zion Williamson number one in the draft or LeBron James back in Cleveland for the rest of his career, what would you take?",2019-02-13T14:14:11.000Z,https://t.co/wUQ64rxcnL,ESPN Cleveland,"Cleveland, Ohio",false,10,31,20,52,21,10
975TheFanatic,"The Zion Williamson situation last night was an interesting one? If you were Zion, would you come back &amp; play again this season? @975Mornings is discussing it now! https://t.co/ZigiN9H1jK",2019-02-21T12:04:05.000Z,https://t.co/GgCVtWlMQI,975TheFanatic,United States,true,3,11,1,32,21,-2
dandakich,"The @HowaldHVAC Twitter Poll..
If you were Zion Williamson would you play again this season for Duke?",2019-02-21T14:28:38.000Z,https://t.co/60rZ27MNdI,Dan Dakich,"Indianapolis, IN",true,3,8,1,29,21,-2
wingoz,Should Zion play again this year?,2019-02-21T11:00:28.000Z,https://t.co/Xy7GXmXMB6,trey wingo,"Connecticut, USA",true,12,8,4,28,20,-8
MaggieandPerl,Should Zion Williamson ever play another game at Duke?,2019-02-21T18:10:48.000Z,,Maggie and Perloff,New York City,true,5,7,0,27,20,-5
BeatinTheBookie,"If Zion Williamson is out for Duke for the remainder of the year, who is your National Champion favorite (outside of Duke)?",2019-02-21T05:42:59.000Z,https://t.co/sgHhE4VcrO,BeatinTheBookie.com™️,The Sportsbook ,false,3,7,3,26,19,0
WilGunter,Question of the day in honor of Zion blowing out his Nike shoe last night.  What was the best sports item you had growing up? Ball glove? Bat? Jersey? Starter Jacket? Cleats? Basketball Shoes? What you got?,2019-02-21T21:14:48.000Z,https://t.co/z1a48NTRXR,William Gunter,"Lexington, SC",false,1,4,3,21,17,2
