user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
BarackObama,Zion Williamson seems like an outstanding young man as well as an outstanding basketball player. Wishing him a speedy recovery.,2019-02-21T04:41:44.000Z,https://t.co/kHvnxozw8x,Barack Obama,"Washington, DC",true,28172,282699,1914,3506,-279193,-26258
spidadmitchell,Again let’s remember all the money that went into this game.... and these players get none of it.... and now Zion gets hurt... something has to change @NCAA,2019-02-21T02:41:23.000Z,https://t.co/zj2D0eSfxR,Donovan Mitchell,NA,true,16396,78157,1373,1882,-76275,-15023
SportsCenter,Zion's shoe: destroyed 😳 https://t.co/LqQ2te0Jay,2019-02-21T02:09:41.000Z,https://t.co/e5h1o4h2hJ,SportsCenter,NA,true,9041,37422,3897,1767,-35655,-5144
alfranken,Trump’s latest tweet: I blame Kaepernick for Zion’s knee injury. Money Nike paid him came out of quality control. SAD!,2019-02-22T00:02:59.000Z,https://t.co/ZEEK59Ml9O,Al Franken,Minnesota,true,2056,13468,261,1627,-11841,-1795
DukeMBB,UPDATE: Zion Williamson will not return. Knee.,2019-02-21T02:35:04.000Z,,Duke Men’s Basketball,Cameron Indoor,true,3351,9149,4231,896,-8253,880
NBAonTNT,"“That’s what we do, we play basketball.”

Charles Barkley weighs in on Zion Williamson's situation at Duke. https://t.co/7foEecc6la",2019-02-22T06:33:41.000Z,,NBA on TNT,"Atlanta, GA",true,9493,30831,2668,800,-30031,-6825
ColinCowherd,"Best day for @nyknicks in over a decade and the fan base is complaining.  Huh?  You now have a future star (Knox), room for two FA stars, and a shot at potential mega star (Zion).  And you’re unhappy?  Did you really want to sign the brittle Porzingis to a max deal?  Pass.",2019-01-31T21:20:41.000Z,https://t.co/37v7MqjLEu,Colin Cowherd,NA,true,1666,7478,762,789,-6689,-904
parscale,Maybe it is time for @Nike to bring factories back to the US where quality manufacturing will protect our athletes. @realDonaldTrump https://t.co/wlqjzI6Cf2,2019-02-21T22:13:16.000Z,https://t.co/Kv9kj3z2NX,Brad Parscale,"Ohio, USA",true,2511,8853,304,780,-8073,-2207
marcorubio,"For Zion’s sake I will not be silent, for Jerusalem’s sake I will not keep still,Until her vindication shines forth like the dawn &amp; her salvation like a burning torch. Nations shall behold your vindication,
&amp; all kings your glory;

Isaiah 62:1-2",2019-01-20T14:42:25.000Z,https://t.co/H66LJYLxrw,Marco Rubio,United States,true,464,2744,82,754,-1990,-382
espn,Zion is expected to be the No. 1 pick 🤔 https://t.co/SUUJD9W7Nz,2019-02-21T13:59:03.000Z,https://t.co/MJhKyVN8QD,ESPN,NA,true,337,3970,466,737,-3233,129
RealJayWilliams,This Zion Williamson injury is exactly why players should be able to go directly to the @nba from high school. The league needs to change this rule. PERIOD @GetUpESPN @espn,2019-02-21T03:21:28.000Z,https://t.co/wHVQQ8wFd2,JayWilliams.ETH,Everywhere,true,2299,10712,311,631,-10081,-1988
KySportsRadio,This block by Zion is one of the most athletic plays I have ever seen https://t.co/SEWQo61g4E,2019-02-10T02:30:18.000Z,https://t.co/Plm8dmlJzJ,Matt Jones,"Lexington, Kentucky",true,7856,28753,1949,609,-28144,-5907
AdamSchefter,Here’s the knee injury that ended Zion Williamson’s night.... https://t.co/2gkKTq7gTl,2019-02-21T02:51:50.000Z,https://t.co/OUz4GsIjV2,Adam Schefter,New York,true,1137,4240,650,571,-3669,-487
stephenasmith,"HELL NO, ZION SHOULDN'T SIT OUT THE REST OF THE SEASON! https://t.co/Dar0a7DFJb",2019-02-21T18:26:16.000Z,https://t.co/5kjP7He2ds,Stephen A Smith,NA,true,1917,9575,453,538,-9037,-1464
SportsCenter,Breaking: Zion Williamson will not return to the UNC-Duke game after leaving with a knee injury. https://t.co/JDMYKF7qIO,2019-02-21T02:37:47.000Z,https://t.co/e5h1o4h2hJ,SportsCenter,NA,true,2280,8492,1354,522,-7970,-926
Kaepernick7,"The Nike Kaepernick Icon Jersey is out of stock! Thank you to everyone that took the time out of their day to pick one up. I am humbled and appreciate all your continued support. Check the link in the bio to be notified for the next drop! #TrueTo7 
📸: @DjToneDef https://t.co/1LYsweAE4u",2019-02-21T05:19:53.000Z,https://t.co/xiYMMdUgjF,Colin Kaepernick,NA,true,1500,12514,162,474,-12040,-1338
BleacherReport,"Zion went down with an injury, his foot blew through his sneaker 😳 https://t.co/JMyNsDbZFX",2019-02-21T02:09:03.000Z,https://t.co/8frgVyfSLy,Bleacher Report,NA,true,2146,10460,1430,446,-10014,-716
darrenrovell,That the shoe blew out on National TV. That the shoe blew out for Duke-UNC. That the shoe blew out on Zion Williamson. Awful look for Nike.,2019-02-21T02:09:43.000Z,https://t.co/xdVJWesmdv,Darren Rovell,"New Jersey, “Vegas East”",true,1532,7760,381,437,-7323,-1151
darrenrovell,Zion’s Nike shoe rip in slo-mo https://t.co/UYQuoDMxq5,2019-02-21T02:14:13.000Z,https://t.co/xdVJWesmdv,Darren Rovell,"New Jersey, “Vegas East”",true,1217,3107,838,423,-2684,-379
SportsCenter,A lot could be on the line for Zion if he falls in the draft. https://t.co/dQZ2SsIwQw,2019-02-22T15:10:10.000Z,https://t.co/e5h1o4h2hJ,SportsCenter,NA,true,500,3669,662,411,-3258,162
BarstoolBigCat,"I don’t think we should be asking if Zion should sit out (he obviously should). The more important question is should RJ Barrett, Tre Jones and Cam Reddish also sit out once Zion sits out? I say yes. 

Thoughts?",2019-02-21T15:02:14.000Z,https://t.co/gF1epXRM3W,Big Cat,NA,true,377,10391,128,395,-9996,-249
darrenrovell,"It’s not a material loss to Nike’s business, but I wouldn’t be completely surprised if Nike’s stock, on no other news, didn’t do a little dip tomorrow morning from this prominent event.",2019-02-21T02:40:27.000Z,https://t.co/xdVJWesmdv,Darren Rovell,"New Jersey, “Vegas East”",true,168,1191,320,380,-811,152
RealSkipBayless,WHAT??? ZION'S SHOE BLOWS APART ON DUKE'S OPENING POSSESSION AND HE HURTS HIMSELF AS HE FALLS??? HAMSTRING OR BACK OF KNEE??? LIMPS TO LOCKER ROOM WITH OBAMA IN THE FRONT ROW? NEVER SEEN ANYTHING QUITE LIKE THIS.,2019-02-21T02:10:04.000Z,,Skip Bayless,Los Angeles,true,1440,9952,331,365,-9587,-1109
BleacherReport,"Zion just destroyed all of Virginia in one sequence 🤯

(via @CBSSports)
https://t.co/bk9KTZ4LpI",2019-01-19T23:33:37.000Z,https://t.co/8frgVyfSLy,Bleacher Report,NA,true,10821,39893,2211,361,-39532,-8610
SportsCenter,The aftermath of Zion's shoe 👀 https://t.co/YYnMyrlChT,2019-02-21T15:27:04.000Z,https://t.co/e5h1o4h2hJ,SportsCenter,NA,true,1219,8794,595,361,-8433,-624
espn,Zion broke out of his SHOE 😨 https://t.co/FnVkbZ5MOT,2019-02-21T02:12:26.000Z,https://t.co/MJhKyVN8QD,ESPN,NA,true,869,4841,458,350,-4491,-411
GoodmanHoops,"North Carolina went 2-for-20 from 3, Coby White played terrible, Nassir Little scored two points and the Tar Heels beat Duke by 16 in Cameron. 

Give UNC credit, but let’s face it: There’s an asterisk next to this one without Zion.",2019-02-21T04:18:00.000Z,,Jeff Goodman,"ÜT: 41.51667,-70.661023",true,237,1514,220,350,-1164,-17
DukeMBB,"NEWS: Zion Williamson was diagnosed with a Grade 1 right knee sprain. He is progressing as expected, and his status is day-to-day. https://t.co/H8YUZGnOyc",2019-02-21T22:58:41.000Z,,Duke Men’s Basketball,Cameron Indoor,true,2264,9307,750,343,-8964,-1514
anthonyVslater,"DeMarcus Cousins: “Knowing what I know now, college basketball is bullshit.” Advises Zion Williamson to get ready for the NBA. https://t.co/k3B1JA0E42",2019-02-21T19:17:39.000Z,https://t.co/2TubOvxS97,Anthony Slater,NorCal - OKC - NorCal,true,3465,10422,733,337,-10085,-2732
TheOnion,Nike Fires 8-Year-Old Shoemaker Responsible For Zion Williamson Injury https://t.co/aPLeHP7A6w https://t.co/yj3sVApz7E,2019-02-21T23:17:06.000Z,https://t.co/McSMshhidB,The Onion,NA,true,12787,43035,1159,324,-42711,-11628
Jeremyval_,"Sacrifice for Zion, the Knicks WILL rebuild. #Knicks #Porzingis https://t.co/kebSBohZsi",2019-01-31T21:12:36.000Z,,Jeremy,"New York, NY",false,970,2801,858,322,-2479,-112
DimeUPROXX,"My goodness, Zion. https://t.co/vtM63TCCFG",2019-02-10T00:47:04.000Z,https://t.co/WOtnmZA44R,Dime,Basketball,true,4746,14278,1652,306,-13972,-3094
KeyJayandMax,"Zion left in the first 36 seconds of last nights game. 

What is the most you could accomplish in 36 seconds? https://t.co/dM7zaMZ9bJ",2019-02-21T11:36:21.000Z,https://t.co/z0BBG2DmW4,"Keyshawn, JWill & Max","New York, NY",true,15,212,56,306,94,41
isaiahthomas,"Let these kids go straight out of HS!!! Too much on the line to be messing with college if you got a legit chance to turn pro. One injury can change somebody career,  Zion sit yo ass down lol and we will be ready for you in the big boy league #LookingOutForThePlayers",2019-02-21T03:28:03.000Z,https://t.co/87yPHVjv6B,Isaiah Thomas,"Tacoma, WA",true,5002,29709,300,285,-29424,-4702
ESPNNBA,.@ScottiePippen tells @Rachel__Nichols that Zion is an even better prospect than LeBron was. https://t.co/3ahcwKyIzb,2019-02-02T01:21:18.000Z,https://t.co/4FNCeu2Z1a,NBA on ESPN,ESPN,true,379,1762,566,277,-1485,187
RealSkipBayless,"Right now I'm a little more sold on 5-9 Kyler becoming a star NFL QB than I am on 6-6 Zion dominating the NBA. Both are uniquely gifted athletes. I just need to see more of Zion, at Carolina then in the NCAA's, especially the Final Four. I've seen enough of Kyler to know.",2019-02-20T04:12:55.000Z,,Skip Bayless,Los Angeles,true,136,1747,179,276,-1471,43
MarchMadnessMBB,"Who would you take in a dunk contest?

-Zion Williamson
-Ja Morant
-Mac McClung
-Someone else

Let us know! 💪",2019-02-17T01:54:13.000Z,https://t.co/dIVGa1NXAX,NCAA March Madness,NA,true,211,727,103,274,-453,-108
Bballforeverfb,GOOD GOD Zion Williamson! 😱 https://t.co/e13rP7McYD,2019-02-10T01:02:06.000Z,https://t.co/dBl1XlF82J,Basketball Forever,NA,false,5414,20020,1488,259,-19761,-3926
stephenasmith,"Should Zion Williamson stay at Duke or walk out on his team?

After Dark podcast: https://t.co/RvMuS7f8kL https://t.co/vetzw9Xkk8",2019-02-22T07:02:00.000Z,https://t.co/5kjP7He2ds,Stephen A Smith,NA,true,49,384,40,250,-134,-9
JeffEisenband,What is the argument for Zion Williamson playing another college basketball game?,2019-02-21T02:47:47.000Z,https://t.co/LeJNO49f9c,Jeff Eisenband,"New York, NY",true,136,735,175,249,-486,39
GaryParrishCBS,"If Trae Young thinks Zion Williamson should shut it down, I wonder why Trae Young didn’t also think Trae Young should shut it down when he, like Zion, got off to a great start, established himself as the Player of the Year favorite and solidified his status as a top-five pick?",2019-02-21T19:07:09.000Z,https://t.co/WDRf73Nq0z,Gary Parrish,Memphis,true,99,1240,168,243,-997,69
darrenrovell,"Nike has had the worst luck with malfunctions and the people associated with them.

LeBron's Nike jersey ripped in the 2017-18 season opener. 

Out of all the Nike shoes to blow out, it's Zion Williamson in the most prominent college basketball game to date.",2019-02-21T18:48:27.000Z,https://t.co/xdVJWesmdv,Darren Rovell,"New Jersey, “Vegas East”",true,178,1688,71,239,-1449,-107
espn,"DOWN GO THE BLUE DEVILS!

No. 8 UNC hands No. 1 Duke a big loss at home in a game that Zion left with a knee injury. https://t.co/0fgx6iA1pY",2019-02-21T04:10:19.000Z,https://t.co/MJhKyVN8QD,ESPN,NA,true,2168,7400,408,237,-7163,-1760
MikeFrancesa,Can't stand all these people who have advice for Zion. Shut up and let the kid live his own life and make his own decisions.,2019-02-22T13:48:12.000Z,,Mike Francesa,"New York, NY",true,121,1318,55,236,-1082,-66
darrenrovell,Nike stock back up to its previous levels from Friday.,2019-02-22T17:49:48.000Z,https://t.co/xdVJWesmdv,Darren Rovell,"New Jersey, “Vegas East”",true,119,806,88,236,-570,-31
ShamsCharania,Duke star Zion Williamson has a Grade 1 right knee sprain and will be day-to-day. Sigh of relief for the possible No. 1 overall pick.,2019-02-21T22:59:19.000Z,https://t.co/7qTdIALhcb,Shams Charania,"Chicago, IL",true,1881,9026,414,221,-8805,-1467
DezBryant,Mild knee sprain??? If that’s the case.. next time you see Zion with a basketball it will be in a Knicks Jersey,2019-02-21T04:32:10.000Z,https://t.co/q3pmeXDLCu,Dez Bryant,"Dallas, TX",true,1193,8353,199,219,-8134,-994
BleacherReport,"“Clowns on television are saying ‘Don’t play.’ That’s what we do. We play basketball”

Chuck didn’t hold back on the Zion debate 

(via @NBAonTNT)

https://t.co/Fo50JpiYE1",2019-02-22T22:04:33.000Z,https://t.co/8frgVyfSLy,Bleacher Report,NA,true,3577,13977,647,216,-13761,-2930
espn,"""He said he don't coach losers, only coach winners.""

Zion shared how Coach K got his team to rally back from a 23-point deficit. https://t.co/EtCtEzJTET",2019-02-13T04:46:14.000Z,https://t.co/MJhKyVN8QD,ESPN,NA,true,5300,32887,507,212,-32675,-4793
espn,Zion put on 100 pounds in TWO years 💪 https://t.co/O4eZ3RNmkg,2019-02-20T18:30:12.000Z,https://t.co/MJhKyVN8QD,ESPN,NA,true,756,7565,597,209,-7356,-159
