user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
MariaJamardoC,"Tras el repugnante escándalo sexual que Oxfam silenció en Haití, nos enteramos que ocultó también otro idéntico en Chad. Si hubiese sido una ONG católica la jauría progre la habría lapidado. Como no lo es, silencio. Cuánta hipocresía...",2018-02-11T19:46:35.000Z,,María Jamardo,"Madrid, Comunidad de Madrid",false,2597,3340,48,102,-3238,-2549
JohnSimpsonNews,Haiti was disgusting. But @Oxfam has done superb work for 70+ years &amp; I for one am not abandoning it now.,2018-02-20T15:57:48.000Z,,John Simpson,"Live in UK, travel anywhere",true,1394,5336,149,261,-5075,-1245
EmmaManzini,"Remember, just £30 a month will provide clean prostitutes for up to six aid workers. Even a fiver could help pay for a blow job. So please give what you can, very good, very long time. #Oxfam",2018-02-12T09:17:55.000Z,,Emma Manzini,NA,false,1381,2828,79,135,-2693,-1302
thetimes,Oxfam covered up the use of prostitutes by senior aid workers in earthquake-hit Haiti https://t.co/cLITJcP8mo,2018-02-09T07:34:00.000Z,https://t.co/aWO6ICt2VS,The Times,London,true,873,623,158,117,-506,-715
GeorgeMonbiot,"Yes, the #oxfamscandal is terrible. But please don't let it be used to shut down the invaluable work that #Oxfam does around the world. Millions of people in desperate need would suffer as a result.",2018-02-12T07:23:02.000Z,http://t.co/DWv0C2B9q5,George Monbiot,NA,true,866,2050,58,123,-1927,-808
DPJHodges,So Labour finally issue a statement on Oxfam. They attack the Charity Commission and the Government. But not the organisation that was actually responsible for the abuse and cover-up.,2018-02-13T13:32:06.000Z,,(((Dan Hodges))),NA,true,854,1426,73,142,-1284,-781
itvnews,"As Oxfam ambassadors Minnie Driver and Desmond Tutu quit their roles amid the Haiti sex scandal, @simonpegg explains why he is sticking by the charity https://t.co/gyDSel88DE https://t.co/6sqOgMtucQ",2018-02-15T21:24:30.000Z,https://t.co/a6E93qvfJx,ITV News,United Kingdom,true,814,2388,174,128,-2260,-640
SamWhyte,You asked some baffled granny behind the counter in an Oxfam shop what they reckon about sex work in Haiti? https://t.co/3dH5Vve2jy,2018-02-13T14:38:28.000Z,https://t.co/UYZ7Gl3SnB,Sam Whyte,NA,false,803,2591,79,64,-2527,-724
damocrat,".@mrjamesob I’m tempted to up my Oxfam contribution, not because I don’t find this situation disgusting, but because there are thousands of decent workers doing a bloody great job to help people who are desperate, and this story will, no doubt, result in people giving less.",2018-02-12T10:25:38.000Z,https://t.co/9Xfuu08hDM,Damon,London,false,740,2562,46,100,-2462,-694
buddy_hell,"While your eyes are being diverted by the Barry Bennell and Oxfam stories, the Tories are hoping that you'll forget how May ""lost"" files pertaining to historic child sex abuse and how 36 of their own MPs were outed as sex pests/rapists.",2018-02-14T10:31:38.000Z,https://t.co/bGSod6btBA,Buddy Hell 🥤,London,false,733,725,22,32,-693,-711
iescolar,Altos cargos de la ONG Oxfam pagaron por sexo a supervivientes del terremoto de Haití durante una misión humanitaria https://t.co/CT8drwrreJ,2018-02-09T12:20:29.000Z,https://t.co/9SEeSy3I9F,Ignacio Escolar,Madrid // España,true,694,219,65,95,-124,-629
eltivipata,Ojalá la orgía con menores de Oxfam en Haití y el otro asunto turbio en el Chad lo hubiese hecho una ONG católica en lugar de una anticapitalista. Lo digo porque así vería a los tuistar de izquierdas denunciándolo en lugar de mirar a otro lado...,2018-02-11T21:53:54.000Z,https://t.co/XzObB0dsJo,José Luis Tivi,NA,false,655,1000,14,32,-968,-641
afneil,"87 incidents of sexual abuse recorded at Oxfam last year, 53 of them referred to police or other external authorities. 20 dismissals.",2018-02-11T06:14:32.000Z,,Andrew Neil,NA,true,636,663,74,112,-551,-562
HillelNeuer,"No joke: @Oxfam country director who sexually exploited underage Haitian earthquake victims was a consultant for the United Nations ""Review of Protection from Sexual Exploitation and Abuse by UN &amp; NGO Personnel."" #MeToo https://t.co/tsoMmquUjx #oxfamscandal #oxfam #oxfamgate https://t.co/OfKIDokUdl",2018-02-14T20:09:31.000Z,https://t.co/O6GXWfj4VR,Hillel Neuer,"Geneva, Switzerland",true,635,440,98,56,-384,-537
juanrallo,Hasta ahora sabíamos que los informes de Oxfam eran basura intelectual. Ahora sabemos que la plantilla de Oxfam también contenía basura humana. https://t.co/O2ZJwVyeUr,2018-02-10T17:06:46.000Z,https://t.co/hw0n4XdWFJ,Juan Ramón Rallo,"Madrid, Comunidad de Madrid",true,631,699,31,38,-661,-600
Kevin_Maguire,We'd hurt &amp; insult the world's poor if Oxfam's sex scandal was ignored but aid also needs defending. Crisis being exploited by those who don't care about Haitians but hate Britain's 0.7% aid &amp; charities,2018-02-12T08:51:52.000Z,,Kevin Maguire,NA,true,543,1119,21,103,-1016,-522
el_pais,"La ONG Oxfam admite que varios de sus cooperantes contrataron a jóvenes prostitutas, incluso menores, para montar una orgía. Fueron invitadas a casas y hospedajes pagados por la organización tras el terremoto que destruyó Haití en 2010 https://t.co/Ng4c9BVwWc",2018-02-09T12:22:07.000Z,https://t.co/6g5qG3Lgo3,EL PAÍS,Madrid,true,528,221,178,68,-153,-350
AlfonsoRojoPD,"La izquierda oculta el escándalo sexual de Oxfam en Haití, donde sus directivos se montaron orgías con prostitutas a cuenta del dinero de la propia ONG https://t.co/XXCbaaePip",2018-02-12T11:05:21.000Z,http://t.co/aGT9unAj4J,Alfonso Rojo López,Madrid,true,498,394,14,46,-348,-484
evertonfc2,"How ironic is it ?  
The Tories are accusing Oxfam of a cover-up over Sex Allegations ? 
It's Boarderline Laughable #bbcpm #c4news #Newsnight @LBC https://t.co/LqbJkSr1nV",2018-02-12T17:52:26.000Z,https://t.co/5lONbD9Rad,#𝙁𝙖𝙞𝙡𝙚𝙙𝙏𝙤𝙧𝙮𝙎𝙩𝙖𝙩𝙚,"𝑩𝒓𝒊𝒙𝒕𝒐𝒏, 𝑳𝒐𝒏𝒅𝒐𝒏",false,497,450,24,32,-418,-473
