user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
_Zeets,"""Kendall please! Give him a Pepsi!"" https://t.co/IntFNmCpTr",2017-04-04T23:21:19.000Z,,Zito,"Pallet Town, Kanto",true,53407,105765,1532,483,-105282,-51875
JamilahLemieux,Imagine putting your life on the line like this to fight for justice only to have it parodied by a soda company and a Kardashian https://t.co/g55s09owVf,2017-04-04T23:18:32.000Z,https://t.co/JYH9gWxKnn,Jamilah Lemieux,"Los Angeles, CA",true,38898,77040,870,354,-76686,-38028
Phil_Lewis_,"""Now just wait one second officers.

I have a Pepsi."" https://t.co/NW0sddKOOI",2017-04-05T00:22:43.000Z,https://t.co/NiNrsmOc28,philip lewis,"Washington, DC",true,38979,73704,994,262,-73442,-37985
ignant_,"""Yo Kendall, im gonna need you to come through with a pepsi, these cops are wildin"" https://t.co/dOpKnTq8LU",2017-04-05T01:09:23.000Z,,Tunde,NA,false,25482,45512,541,103,-45409,-24941
mattufford,Pepsi deleted its crap ad from its YouTube page! But not before I made a GIF of Kendall seeing poor people for the first time. https://t.co/O6Wy0jHjFn,2017-04-05T17:18:00.000Z,https://t.co/chVcY912Qu,Matt Ufford,Connecticut,true,16212,35566,666,106,-35460,-15546
_TARYNitUP,"Kendall Jenner gives a Pepsi to a cop and rids the world of -isms. Y'all can go somewhere with this tone-deaf, shallow and over-produced ad. https://t.co/CEr4cAw3Ld",2017-04-04T21:49:34.000Z,https://t.co/vrfVVUyVTY,Taryn Finley,NYC,true,17066,31653,7118,643,-31010,-9948
nuffsaidny,"That one Black Marketing intern at Pepsi coming into work this morning like... 🤷🏾‍♀️

Re: Kendall Jenner's Pepsi Ad https://t.co/GAoLy4eAR2",2017-04-05T14:27:08.000Z,https://t.co/qu2Qi9iSGS,NUFF,NYC,false,11575,23644,372,79,-23565,-11203
stormisbirkin,"""Kendall get your can of Pepsi, we're going to Syria."" #AmericaIsOverParty https://t.co/Xko0jjfioY",2017-04-07T03:53:47.000Z,,j,NA,false,12494,23435,535,87,-23348,-11959
Travon,The Kendall Jenner Pepsi fiasco is a perfect example of what happens when there's no black people in the room when decisions are being made.,2017-04-04T23:51:56.000Z,https://t.co/ifbAd75C4H,Travon Free,Mars Bitches.,true,7008,19158,370,228,-18930,-6638
TreMelvin,the one black intern that tried to warn the rest of pepsi's marketing team walking into work today https://t.co/JYBinI0KVQ,2017-04-05T19:15:51.000Z,https://t.co/cKyv3EmncI,Tré Melvin,"Los Angeles, CA",true,8384,17814,249,36,-17778,-8135
