user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
Jezebel,"Kendall Jenner is ""traumatized"" by the backlash over her Pepsi ad https://t.co/H3B82aP9Em https://t.co/fBzUKqiZWK",2017-04-08T19:31:10.000Z,https://t.co/srsMvdaAy4,Jezebel,NA,true,195,382,1891,423,41,1696
yashar,WATCH: Apparently @KendallJenner and @pepsi have taken over Black Lives Matter. Not kidding. https://t.co/VUbQvxkPmW,2017-04-04T21:48:40.000Z,https://t.co/WAAPoPi85c,Yashar Ali 🐘,🐘🐘🐘🐘,true,596,950,1869,664,-286,1273
Cosmopolitan,Caitlyn Jenner Defends Kendall's Pepsi Ad: “It Was Cute” https://t.co/KrLNrFH5gr https://t.co/pfgs2CXrcR,2017-04-27T17:47:05.000Z,https://t.co/Zg7bEmDIod,Cosmopolitan,"New York, NY",true,42,78,494,41,-37,452
Jezebel,"Kendall Jenner is ""traumatized"" by the backlash over her Pepsi ad https://t.co/nozCnr2OK8 https://t.co/YM7b55C9b5",2017-04-08T16:17:20.000Z,https://t.co/srsMvdaAy4,Jezebel,NA,true,31,91,419,97,6,388
TMZ,Kendall Jenner Had No Creative Involvement in Pepsi Ad https://t.co/rLHIfyh8Ii,2017-04-05T20:00:04.000Z,https://t.co/LQPPfVeJqW,TMZ,"Los Angeles, CA",true,116,190,490,101,-89,374
ELLEmagazine,Kendall is reportedly devastated over that pulled Pepsi ad: https://t.co/5UkjyvcfED? https://t.co/tzmXdvytq7,2017-04-05T20:16:08.000Z,https://t.co/iXpl3OzeZk,ELLE Magazine (US),NA,true,64,99,422,65,-34,358
esquire,Kendall Jenner is reportedly 'devastated' over the pulled Pepsi ad: https://t.co/QBzan2GgEw https://t.co/m5tDBGDEEw,2017-04-06T13:25:34.000Z,https://t.co/d1krleoPPa,Esquire,"New York, NY",true,25,58,282,78,20,257
BusinessInsider,A new Pepsi ad shows Kendall Jenner joining a protest and giving a cop a soda https://t.co/CQsRKWbNCT https://t.co/AzuBJDnDcC,2017-04-04T22:26:29.000Z,https://t.co/qJiLYVC7Jx,Business Insider,"New York, NY",true,37,50,231,30,-20,194
milesfan79,"All things being equal, had commercial had Beyonce in it, would ppl still be mad at Pepsi for commercializing protest?",2017-04-05T11:51:11.000Z,https://t.co/C6i5dHRXfb,Fave Chappelle™,#BlackTwitter,false,10,14,111,29,15,101
theGrio,Kendall Jenner is reportedly 'devastated' over the pulled Pepsi ad: https://t.co/AgEtJgoRDb https://t.co/Ovrl1ffMzG,2017-04-06T13:38:48.000Z,https://t.co/KDYODnx1kj,theGrio.com,NA,true,4,10,100,20,10,96
BuzzFeed,Turns out that a lot of people kind of liked Kendall Jenner's Pepsi ad https://t.co/l29JreA0g1 https://t.co/E3gnbfvvle,2017-04-12T20:42:01.000Z,https://t.co/9tsxyq9gNZ,BuzzFeed,New York,true,22,176,114,69,-107,92
mat,75% of Hispanics and 51% of blacks said the ad made them more favorable toward Pepsi; 41% of whites said same: https://t.co/8HiB0Pwwoe,2017-04-12T20:03:33.000Z,,mat honan,"San Francisco, CA",true,67,60,157,70,10,90
TheCut,Kendall Jenner and Pepsi use the Trump backlash and Black Lives Matter to sell you soda https://t.co/W0KYXclCkx,2017-04-04T20:17:23.000Z,https://t.co/y7ayYZ93Mm,The Cut,"New York, NY",true,75,59,140,14,-45,65
etnow,"EXCLUSIVE: Kendall Jenner is ""devastated"" by the Pepsi ad controversy. Is this a career breaker? https://t.co/Y3Tpx8HKOU https://t.co/MECvO9WVHP",2017-04-05T19:30:11.000Z,https://t.co/cy7V40qPgq,Entertainment Tonight,"Los Angeles, CA",true,17,65,80,32,-33,63
BuzzFeed,This is important: Kendall Jenner has no idea how to hold a soda can https://t.co/N9F6tkkR5J https://t.co/bOQ92ZwlKZ,2017-04-05T20:27:01.000Z,https://t.co/9tsxyq9gNZ,BuzzFeed,New York,true,69,312,130,35,-277,61
pitchfork,"Update: Pepsi has taken down its controversial ad and apologized ""for putting Kendall Jenner in this position"" https://t.co/wz2PPmXU2Z https://t.co/JfjDDbQeRX",2017-04-05T17:35:31.000Z,https://t.co/ruRDvRSlZx,Pitchfork,Chicago/NYC,true,151,304,211,27,-277,60
THR,"#Pepsi ad: Jenner reportedly had no ""involvement in creative process,"" storyline ""a done deal"" when given the script https://t.co/UmaTBo8PL4 https://t.co/2IVC5EehQW",2017-04-06T15:39:57.000Z,https://t.co/HynB1A3ItS,The Hollywood Reporter,"Hollywood, CA",true,18,41,72,22,-19,54
