user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
deray,".@Pepsi, this ad is trash. https://t.co/x4iUd6hJYm",2017-04-04T23:16:19.000Z,https://t.co/xXkdEPyxGQ,deray,Wakanda,true,9031,16574,3585,872,-15702,-5446
yashar,WATCH: Apparently @KendallJenner and @pepsi have taken over Black Lives Matter. Not kidding. https://t.co/VUbQvxkPmW,2017-04-04T21:48:40.000Z,https://t.co/WAAPoPi85c,Yashar Ali 🐘,🐘🐘🐘🐘,true,596,950,1869,664,-286,1273
_TARYNitUP,"Kendall Jenner gives a Pepsi to a cop and rids the world of -isms. Y'all can go somewhere with this tone-deaf, shallow and over-produced ad. https://t.co/CEr4cAw3Ld",2017-04-04T21:49:34.000Z,https://t.co/vrfVVUyVTY,Taryn Finley,NYC,true,17066,31653,7118,643,-31010,-9948
_Zeets,"""Kendall please! Give him a Pepsi!"" https://t.co/IntFNmCpTr",2017-04-04T23:21:19.000Z,,Zito,"Pallet Town, Kanto",true,53407,105765,1532,483,-105282,-51875
Jezebel,"Kendall Jenner is ""traumatized"" by the backlash over her Pepsi ad https://t.co/H3B82aP9Em https://t.co/fBzUKqiZWK",2017-04-08T19:31:10.000Z,https://t.co/srsMvdaAy4,Jezebel,NA,true,195,382,1891,423,41,1696
JamilahLemieux,Imagine putting your life on the line like this to fight for justice only to have it parodied by a soda company and a Kardashian https://t.co/g55s09owVf,2017-04-04T23:18:32.000Z,https://t.co/JYH9gWxKnn,Jamilah Lemieux,"Los Angeles, CA",true,38898,77040,870,354,-76686,-38028
RealJamesWoods,I think it's safe to say this is the most loathesone commercial in the history of advertising. #BoycottPepsi https://t.co/CkKn6PrRKi,2017-04-05T15:14:21.000Z,,James Woods,NA,true,1006,2197,148,354,-1843,-858
piersmorgan,"The new @pepsi ad with @KendallJenner is stupefyingly diabolical. 
Absurd, PC-crazed, virtue-signalling, snowflake claptrap. https://t.co/SA9RRanGNo",2017-04-04T23:10:55.000Z,https://t.co/NJKBsKlpfy,Piers Morgan,"London, Newick, LA.",true,521,1546,166,312,-1234,-355
joerogan,This commercial is so fucking stupid it makes you wonder if it was made by Coke to ruin Pepsi forever https://t.co/V6NVlwJYdd,2017-04-05T15:26:48.000Z,https://t.co/UoPqZeUr22,Joe Rogan,NA,true,1223,3727,132,289,-3438,-1091
CNN,Kendall Jenner's new ad for Pepsi has fallen flat and sparked some backlash https://t.co/4XW89BuQgN https://t.co/Oyy7MIGH5u,2017-04-05T12:34:24.000Z,https://t.co/imGp4Ieixi,CNN,NA,true,402,808,148,288,-520,-254
Travon,"Between Nivea's ""white is purity"" ad and Pepsi's ""Black soda matters"" ad I think it's time to open my ""Ask A Black person"" consulting firm.",2017-04-05T17:02:03.000Z,https://t.co/ifbAd75C4H,Travon Free,Mars Bitches.,true,4584,17736,220,284,-17452,-4364
