user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
nickgillespie,Coke tried to teach the world to sing in 1971. Pepsi and Kendall Jenner tried to calm us all in 2017. What soft drink will succor us in 2020? https://t.co/nhG71IpnLf,2020-05-31T16:37:47.000Z,https://t.co/UVqkEQrz3a,Nick Gillespie,"New York, NY",true,5,54,5,59,5,0
jvst_n,Yo someone told Kylie to do more ativism and told her to tell Kendall to bring a Pepsi 🤣😂,2020-05-29T16:24:18.000Z,https://t.co/8legcnF9Cu,JB,"Brooklyn, NY",false,1,1,0,3,2,-1
piccherroll,"Ragazzi il video della Pepsi è del 2017

https://t.co/jTHT5Uuyk9",2020-06-04T13:16:52.000Z,,Francesco C.,NA,false,1,1,0,3,2,-1
wcnc,"CMPD looking for person accused of throwing soda can-sized mortar at officers during protest
https://t.co/O3HDCWvuOi https://t.co/A1JyGXn7zE",2020-06-04T23:22:11.000Z,https://t.co/i2pqQBrQYA,WCNC Charlotte,"Charlotte, NC",true,1,1,2,3,2,1
philwahba,Reminds me of that Kendall Jenner/Pepsi ad. Smdh https://t.co/qFWWpeAw3J,2020-06-05T16:18:29.000Z,https://t.co/hjEUS0pth6,Phil Wahba,New York via Montréal 🇺🇸🇨🇦,true,1,1,0,3,2,-1
ijayt205,Sooo @KendallJenner &amp; @pepsi we need you right now ... https://t.co/oSDznXlnFc,2020-05-27T20:14:59.000Z,https://t.co/o7o3ifmtiq,ℐΛY ϯ ™  🫠 (High Value Man),"Las Vegas, NV",false,1,1,0,2,1,-1
EustaciaLondon,literally all we need to end racism is pepsi &amp; a dance number to michael jackson,2020-05-28T22:34:01.000Z,,queen bruv.,NA,false,2,1,0,2,1,-2
nina_rari,Where’s Kendal Jenner with her Pepsi? Someone please call kendallllll,2020-05-29T18:58:11.000Z,https://t.co/39FbQdOGvC,no end,    BILLIONAIRE ,false,2,1,0,2,1,-2
fyremouse,"For the #Pittsburgh people. Protest is tomorrow. If you're going wear a mask, dont wear identifiable clothes, film what happens (preferably on a burner phone), don't leave your car in the area, bring a spray bottle of water and 3tbsp of baking soda incase of tear gas. #protest https://t.co/4wisMhUcFQ",2020-05-30T04:07:12.000Z,,M. Drake | BLM | they/he/she 🧪🤟🏳️‍🌈,"Pittsburgh, PA",false,1,2,1,3,1,0
dejarooo,where’s kendall jenner with the pepsi?,2020-05-30T04:22:12.000Z,https://t.co/q6IHvEO2gZ,⁎⁺˳✧༚♡ deja ♡⁎✧⁺˳༚,"FLORIDA, USA",false,1,1,0,2,1,-1
robchristianson,@ctwitmo hi! I was telling a kid who lives with us about OK Soda. I was the prime demographic and thru research found you were the CD for the launch. I just wanted to say BRILLIANT WORK. I loved it at the time and still talk about OKs brilliant marketing and hilarious 1800 number,2020-05-31T05:43:15.000Z,https://t.co/U2wMeOV5TD,Rob the Designer,"Orting, WA",false,1,1,0,2,1,-1
lookingto2024,Someone call Kylie Jenner and tell her to bring a lot of Pepsi,2020-06-01T01:21:53.000Z,,ruthkanda forever,NA,false,1,2,0,3,1,-1
Cass_roehm27,"if you’re protesting or know someone who is here’s some tips:
- long pants, boots, and a long sleeve shirt protects from tear gas
- bring a water bottle mixed with baking soda in case you are gassed to clean face
- DO NOT shower with hot water if you are gassed
con’t",2020-06-02T02:12:18.000Z,,Cass Rachele,NA,false,1,1,0,2,1,-1
quintdicker,Marketing to chuds seems so easy. I’m gonna launch a high-sugar soda brand with flavors like “PATRIOT Soda- TACTICAL edition” and “MIL-SPEC liberal tears”,2020-06-30T09:53:52.000Z,,Quincy Dickerson,NA,false,1,1,0,2,1,-1
Syinenn,"🔴 BREAKING NEWS : Kendall Jenner, mannequin star et membre du clan Kardashian met fin à plusieurs années de tensions et brutalités policières et réconcilie le peuple US avec la police grâce à une canette de Pepsi ! Quel courage ! La nouvelle Rosa Parks ? https://t.co/Mp2o0m4Jul",2020-05-27T23:31:52.000Z,,Eden,NA,false,7,1,1,1,0,-6
done_with_cops,"if your in a protest or riot here have this 
teargas - use a mix of 90% water and 10% baking soda and pour it over closed eyes and rinse your mouth out, when you go home wash your clothing with baking soda and shower with COLD water 1/2",2020-05-28T18:43:27.000Z,https://t.co/TwrJFeAMLm,Oliver ig,he/they/it/xe,false,1,1,1,1,0,0
Siddika52862601,Meli baby ne aaj confuse hi kar diya ek sath do ad karke.. pehle slice ab pepsi and the fact is slice wala ad aaj hi arjun kapoor ne kiya h or katrina kaif kar chuki h nd she is the brand embassador and pepsi wala aaj hu salman khan ne kiya hai  #SliceWithShehnaaz #SidNaaz,2020-05-28T18:56:42.000Z,,Siddiqua🤍 Sana is Love🌸,NA,false,2,1,0,1,0,-2
nojentv,"Also, for those who are going to protest, do not use vinegar against tear gas. It’s better you use bicarbonate (baking soda) diluted in water or an anti acid diluted in water. 

and please take care of yourselves. 

#BlackLivesMatter",2020-05-28T21:28:49.000Z,https://t.co/450M4zBL9G,m🎐,she/her,false,1,1,1,1,0,0
AngelAdukeh,"Madonna said to do that dance , since giving the police pepsi isn't working again https://t.co/Zmswr1jvVl",2020-05-28T23:15:14.000Z,,Yung Ijaw Princess,NA,false,2,1,1,1,0,-1
dre7413,Trying to figure out which way helped racism more: Kylie drinking Pepsi or Madonna getting her son to dance.,2020-05-28T23:39:07.000Z,,Andre,Trinidad,false,1,1,0,1,0,-1
kyywap,"@KendallJenner only you can fix this! We need another Pepsi commercial, pls queen",2020-05-29T03:01:31.000Z,https://t.co/vI4xG7sJvM,ky 🍀🎾,NA,false,2,1,0,1,0,-2
DivsKathait,"Hey #Shehnaazians

Swag Se Solo (Pepsi) Ad 
ka Ek Official Final result aayega 

Jiske videos pe Max Views &amp; likes honge 
(like Dettol Ad) 

So plz go &amp; watch Ad on TikTok, Shehnaaz's IG,  SliceIndia IG Page 🙏

#PepsiWithShehnaaz
#SliceWithShehnaaz
#ShehnaazGill",2020-05-29T09:40:19.000Z,,Divs_Kathait 😘,"Kerala, India",false,1,1,0,1,0,-1
LionheartPj,I wonder if kendall jenner is passing put pepsi in Minnesota... 🤔,2020-05-29T19:11:58.000Z,,Perry Saturn 🦁♒,Everywhere,false,1,1,0,1,0,-1
sunberrycafe,!!!! If anyone is going to protest please keep this in mind I’ve been seeing this said a lot I’ve heard that water w/ baking soda works better than milk https://t.co/FugaB0RdQ1,2020-05-29T19:38:25.000Z,https://t.co/BmiUM2d5lZ,Mel 🌟 SEEING SUNWOO 🤍,Yᴏᴜɴɢᴊᴀᴇ 🤍| multi,false,1,1,0,1,0,-1
nailah_23_blue,"If your protesting tonight bring:
Water 
Goggles 
Umbrellas 
Baking soda 
Mask 
MILK 
—- please be safe and cover ypur identity",2020-05-30T05:06:41.000Z,,thatbitchnailah,"New Orleans, LA",false,1,3,0,3,0,-1
CALLHERSUKI,That Pepsi commercial with Kendall Jenner makes me cringe. It really went through a bunch of people and they said “this is it”. Police brutality will end with a can of Pepsi. L o l,2020-05-30T18:23:00.000Z,,𝓢.,NA,false,1,1,0,1,0,-1
stevecollins88,I wonder if Kendall Jenner been dishing out Pepsi's in Minnesota to chill stuff out? 🤔.,2020-05-30T23:33:31.000Z,,Steve Collins,"Swindon, England",false,1,1,0,1,0,-1
___16o7,ITS LIKE THE PEPSI COMMERCIAL I AM HOLLERING https://t.co/MZh8I5Zjag,2020-05-31T00:02:46.000Z,,⊹˖﹒𝓙𝓾𝓷⁷ ລະລີຕາ,♡ 200505,false,1,1,0,1,0,-1
Lexie_Kessie,"@pepsi Is mighty silent , you don’t want to help end racism this time around nah ?🤣🤣
Tell  Kendall to put her shoes on 🤪",2020-05-31T02:16:50.000Z,https://t.co/CxS9vdrJUz,Lex 🇬🇭,With God☀️🛕,false,1,1,0,1,0,-1
syndr0mePK,Kendell Jenner and her #Pepsi can are pretty quiet. #BLACK_LIVES_MATTER #JusticeForGeorgeFlyod,2020-05-31T07:35:07.000Z,,The Wolf of Small Streets,NA,false,1,1,0,1,0,-1
eubabie,"IF YOU ARE PROTESTING TODAY
Please please wear goggles it is the most important thing you can bring today. 
Take water with 3 teaspoons of baking soda per 8oz of water. It helps you be able to open your eyes again so you can run and use it in other people.",2020-05-31T18:38:57.000Z,https://t.co/AyI8b6dBIG,sarah✧,s/h,false,1,1,0,1,0,-1
MadisonAlworth,"The Tampa Police District 3 Station protestors are confronting police. Rocks, soda cans, and bottles have been thrown. Police have responded with rubber bullets #GeorgeFloydProtests @10TampaBay https://t.co/AdYYCVUxe4",2020-05-31T23:55:05.000Z,https://t.co/Iff6DTJNmW,Madison Alworth,"New York, NY",true,2,2,0,2,0,-2
faisalthebitch,Kendall Jenner grab your fucking Pepsi and come to the protest we need you,2020-06-01T03:07:35.000Z,,fka tweaks (larry david’s son),"New York, USA",false,1,2,0,2,0,-1
_urbandanie_,"One day we gonna open the door and a case of Pepsi will be on everyone’s door step, on that day racism will be over... https://t.co/qOr7Kh8SgV",2020-06-01T14:30:46.000Z,,△⃒⃘ ⚯͛ 9¾,202/NE the clean side ,false,3,1,0,1,0,-3
aichatte_,Je vais partagez un pepsi avec les flics et mettre fin au racisme. comme Kendall Jenner.,2020-06-01T22:25:48.000Z,https://t.co/REmpTI5pZb,life hate account,moonrise kingdom,false,2,1,0,1,0,-2
sofaaa___,Everyone protesting check out this DIY Face Shield made from a 2 Liter bottle of soda. It may help with covering ones face from pepper spray. https://t.co/xjlO5jP9xU,2020-06-02T00:12:24.000Z,,Alexis 🥰,"Houston, TX",false,2,1,0,1,0,-2
claramaedavies,Omg where are @pepsi and @KendallJenner when we need them most?!!,2020-06-02T12:27:25.000Z,,clara davies 👽,"Minneapolis, MN",false,1,1,0,1,0,-1
SalvidgeEthan,@KendallJenner @pepsi where are you now when we need you most? Huh?,2020-06-02T18:51:08.000Z,,ethan,"Midsomer Norton, England",false,1,1,0,1,0,-1
CtrlAlteyDelete,Y’all. Remember when Kylie Jenner fixes racism with Pepsi? Why aren’t we trying that again?,2020-06-03T18:22:47.000Z,http://t.co/XLjmBNXGTP,Martin Alphabet,NA,false,1,1,0,1,0,-1
WBTV_News,"CMPD is offering up to $1,000 for information that leads to the arrest of the person who threw a soda can-sized mortar at officers during protests on Saturday. https://t.co/mdeRI1YzlU https://t.co/5zP9hWbeKF",2020-06-05T01:00:20.000Z,https://t.co/GKwjEjSkmA,WBTV News,Charlotte & surrounding areas,true,13,13,5,13,0,-8
wmbfnews,"WATCH: Police in Charlotte are searching for the person who threw a soda can-sized mortar at officers during protests. 
https://t.co/mGlHF9qPOu https://t.co/h1Vv56AIFd",2020-06-05T03:00:14.000Z,https://t.co/MzmqfUMvI5,WMBF News,"Myrtle Beach, SC",true,1,3,0,3,0,-1
SawADogOnce,IS THERE REALLY A PEPSI AD THAT DOES THAT,2020-06-05T13:07:46.000Z,https://t.co/Ota9PMy5lm,Roro MD (Master Duelist) 🌞,😏,false,1,2,0,2,0,-1
NotPerfectJustB,"Where her Pepsi at, so she can shut down police brutality and give me my 40 acres? https://t.co/2OBkopfG9Z",2020-06-05T16:47:16.000Z,https://t.co/ctlZlNXg4Y,Not Perfect Just Broke,NY,false,3,3,0,3,0,-3
omnipotentia1,"Hey babes! If you plan to protest, here are a few tips:

1. If you get maced/pepper sprayed/tear gassed. Putting a little bit of baking soda into some water can help to cure it. So bring some on you just in case. If not for you but for others as well.",2020-06-05T19:28:38.000Z,,Lustbutterassi,Deutschland,false,1,1,0,1,0,-1
ServicesSujoy,Giving service also in #voiceover #actor #Artist for #advertising . #airtel #PEPSI #cocacola #asianpaints #Clothing #stores #garments #stores #Vodafone #RELIANCE can contact with me for #voiceover,2020-06-11T16:04:52.000Z,,Sujoy Teleservices,"Kolkata, India",false,1,1,0,1,0,-1
Totally_Thesh,Can we agree that instead of having #KendallJenner giving Pepsi to the police. It would have been hilarious if she gave #sundal (chickpeas) to the police. 🤣 Where my Tamil peeps at? 🤣 https://t.co/ROMujdNH63,2020-06-11T17:38:57.000Z,,|P!RA¹⁸🌻|,"Manhattan, NY",false,1,1,0,1,0,-1
NVtheEngineer,"My blood sugar just dropped so low that I had to chug half a soda.  I haven't drunk soda in years.  I took one sip n the carbonation made me feel like shit, felt like some chemical was all over my teeth, after taste was terrible.  how do yall drink cases of this trash daily? Yuck",2020-06-11T21:39:49.000Z,https://t.co/euFk2yslJw,Shea,"Clovis, NM",false,1,2,0,2,0,-1
NeelNayak10,after the ad by sidnaaz people at grocery shop for buy pepsi.#PepsiWithSidNaaz https://t.co/tdcBulRN1I,2020-06-28T10:16:09.000Z,,NeelNayak,"Ahmadabad City,Gujarat,India",false,8,1,0,1,0,-8
_MissLeandra,Mmm...it’s giving me Kendall Jenner Pepsi vibes. 😶,2020-06-29T01:12:51.000Z,,👸🏾L E A👸🏾,Where the sun shines 🌞,false,1,1,1,1,0,0
saso_lyrics100,Exposed...Shit #SODA (ADOS) sounds like a black KKK trying to mess with the intelligence of Black folks. Fuk GOP! https://t.co/LVD4mBZzIy,2020-06-30T09:29:10.000Z,,SALSOL Musically,NA,false,1,1,0,1,0,-1
