user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
guardian,Australian Red Cross defends spending 10% of bushfire donations on office costs https://t.co/F6CsblqZI5,2020-01-24T02:45:02.000Z,https://t.co/c53pnmnuIT,The Guardian,London,true,21,51,60,24,-27,39
guardiannews,Australian Red Cross defends spending 10% of bushfire donations on office costs https://t.co/2Oad7wrDKx,2020-01-23T21:11:27.000Z,https://t.co/PJxUC0RWyr,Guardian news,NA,true,3,7,5,4,-3,2
bigchefjay,"It's really sad that @VinniesAust @VinniesNSW @RedCrossAU @salvos aren't properly dealing with the millions raised by good ♥️ Australians for bushfire assistance, rather, choosing to hold onto it for ""future"" disasters. I take that as code for ""exorbitant fees"" @slpng_giants_oz",2020-01-22T06:13:43.000Z,,bigchefjay,"33.7322° S, 150.9170° E",false,4,10,5,3,-7,1
2GB873,"The Red Cross has categorically denied accusations it's ""stashing"" donations.

“I can assure you we’re not withholding money for future disasters.”

https://t.co/23pcYTREIJ",2020-01-22T21:40:45.000Z,http://t.co/2DKQWEllTJ,2GB 873,"Sydney, Australia",true,1,5,2,16,11,1
826Maureen,"""Red Cross has hit back at claims it’s withholding donations from bushfire victims for future use.
The charity has categorically denied the claims, insisting all of the $115 million donated so far will be used on immediate and long-term bushfire recovery."" https://t.co/mwfSzY511P",2020-01-22T22:47:56.000Z,,🌼Maureen says G’Day🙋🏻‍🌼,RIVERINA. NSW. AUSTRALIA. ,false,10,23,11,24,1,1
Terri_1987a,"What's wrong with this picture, all we hear is the crazy labor lefties go on all day about how Bridget McKenzie giving money to sporting clubs but we don't hear a word about the donated funds to the Red Cross not paying victims of the bushfires.",2020-01-23T08:05:52.000Z,,👠 ☔ 👌🇦🇺 🏳️‍🌈🌸 Terri,NA,false,1,8,2,1,-7,1
Mai_keth,"Winding up to jump around the planets once more. Continuing the charity streaming for the Australian Bushfires Appeal. Drop by for a chat and if you can support the Redcross efforts would be amazing.

#Destiny2 @DDU_Podcast #DestinyFANZ 

https://t.co/hmRhkr7dU4",2020-01-16T11:12:54.000Z,https://t.co/epzVqey5ba,Mai Keth,NA,false,1,7,1,0,-7,0
WHY_music,"""Slivers"" by WHY @why_music https://t.co/McOMuGvm5c Fires in Australia have burned 18.6 million hectares, destroyed 59,00 buildings &amp; homes,29 people died and 1 billion animals killed. Help: https://t.co/8vCxE1Kb8l https://t.co/qeyGI9sisM #AustralianFire #Bushfires #HelpAustralia",2020-01-16T19:31:08.000Z,https://t.co/vdGQ18ND0g,WHY,"Winnipeg,MB. Canada",false,1,2,1,0,-2,0
drummondgolf,"We're devastated by the impact that the bushfires have had on our beautiful country &amp; would like to support the people who are working tirelessly to protect our nation.
 
With the help of our amazing franchisees, we're collectively donated $30000 to the Red Cross Bushfire Appeal. https://t.co/RlC3zDDKsK",2020-01-16T23:22:30.000Z,https://t.co/vxIvxWzP8X,Drummond Golf,Australia,false,1,3,1,0,-3,0
Create_NSW,"Head to the cinema this Sunday, 19 Jan &amp; $2 from every ticket sold will be donated to Salvation Army Bushfire Appeal, Australian Red Cross Disaster Relief &amp; Recovery &amp; RSPCA Bushfire Appeal.

Find your nearest participating cinema here before purchasing: https://t.co/PMflXi3Rxv https://t.co/IjSmDHMrw3",2020-01-17T00:12:02.000Z,https://t.co/6OrRKQ3nS1,Create NSW,NA,false,1,2,1,0,-2,0
