user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
Hells4Heroes,"Red Cross director admits that almost $11million from bushfire donations WON'T go to victims and will be used for 'administration costs'. 😡
https://t.co/RNmFKHzlnG",2020-01-24T01:18:06.000Z,,Helen 🎄,NA,false,721,489,166,311,-178,-555
btsworldwider,"[ARMY HELP AUSTRALIA]
#ARMY worldwide have raised over $20,000 in donations to support ending #AustraliaFires

@Australiabts has distributed so far
—$5000 Australian Red Cross
—$5000 NSW Rural Fire Service

Our donations are sending to those in need right now! TYVM ARMY. @BTS_twt https://t.co/ahNRetYEfX",2020-01-24T06:19:28.000Z,https://t.co/dbg7tvVsmx,ᴮᴱвuttєr🔔⁷,NA,false,433,637,2,5,-632,-431
SquigglyRick,"I've been working on an investigation into Aus Red Cross and bushfire fundraising for a couple of weeks now. You've seen the headline on tonight's news, but more to come this weekend for @SatPaper. If you've got detail about their donation practices: rickm@thesaturdaypaper.com.au",2020-01-22T08:34:22.000Z,https://t.co/qBQvNNoS22,Rick Morton,"Sydney, New South Wales",true,362,880,12,62,-818,-350
johnlittle,"#RedCross are being tricky with #bushfires donations. $95 million received but only $30 million going out. The CEO of Australian Red Cross on @BreakfastNews described the donations as ""our donations"". They are NOT YOUR DONATIONS  madam, they are BUSHFIRE VICTIMS DONATIONS!",2020-01-22T20:59:10.000Z,,John Little - #Auspol,Gadigal,false,289,690,31,59,-631,-258
BenFordhamLive,"LISTEN | Australians have donated more than $95M to the Red Cross Disaster Relief and Recovery Fund.

But the Red Cross says right now - it’s only handing over $30M of the $95M to bushfire relief.

@jeff_kennett tells @BenFordham there needs to be more accountability. https://t.co/hXCJUlHBMG",2020-01-22T05:11:16.000Z,https://t.co/dma1EtfCU7,Ben Fordham Live,NA,false,288,532,83,175,-357,-205
chelsea_hetho,"At an emotional press conference in Batemans Bay, Andrew Constance came out swinging against the Red Cross, Salvation Army and St Vincent De Paul for taking too long to distribute bushfire relief money. #auspol #AustraliaOnFire  https://t.co/MkzcpDp2wz via @abcnews",2020-01-22T08:52:33.000Z,https://t.co/LBo2eUwuO8,Chelsea Hetherington,"Sydney, Australia",false,256,588,43,78,-510,-213
BethanyinCBR,"This is exactly why I won’t donate to charities like the Red Cross. It is keeping $11m in ADMIN COSTS, even though they have so many volunteers. Thats $11m of YOUR donations that the Red Cross keep for themselves. 😡😡😡https://t.co/RAGUURfkBE",2020-01-23T07:55:49.000Z,,Bethany Williams,"Canberra, Australian Capital Territory",false,246,529,51,122,-407,-195
CelticFC,"🍀 @FoundationCFC have made a £5k donation to the Australian Red Cross, to help towards addressing the crisis caused by months of devastating bushfires across Eastern Australia.",2020-01-23T13:23:39.000Z,https://t.co/O9OQykMf1D,Celtic Football Club,Glasgow,true,240,2643,22,32,-2611,-218
PhilGoyen,Red Cross admits to $11 million 'administration cost' to help fire victims https://t.co/4rFgaA2JrS,2020-01-23T04:43:47.000Z,https://t.co/ggXowYOgMW,Phil Goyen 🙏🏻,"Sydney, New South Wales",true,222,207,101,164,-43,-121
mpsmithnews,"Red Cross banking fire donations ""for future emergencies"" https://t.co/q5RnZGdgCZ",2020-01-22T05:25:30.000Z,http://t.co/ENHCRa1L8l,Michael Smith News,off,false,182,190,64,185,-5,-118
abcnews,NSW Minister tears into Red Cross for sitting on bushfire donations while victims suffer https://t.co/fmmsbaiynG,2020-01-22T07:24:38.000Z,http://t.co/knlFvfwxkf,ABC News,Australia,true,178,447,42,68,-379,-136
9NewsAUS,"There is growing outrage across Australia amid accusations the Red Cross is saving millions of donations meant for fire victims, to use for future disasters. @Gabrielle_Boyle #9News https://t.co/u0xOPNfgDZ",2020-01-22T18:35:23.000Z,,9News Australia,Australia,true,124,255,49,90,-165,-75
Laraine76855226,"How f..ked is Australia, charities raised millions for bushfire appeal  including Red Cross, Salvation Army, Vinnies  and have only handed  a small portion over. WTF . Why??",2020-01-22T06:20:08.000Z,,Laraine🏴󠁧󠁢󠁳󠁣󠁴󠁿🇦🇺 🏇🏋️🏃🚴🐕🐨🙈🙉🙊,Sydney ,false,114,248,13,36,-212,-101
StuartMckenzi10,I'm no longer supporting the RedCross. 10cents in every dollar donated goes to admin and now they want to steal from the fire victims. Charity my arse.,2020-01-22T20:28:25.000Z,,Sir Tain Disaster,Nome QLD,false,107,371,10,47,-324,-97
JodiMcKayMP,"While Mr Constance is right that all bushfire charity funds should flow to the front line, where is the $1 billion pledged by his own government? I’d be starting there first seeing as he is a senior minister in that government.

https://t.co/jKUb5hpbB9",2020-01-22T18:59:43.000Z,https://t.co/oJShiJFpxt,Jodi McKay,Strathfield,true,105,157,5,14,-143,-100
chrisriddell,"What on EARTH are charities doing in locking away over $100 million in donations for future disasters? 

This is an absolute betrayal of the Australian people by the big 3 charities

@RedCrossAU @VinniesAust @salvos 

#AustraliaOnFire @AndrewConstance 

https://t.co/hzDXv5gTfJ",2020-01-22T07:14:41.000Z,https://t.co/WskN4LSES7,chris riddell,+brisbane +london +los angeles,true,95,147,43,26,-121,-52
TheShovel,"Red Cross Appoints Bridget McKenzie, To Ensure Bushfire Money Goes Where It’s Needed Most https://t.co/5ShThU1klI https://t.co/dKcdgj6egu",2020-01-24T02:17:54.000Z,https://t.co/Z2f3RLqD2h,The Shovel,NA,false,93,298,6,7,-291,-87
andrea_weymouth,So the Red Cross can collect for Bushfire victims then dish out a bit and bank the rest ‘for later’? And they have a highly paid CEO?! Is this ‘trickle down charity? Who knew the corruption had got this bad? I’m gutted.,2020-01-22T08:23:34.000Z,,Andrea I’m staying home thanks Slomo,Quandamooka Land. Bowman. Qld.,false,78,225,9,24,-201,-69
RedCrossAU,"Since the bushfires we have worked in 110 relief centres, registered 61k people, and paid almost 700 emergency grants. We are getting $1m out the door each day to people who need it. If you have been affected, you are foremost in our minds and efforts. You keep us going. https://t.co/l7kHwOHwdA",2020-01-22T12:04:01.000Z,https://t.co/7uMWCSKSwX,Australian Red Cross,Australia,true,78,181,30,76,-105,-48
