user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
notcapnamerica,White people: watch the Starbucks arrest video.  See the white folks arguing with the police and asking why two innocent black men were being arrested?  THIS is how you use your privilege.  Because if one of us had said something we’d get arrested too.,2018-04-14T23:15:41.000Z,https://t.co/UxA5gtxwXe,chris evans,"New York, NY",false,65325,275517,1466,2421,-273096,-63859
Phil_Lewis_,Racial bias training at Starbucks: https://t.co/C8ZPT7qg9U,2018-04-17T18:28:28.000Z,https://t.co/NiNrsmOc28,philip lewis,"Washington, DC",true,43018,99190,3214,499,-98691,-39804
Astronomikal1,"Starbucks employee: what y’all doing here? 

“I’m just waiting for a friend.” 

Starbucks employee: 

 https://t.co/k3N2wbgeQS",2018-04-16T13:17:35.000Z,https://t.co/huVziol0cC,"Paradoxe, The Great",Detroit ,false,28275,61395,2276,226,-61169,-25999
Humble_Slim,Me ordering my caramel makey e auto at starbucks during the boycott https://t.co/oVZyjvIX8O,2018-04-16T13:44:31.000Z,https://t.co/2BDYDZSXKs,Slim,The Gym,false,24327,64984,2983,231,-64753,-21344
AP,BREAKING: Black men arrested at Starbucks settle with Philadelphia for $1 each and a city pledge of $200K for young entrepreneurs.,2018-05-02T16:19:18.000Z,https://t.co/0HD7A9hKKy,The Associated Press,Global,true,17161,59889,4439,1068,-58821,-12722
KarenAttiah,"It's not just about Starbucks. It's about when white people use the police to remove black people from a particular space. 

Recall what a McKinney, Texas cop did to a 100 pound, swimsuit-clad black girl when the police  were called on a pool party: https://t.co/4zOabDAMEr",2018-04-17T21:45:44.000Z,https://t.co/fXLSQLY0kP,Karen Attiah IS IN GHANA 🇬🇭,Texas ,true,10766,21194,899,496,-20698,-9867
nowthisnews,This Starbucks gave the bathroom code to a white person who didn't purchase anything — but wouldn't do the same for a Black person https://t.co/GH4wQMzZiE,2018-04-17T16:18:00.000Z,https://t.co/yyBcvocYhz,NowThis,The Internet & NYC,true,9840,12936,1532,681,-12255,-8308
Starbucks,"On 5/29, we'll close US company-owned stores to conduct racial-bias training to address implicit bias &amp; prevent discrimination. We're taking a hard look at who we are as a company. We’re ashamed &amp; recognize that racial bias is a problem we must address. https://t.co/xIYc75BJPj",2018-04-17T19:35:23.000Z,https://t.co/bwCU43Ww5z,Starbucks Coffee,"Seattle, WA",true,8294,25056,3214,4343,-20713,-5080
SheriffClarke,Not too long ago a Philadelphia Starbucks refused to let a police officer use the restroom telling him it was for paying customers. Don’t remember Starbucks closing 8000 stores for sensitivity training toward police. #BackTheBlue. https://t.co/rmGOoyUPAg,2018-04-20T03:17:54.000Z,https://t.co/3uJT0CQFCs,"David A. Clarke, Jr.",NA,false,8146,17146,779,1111,-16035,-7367
eugenegu,"Dear Starbucks,

Calling the police to arrest two black guys just for being there is not an “incident.” It’s racism at its ugliest level. And it should have no place in America.

Sincerely,
#BoycottStarbucks",2018-04-14T22:14:56.000Z,,"Eugene Gu, MD","New York, USA",true,8031,23081,411,718,-22363,-7620
