user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
united,The passengers this morning were United pass riders who were not in compliance with our dress code policy for company benefit travel.,2017-03-26T18:25:48.000Z,https://t.co/672Qvc9oMM,United Airlines,NA,true,791,2577,1485,3208,631,694
Delta,Flying Delta means comfort. (That means you can wear your leggings. 😉),2017-03-27T16:07:25.000Z,https://t.co/SUpKuB9o8c,Delta,Global,true,25486,102199,8439,2562,-99637,-17047
united,To our customers…your leggings are welcome! Learn more about our company’s pass travel privilege: https://t.co/5e3euG1H9G.,2017-03-27T01:25:07.000Z,https://t.co/672Qvc9oMM,United Airlines,NA,true,715,1623,633,1512,-111,-82
shannonrwatts,1) A @united gate agent isn't letting girls in leggings get on flight from Denver to Minneapolis because spandex is not allowed?,2017-03-26T13:36:20.000Z,https://t.co/LkDDRBzjnN,Shannon Watts,"NRA’s head, rent free",true,4045,5459,1677,968,-4491,-2368
CNN,United CEO: We won't let police drag people off our planes anymore https://t.co/gaCN2mKMFu https://t.co/EtF0qAOaLv,2017-04-12T12:46:57.000Z,https://t.co/imGp4Ieixi,CNN,NA,true,357,635,506,486,-149,149
AnnaKendrick47,"United: We just did the worst thing.

Me: Hold my beer…I just need to put my wallet away. Ok. Thanks so much.

(Am I doing Twitter right?)",2017-04-11T20:05:32.000Z,,Anna Kendrick,NA,true,2590,29805,108,404,-29401,-2482
FoxNews,.@chrissyteigen speaks out against @united for banning girls from boarding their flight because they wore leggings. https://t.co/MfJossREO7 https://t.co/h38GMWJL2B,2017-03-27T16:53:57.000Z,https://t.co/s4jEId5Aef,Fox News,U.S.A.,true,196,678,84,374,-304,-112
Lawrence,This is a case of airline encouraged &amp; approved police brutality. Everyone involved should be fired including @united CEO. https://t.co/tUcpDjV9ll,2017-04-11T15:22:53.000Z,https://t.co/0xB7Nn7jNO,Lawrence O'Donnell,"New York, NY",true,1947,4502,98,368,-4134,-1849
washingtonpost,United Airlines bars two girls from flight because they were wearing leggings https://t.co/BbCq0GOVGb,2017-03-26T16:57:21.000Z,https://t.co/1KN78z0bbe,The Washington Post,"Washington, DC",true,1133,701,793,352,-349,-340
FoxNews,".@United under fire for barring teens from flight who were wearing leggings, says ""regular customers"" can wear them. https://t.co/jpW3M6AxEq https://t.co/UGZnJlcMDU",2017-03-27T11:46:35.000Z,https://t.co/s4jEId5Aef,Fox News,U.S.A.,true,157,468,82,327,-141,-75
GeorgeTakei,"Girls wearing leggings while using @United company ""buddy passes"" weren't allowed to fly. I may try that look, just to see if they stop me.",2017-03-28T00:41:00.000Z,https://t.co/FESrB1JExy,George Takei,"Broadway - New York, NY",true,398,3631,56,318,-3313,-342
nytimes,United Airlines barred 2 women from boarding a flight after a gate agent decided they were dressed inappropriately https://t.co/7fF6eWlM20,2017-03-26T21:16:05.000Z,http://t.co/ahvuWqicF9,The New York Times,New York City,true,564,493,394,315,-178,-170
CNN,"The often-overlooked reason United can kick you off your flight
https://t.co/5LVecoVGcL https://t.co/fmfsIg6hDF",2017-04-11T01:22:27.000Z,https://t.co/imGp4Ieixi,CNN,NA,true,439,340,135,303,-37,-304
ananavarro,Man! @united treated this passenger like dog crap. He wasn't even wearing leggings. https://t.co/7Jo0oyaWBj,2017-04-10T16:45:50.000Z,https://t.co/IaghNWqyKC,Ana Navarro-Cárdenas,"Coral Gables, Fl",true,850,2488,120,283,-2205,-730
harrysiegel,Chicago PD statement on the United passenger is a model of why so many people don't trust police statements https://t.co/Xs3HjCpJos,2017-04-10T18:30:39.000Z,https://t.co/IcgODlDuxQ,Harry Siegel,Brooklyn,true,3890,4595,786,276,-4319,-3104
LouDobbs,"Outrageous! United crazed, Police drag passenger from overbooked plane https://t.co/tcfZE9uxZj #MAGA @POTUS #TrumpTrain #AmericaFirst #Dobbs",2017-04-10T15:19:20.000Z,https://t.co/vYm0CcvB1k,Lou Dobbs,"New York, NY",true,390,666,99,248,-418,-291
FoxNews,"'This Isn't a Police State!': @JudgeJeanine Rips United for Manhandling Passenger
https://t.co/K4n1DE9WS6",2017-04-12T15:05:57.000Z,https://t.co/s4jEId5Aef,Fox News,U.S.A.,true,236,1099,28,232,-867,-208
KeithOlbermann,"Are you fucking kidding, @chicago_police? There are three different videos of him NOT falling. Who wrote this crap for you? @United? https://t.co/i2rORdfKJu",2017-04-11T00:29:26.000Z,https://t.co/MEjciySR3I,Keith Olbermann,NA,true,1132,2347,92,227,-2120,-1040
foxandfriends,What's your take on the United Airlines leggings drama? https://t.co/i4wzRdKwcH,2017-03-27T11:47:32.000Z,https://t.co/xg790NQUNl,FOX & friends,New York City,true,18,48,24,226,178,6
MrGeorgeWallace,Gonna wear tight as hell leggings on my next United flight. They're gonna see it all. The ferret and the yams. Maybe even the sinkhole.,2017-03-27T02:54:36.000Z,http://t.co/JVRvll904F,George Wallace,"Las Vegas, NV",true,2738,11570,222,222,-11348,-2516
chrislhayes,Craziest (and somehow most predictable) part of the United story: the Chicago Police Department putting out an OBVIOUSLY untrue statement,2017-04-10T23:10:21.000Z,http://t.co/1Wz5MmBtpw,Chris Hayes,Brooklyn,true,2110,5662,107,204,-5458,-2003
