user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
nytimes,"Special Report: The Wounded Warrior Project’s lavish staff spending is raising questions about its mission
https://t.co/avjH3oRgoB",2016-01-27T19:28:35.000Z,http://t.co/ahvuWqicF9,The New York Times,New York City,true,1254,460,1,28,-432,-1253
David_Philipps,"Wounded Warrior Project Spends Lavishly on Itself, Ex-Employees Say. $500 hotel nights and business class to Europe https://t.co/aLEt7XoC1V",2016-01-27T19:37:33.000Z,https://t.co/HuOhDvIRws,David Philipps,colorado,false,114,91,1,19,-72,-113
CBSEveningNews,"AHEAD: @CBSNews investigates Wounded Warrior Project. Former staffers/vets accuse WWP of wasting millions of dollars
https://t.co/U0Lg7csEqd",2016-01-26T22:44:30.000Z,https://t.co/Mm7FlsMteV,CBS Evening News,📺 6:30 p.m. ET,true,82,32,0,18,-14,-82
CBSNewsPress,Coming up on @CBSEveningNews: former @WWP employees accuse the charity of wasting donors' dollars on lavish hotels &amp; pricey meals for staff.,2016-01-26T23:02:15.000Z,https://t.co/JvEtHPBp0b,CBS News PR,NA,true,2,1,0,0,-1,-2
CBSNewsPress,".@CharityNav says @WWP spends 60% on vets, while other vet orgs top 90%. @CBSEveningNews investigation coming up. https://t.co/yUQoGYJ6uj",2016-01-26T23:03:06.000Z,https://t.co/JvEtHPBp0b,CBS News PR,NA,true,9,5,0,0,-5,-9
drpatfarrell,CBS News is indicating a scandal re Wounded Warrior charity. Spend $ on booze and lavish parties not vets. #charity,2016-01-26T23:14:01.000Z,,"Patricia Farrell, Ph.D.",United States,false,2,1,0,0,-1,-2
CBSEveningNews,Chip Reid investigates accusations that the Wounded Warrior Project is wasting millions and shortchanging veterans https://t.co/ccKj0q8ks6,2016-01-26T23:39:23.000Z,https://t.co/Mm7FlsMteV,CBS Evening News,📺 6:30 p.m. ET,true,83,51,0,23,-28,-83
Ankh_Her,Wounded Warrior Project only spend 60% on veterans... #americangreed,2016-01-26T23:41:11.000Z,https://t.co/2TX04eawQF,Sass 𓆸,"North Carolina, USA",false,2,1,0,0,-1,-2
1Cowboydave,"@johnkriesel CBS doing a ""spending investigation"" on Wounded Warrior Project...",2016-01-26T23:42:36.000Z,https://t.co/zsXu0Lv46m,Dave,Probably not near you,false,1,1,0,0,-1,-1
AndreaGrymesTV,Wow .. major investigation just now into how @wwp spends donated $$ meant for veterans from #ChipReid on @CBSEveningNews.,2016-01-26T23:46:21.000Z,http://t.co/BjVbi6ICSW,Andrea Grymes,New York City,true,4,4,0,2,-2,-4
stormie_doyle,Broken heart! I held Wounded Warrior Project in very high esteem! Just watched news article 40% of funds go to admin and lavish parties!,2016-01-26T23:47:23.000Z,,Stormie Doyle🇺🇸🇺🇸 🌎✌🆘,"Fla, USA",false,1,1,0,1,0,-1
JustLibertyand,Wounded warrior project disgusts me w/ their lavish parties. Please give to the disabled Americans veterans charitable service trust instead,2016-01-26T23:49:53.000Z,,Ol' Séamas ⚓️⛵️🌊🌅🌌,SE NC,false,1,2,0,1,-1,-1
Hercscott,"An investigation by CBS News: The ""Wounded Warrior Project"" executives are using most of the funds to party...(I hope they all burn in Hell)",2016-01-26T23:51:51.000Z,https://t.co/0pjPLwaWS9,SCOTT LONGAS,MICHIGAN,false,2,2,0,1,-1,-2
KytKatz,@overcameit Thank YOU for exposing the rephehensible spending of the @WWP donors money! They have no souls! #Boycott #WoundedWarriorProject,2016-01-26T23:53:03.000Z,https://t.co/dXH0UQmfcI,Karyn A. K. Fleck,Rhode Island USA @Dollarocracy,false,4,4,0,0,-4,-4
MusicWorm2015,.@wwp 60% of donations to warriors 40% to parties...this is where the @realDonaldTrump s donations will go...! @CBSNews #NOMORE,2016-01-26T23:58:05.000Z,https://t.co/cJuwyMYvQ8,Richard ✌,South Florida 👇🎶✌,false,1,1,0,1,0,-1
EvilBachus,“Wounded Warrior Project” a big scam to raise millions of dollars for extravagant parties: https://t.co/DMvWfYKfRI,2016-01-27T00:12:26.000Z,https://t.co/gEYuHoKJtS,"Dustin ""Please Scream Inside Your Heart"" Westphal",United States,false,2,2,0,0,-2,-2
CBSEveningNews,.@CBSNews' investigation into a charity for wounded veterans. Where is the money going?: https://t.co/BPmIWuptQy https://t.co/gp7yGvFmqa,2016-01-27T00:14:28.000Z,https://t.co/Mm7FlsMteV,CBS Evening News,📺 6:30 p.m. ET,true,59,29,0,10,-19,-59
CBSNews,CBS News investigation: Wounded Warrior Project accused of wasting donation money https://t.co/9kw4f6b29q,2016-01-27T00:16:23.000Z,https://t.co/WWGo4zp06H,CBS News,"New York, NY",true,183,114,0,48,-66,-183
bionikmatt5,Wounded Warrior Project accused of wasting donation money - CBS News https://t.co/r8TMwfoKo5,2016-01-27T00:22:36.000Z,https://t.co/r6e0tmQiLy,Matthew Bradford,The Commonwealth of Kentucky,false,3,2,0,2,0,-3
Tbooker24,Via @CBSNews: #WoundedWarriorProject accused of wasting donation money | https://t.co/pzis5DwT3c cc: @itsgblock,2016-01-27T00:23:58.000Z,https://t.co/9QOw8eCeCR,Ted Booker,"South Bend, IN",false,1,1,0,0,-1,-1
CBSTopNews,Wounded Warrior Project accused of wasting donation money https://t.co/PJ3JXw5DkP,2016-01-27T00:29:04.000Z,http://t.co/JEbgQWpRJS,CBS Top News,"New York, NY",false,2,1,0,0,-1,-2
DPForrester,Wounded Warrior Project accused of wasting donation money https://t.co/BOqV2HOaoU,2016-01-27T00:31:49.000Z,https://t.co/qCpv6FeKAP,Daniel Patrick Forrester,New Jersey,false,1,2,0,0,-2,-1
NedBreslin,"Spending evening with @wwp peer support group in #ColoradoSprings - #veterans coming together to share, heal, support each other",2016-01-27T00:37:11.000Z,,Ned Breslin,"Denver, CO",false,4,13,0,2,-11,-4
CBSNewsRadio,A @CBSNews investigation into the Wounded Warrior Project finds just 60% of its budget is spent on veterans. https://t.co/Dw0cHZqOf8,2016-01-27T01:05:19.000Z,https://t.co/IR8OCfIPQn,CBS News Radio,United States ,true,8,1,0,1,0,-8
thebucksavage,... https://t.co/glCO6BAbTN,2016-01-27T01:07:48.000Z,https://t.co/O6j32jLJ2m,David Smith,"Arizona, USA",false,1,1,0,0,-1,-1
NewsOn6,Wounded Warrior Project Accused Of Wasting Donation Money https://t.co/PlPoJU6kE3 https://t.co/wQkLrdxgVW,2016-01-27T01:19:08.000Z,https://t.co/OwkT1MNliN,News On 6,"Tulsa, Oklahoma",true,3,4,0,0,-4,-3
politicques,Wounded Warrior Project accused of wasting donation money - CBS News - https://t.co/SkzrNqWB8W,2016-01-27T01:21:03.000Z,,Politicques,Everywhere,false,2,1,0,0,-1,-2
cpelusi,".@CBSEveningNews exposes Wounded Warrior Project's shady spending at expense of US military it claims to serve.
https://t.co/vMYH7gf5Gf",2016-01-27T01:25:28.000Z,,Christian Pelusi,The Keystone State,false,1,1,0,0,-1,-1
CBSNLive,.@CBSNews investigates: Wounded Warrior Project accused of wasting donation money https://t.co/cKmcnwXUPf https://t.co/7S44xdMwAC,2016-01-27T01:26:04.000Z,http://t.co/ekFq7yy7y6,CBSN,NA,true,8,5,0,1,-4,-8
malbertnews,".@CBSNews finds Wounded Warrior Project accused of wasting donation money, shorting vets: https://t.co/KXaWSfGRFo https://t.co/HIUYtg9lZx",2016-01-27T01:29:25.000Z,https://t.co/0KnoW3uT6p,Mark Albert,"Washington, D.C.",true,5,3,0,0,-3,-5
RyanNBCBoston,Chip Reid &amp; @JenniferJanisch investigate questionable spending of donation $ at Wounded Warrior Project https://t.co/Ejg3iBYN6Y,2016-01-27T01:35:53.000Z,https://t.co/HsuxNHndlY,Ryan Kath,"Boston, MA",true,1,3,0,0,-3,-1
BryanJFischer,Open trench warfare between Trump and Fox: already up with an anti-Wounded Warrior story. https://t.co/wWNacRAmbX,2016-01-27T01:41:35.000Z,https://t.co/8sEAsylOjz,Bryan Fischer,Pacific Northwest,true,5,1,0,1,0,-5
nielslesniewski,Which veterans group is @realDonaldTrump planning to raise money for? Because CBS just reported this https://t.co/8yCmmQO4FN,2016-01-27T01:42:01.000Z,https://t.co/7W98446D3M,Niels Lesniewski,"Washington, D.C.",true,1,3,0,0,-3,-1
WendyT23,Wounded Warrior Project accused of wasting donation money https://t.co/5fsmP8CVLG,2016-01-27T01:47:54.000Z,,Wendy Topletz,"Dallas, TX",false,1,1,0,0,-1,-1
NaVOBA,Interesting CBS report on Wounded Warrior Project spending. Why not Buy @buyveteran instead? https://t.co/p6pudXutHs,2016-01-27T01:57:49.000Z,https://t.co/yKWelzZTPe,NaVOBA,"Pittsburgh, PA",false,2,3,0,1,-2,-2
TonyCunningha16,Wounded Warrior Project accused of wasting donation money https://t.co/v9c3P8h1ZH via @cbsnews Ask Trace Akins what his compensation is?,2016-01-27T02:09:04.000Z,https://t.co/yXeG8QzMab,Tony Cunningham,Xenia Ohio,false,1,1,0,0,-1,-1
BladdLadd,Shame on you @wwp only 60%to the warriors who gave 100% for their country.,2016-01-27T02:25:41.000Z,,Fred Ladd,NA,false,1,1,0,1,0,-1
mch7576,Wounded Warrior Project accused of wasting donation money https://t.co/kWAOGY6Dqt,2016-01-27T02:30:32.000Z,,Doc,Earth,false,7,5,0,0,-5,-7
therightswrong,"Wounded Warrior Project wasted millions in donations on lavish spending, on stuff other than #veterans.
https://t.co/mzxrlhMjH6",2016-01-27T02:40:55.000Z,,The Right is Wrong,0hio,false,16,6,0,3,-3,-16
NEWS9,Wounded Warrior Project Accused Of Wasting Donation Money https://t.co/dMiRjFiAlv #News9 https://t.co/b9Ib6un83e,2016-01-27T02:44:15.000Z,https://t.co/ATtaadjjZA,News 9,Oklahoma City,true,10,5,0,0,-5,-10
AndrewK_1980,"Wounded Warrior Project accused of wasting donation money - CBS News, Corruption-Shameful and Disgusting https://t.co/9sNEmxsyIL",2016-01-27T02:45:15.000Z,,PTSD First Responder,"Newmarket, On",false,1,1,0,0,-1,-1
MarianMichelle1,#StevenNardizzi needs to be fired immediately from @wwp. My donations are for #woundedvets NOT his lavish spending aka-vacations #disgusted,2016-01-27T02:45:31.000Z,,Marian Penunuri,NA,false,1,1,0,0,-1,-1
CBSMornings,#WoundedWarrior Project accused of wasting donation money: https://t.co/ugcCuxmc5d https://t.co/5BkJTGvNk3,2016-01-27T02:45:37.000Z,https://t.co/jLzzFAF7Ld,CBS Mornings,United States,true,1088,34,0,8,-26,-1088
SoCallls,Wounded Warrior Project reportedly accused of wasting donor money  Fox News | https://t.co/yI3gvpFBb7  #advertises  #RushLImbaugh #Stoprush,2016-01-27T03:06:33.000Z,,CMMorgan #NeverAgain,NA,false,8,1,0,0,-1,-8
petermaer,"Great reporting by Chip Reid, @JenniferJanisch: Wounded Warrior Project accused of wasting donation money - @CBSNews https://t.co/TQNcz9oX2h",2016-01-27T03:07:54.000Z,,PETER MAER,"Washington, DC",true,5,1,0,0,-1,-5
missLtoe,Wounded Warrior Project accused of wasting donation money https://t.co/X6yktqXcOv,2016-01-27T03:08:21.000Z,,missLtoe,NA,false,2,2,0,0,-2,-2
joltdude,Wounded Warrior Project accused of wasting donation money https://t.co/t1jfBRn5Qc via @cbsnews,2016-01-27T03:36:52.000Z,,John,United States,false,1,1,0,0,-1,-1
hillj60,Wounded Warrior Project accused of wasting donation money https://t.co/EWQKWrQhlN,2016-01-27T03:52:14.000Z,http://t.co/lJgBlfsRk2,House of Public Disc,"Houston,Tx",false,2,2,0,1,-1,-2
knxnews,#WoundedWarriorProject accused of #wasting donation #money. @KNX1070 https://t.co/nuqHdHXhfu,2016-01-27T04:11:52.000Z,https://t.co/4NkonNtVPJ,KNX News 97.1 FM,Los Angeles,true,6,7,0,0,-7,-6
ProfMBond,Wounded Warrior Project accused of wasting donation money https://t.co/zxtANSWxHj,2016-01-27T04:35:04.000Z,,"Mark Bond, Ed.D",NA,false,1,1,0,0,-1,-1
