user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
SenSanders,"How many people at Wells Fargo are going to jail? Zero. But if you smoke marijuana in this country, you get a criminal record.",2016-09-20T13:56:19.000Z,https://t.co/8AS4FHJNoG,Bernie Sanders,Vermont/DC,true,9022,14503,642,267,-14236,-8380
cspan,".@SenWarren #WellsFargo CEO: ""You should resign. You should give back the money that you took..."" https://t.co/aPZViWGJIN",2016-09-20T16:14:39.000Z,https://t.co/L3A4afzX6T,CSPAN,"Washington, D.C.",true,3610,5025,1516,227,-4798,-2094
SenWarren,"As I said: @WellsFargo CEO Stumpf should resign, return every nickel he made during the scam, &amp; face DOJ/SEC investigation. He’s 1 for 3.",2016-10-12T23:08:54.000Z,http://t.co/wsbNrrUt,Elizabeth Warren,NA,true,1519,4485,135,250,-4235,-1384
SenWarren,"If you missed my questions for @WellsFargo CEO John Stumpf on his gutless leadership earlier today, take a look. https://t.co/5brb1ARRqC",2016-09-21T00:37:16.000Z,http://t.co/wsbNrrUt,Elizabeth Warren,NA,true,1782,4145,527,572,-3573,-1255
HillaryClinton,Appalling behavior from Wells Fargo. This is exactly why we need a strong @CFPB—and can't let Trump dismantle it. https://t.co/tTA2jz7unf,2016-09-09T21:10:47.000Z,https://t.co/99DVW9q1yt,Hillary Clinton,"New York, NY",true,1531,3963,156,565,-3398,-1375
SenWarren,".@WellsFargo CEO John Stumpf should resign, give back the money he took while the scam was going on, &amp; be criminally investigated.",2016-09-20T19:03:38.000Z,http://t.co/wsbNrrUt,Elizabeth Warren,NA,true,1468,3739,145,280,-3459,-1323
SenWarren,"If @WellsFargo’s John Stumpf is leaving with all of his ill-gotten millions, that's still not real accountability.",2016-10-12T23:10:59.000Z,http://t.co/wsbNrrUt,Elizabeth Warren,NA,true,1124,3107,55,191,-2916,-1069
SenWarren,Watch my questioning of @WellsFargo CEO John Stumpf &amp; his gutless leadership at today’s @SenateBanking hearing: https://t.co/5brb1AAgz4,2016-09-20T19:05:02.000Z,http://t.co/wsbNrrUt,Elizabeth Warren,NA,true,977,2367,307,348,-2019,-670
kylegriffin1,Wow— Elizabeth Warren destroyed the CEO of Wells Fargo this AM. Full clip here: https://t.co/yJMSY4CYEH https://t.co/AtpOIqBMnk,2016-09-20T20:06:48.000Z,https://t.co/1vRL91g006,Kyle Griffin,"Los Angeles, CA",true,1891,2347,558,60,-2287,-1333
CNBC,"Sen. Warren slams Wells Fargo CEO for ""pushing blame"" on lower level employees, says ""it's gutless leadership"". https://t.co/3p2kebseDb",2016-09-20T15:34:06.000Z,https://t.co/OhV9V1EIa6,CNBC,"Englewood Cliffs, NJ",true,1622,2170,394,132,-2038,-1228
