user_username,text,created_at,user_url,user_name,user_location,user_verified,retweet_count,like_count,quote_count,reply_count,ratio_reply_like,ratio_quote_retweet
jimcramer,"I need to know your views on Wells Fargo.. $WFC so I can ask John Stumpf, the ceo, what you would like to know...",2016-09-13T02:40:56.000Z,https://t.co/GnLAn0PlX8,Jim Cramer,New York City,true,6,35,7,162,127,1
WellsFargo,"Wells Fargo Chairman, CEO John Stumpf retires; Board of Directors elects Tim Sloan CEO, Director: https://t.co/RgDNYmm1U5",2016-10-12T21:42:53.000Z,https://t.co/m7vc8i3MJ9,Wells Fargo,"San Francisco, CA",true,99,85,60,125,40,-39
CNNBusiness,"Wells Fargo CEO to tell Congress: The bank will end controversial sales goals October 1, earlier than planned. https://t.co/A9OlUXl3FI",2016-09-28T13:19:09.000Z,https://t.co/ZLgYiheZkS,CNN Business,Global,true,64,50,8,79,29,-56
theblaze,"Elizabeth Warren tells Wells Fargo CEO to resign, says he should be criminally investigated https://t.co/L6RBnBN9uc https://t.co/WFkO78x5DO",2016-09-20T19:37:37.000Z,https://t.co/fzW2udWeEx,TheBlaze,"Dallas, TX",true,25,30,13,51,21,-12
KKPDoc,"#MKTG360FA16 Research cross-selling and ethics in sales, and discuss accordingly https://t.co/WuegVrP93y via @WSJ",2016-09-08T21:29:56.000Z,https://t.co/rmJTOzCxGy,Dr. Kimberly K. Powell,NA,false,3,3,0,20,17,-3
CNBC,Op-Ed: Stop beating up on Wells Fargo and John Stumpf https://t.co/oWVtfcqrPJ via @cnbcopinion,2016-09-22T14:39:53.000Z,https://t.co/OhV9V1EIa6,CNBC,"Englewood Cliffs, NJ",true,9,9,6,23,14,-3
USATODAY,Wells Fargo's CEO is expected to apologize for the bank's opening of secret accounts without permission: https://t.co/y1vh2ShNkL (Photo: AP) https://t.co/NFgS0VngKy,2016-09-20T13:22:38.000Z,https://t.co/yNKGMNvztv,USA TODAY,"USA TODAY HQ, McLean, Va.",true,23,16,5,27,11,-18
BoSnerdley,Elizabeth Warren goes on Twitter tirade after Wells Fargo CEO retires https://t.co/LSPz0ZWktX via @nbcnews,2016-10-13T00:50:47.000Z,https://t.co/WbE2ELbKd1,Bo Snerdley,Southern Command,false,2,1,2,12,11,0
CNBC,Exclusive: Wells Fargo CEO John Stumpf on alleged abusive account practices: 'I am accountable' https://t.co/oblXndO6hW,2016-09-13T22:40:24.000Z,https://t.co/OhV9V1EIa6,CNBC,"Englewood Cliffs, NJ",true,7,7,6,17,10,-1
6abc,Wells Fargo Hit With Potential Class-Action Lawsuit After Accounts Scandal  https://t.co/pOfPTOUYCb https://t.co/hk2jDDHE2J,2016-09-20T03:15:49.000Z,http://t.co/7Ph31t11mK,Action News on 6abc,Philadelphia,true,3,8,0,17,9,-3
YahooNews,Wells Fargo community banking exec gets $125M exit after scandal that cost firm $190M https://t.co/Xx7MlVcfGL https://t.co/YR7CyyvP7I,2016-09-13T16:20:14.000Z,https://t.co/Wi4rjphABy,Yahoo News,New York City,true,14,2,2,10,8,-12
CNBC,Here's the story behind the Wells Fargo CEO's wounded hand https://t.co/kjjpjWJNb8,2016-09-20T18:21:59.000Z,https://t.co/OhV9V1EIa6,CNBC,"Englewood Cliffs, NJ",true,11,3,2,11,8,-9
CNBC,Wells Fargo CEO: We're ending the sales goals that caused all the trouble https://t.co/UH2c9uuL9x,2016-09-29T15:05:32.000Z,https://t.co/OhV9V1EIa6,CNBC,"Englewood Cliffs, NJ",true,5,8,5,16,8,0
foxandfriends,Wells Fargo exec who headed unit involved in scandal due $125 million in retirement https://t.co/jf3Bc8gIdS https://t.co/Ntohi5C4x1,2016-09-13T23:40:07.000Z,https://t.co/xg790NQUNl,FOX & friends,New York City,true,25,19,7,26,7,-18
dcexaminer,Elizabeth Warren tells Wells Fargo CEO he should resign and be prosecuted https://t.co/w5EGr2DuDW https://t.co/MKma36feiP,2016-09-20T16:35:29.000Z,https://t.co/rUG6hFZCFo,Washington Examiner,"Washington, DC",true,3,5,10,12,7,7
usatodayopinion,"After the #WellsFargo scandal, do you feel like you trust your bank? How’s your relationship with it? May publish replies. #tellusatoday",2016-09-21T13:37:11.000Z,https://t.co/0ND1nmfrd6,USA TODAY Opinion,"USA TODAY HQ, McLean, Va.",true,15,13,0,19,6,-15
davidenrich,Wells Fargo CEO is latest bank chief to lose his job amid scandals/losses in past decade. (Who am I missing?) https://t.co/WAv4onmW1C https://t.co/rWrzo9zKIQ,2016-10-12T21:14:06.000Z,https://t.co/osc1VRWD7t,David Enrich,"New York, USA",true,4,1,0,7,6,-4
CNBC,Exclusive: Wells Fargo CEO says he will not resign amid public scrutiny over alleged abusive account practices https://t.co/1wPaaJqCZr,2016-09-13T22:39:05.000Z,https://t.co/OhV9V1EIa6,CNBC,"Englewood Cliffs, NJ",true,17,9,6,14,5,-11
MadMoneyOnCNBC,.@WellsFargo CEO John Stumpf on alleged abuses: 'I am accountable' https://t.co/Xtb2wgDeHV https://t.co/AQElLV580E,2016-09-13T22:48:12.000Z,https://t.co/wSGxpfgAlT,Mad Money On CNBC,NA,true,6,7,1,12,5,-5
